"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2020";"2010-2020";"Total since 2006"
"AT";"Einhorn Film";"04/08/2006";"66 597";"";"";"";"";"";"";"";"";"";"";"";"";"";"66 597"
"CH";"Elite Film";"28/09/2006";"19 722";"20";"";"";"";"";"";"";"";"";"";"17";"";"17";"19 759"
"DE";"Falcom Media";"03/08/2006";"681 288";"";"";"";"";"";"";"";"";"";"";"";"";"";"681 288"
"ES";"Escarlata Films";"23/03/2007";"";"155 727";"";"";"";"53";"45";"";"";"";"";"";"";"98";"155 825"
"FR";"";"07/05/2008";"";"";"186 583";"";"";"";"";"";"";"";"";"";"";"";"186 583"
"IS";"Myndform";"";"";"5 857";"";"";"";"";"";"";"";"";"";"";"";"";"5 857"
"IT";"Mediafilm";"27/06/2008";"";"";"23 639";"603";"89";"";"";"";"";"";"";"";"";"89";"24 331"
"PL";"Vision";"08/02/2008";"";"";"262 035";"2 158";"";"";"";"";"";"";"";"";"";"";"264 193"
"PT";"NOS Lusomundo Audiovisuais (PT)";"22/04/2010";"";"";"";"";"40 901";"946";"126";"";"143";"";"";"";"";"42 116";"42 116"
"SI";"Fivia";"28/05/2011";"";"";"";"";"";"1 363";"2 169";"24";"";"90";"60";"";"80";"3 786";"3 786"
"TR";"Bir Film";"18/05/2007";"";"86 627";"1 081";"";"";"";"";"";"";"";"";"";"";"";"87 708"
"EUR EU";"";"";"747 885";"155 727";"472 257";"2 761";"40 990";"2 362";"2 340";"24";"143";"90";"60";"";"80";"46 089";"1 424 719"
"EUR OBS";"";"";"767 607";"248 231";"473 338";"2 761";"40 990";"2 362";"2 340";"24";"143";"90";"60";"17";"80";"46 106";"1 538 043"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 26062"
