"Market";"Distributor";"Release date";"2005";"2011";"Total since 2005"
"AT";"Constantin Film (AT)";"28/07/2005";"69 007";"";"69 007"
"CH";"Rialto Film (CH)";"28/07/2005";"8 888";"";"8 888"
"CZ";"Aerofilms";"05/11/2011";"";"2 102";"2 102"
"DE";"Constantin Film (DE)";"28/07/2005";"1 321 443";"";"1 321 443"
"EUR EU";"";"";"1 390 450";"2 102";"1 392 552"
"EUR OBS";"";"";"1 399 338";"2 102";"1 401 440"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2011, 2005"
" - film_id : 24241"
