"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2017-2020";"Total since 2013"
"AT";"Constantin Film (AT)";"08/11/2013";"77 106";"20 263";"175";"";"";"";"";"";"";"97 544"
"CH";"Walt Disney (CH)";"26/09/2013";"63 841";"3 639";"";"18";"324";"113";"";"";"437";"67 935"
"DE";"LEONINE Distribution GmbH";"07/11/2013";"677 391";"289 105";"29 368";"15 875";"11 252";"11 686";"8 190";"2 034";"33 162";"1 044 901"
"EE";"Estinfilm";"06/03/2015";"";"";"1 172";"55";"";"";"";"";"";"1 227"
"ES";"Flins y piniculas";"28/07/2014";"";"4 238";"2 715";"92";"";"68";"";"";"68";"7 113"
"IT";"Notorious Pictures";"30/10/2014";"";"214 158";"1 644";"201";"";"";"";"";"";"216 003"
"TR";"Bir Film";"18/04/2014";"";"31 379";"1 995";"3 921";"1 711";"475";"238";"";"2 424";"39 719"
"EUR EU";"";"";"754 497";"527 764";"35 074";"16 223";"11 252";"11 754";"8 190";"2 034";"33 230";"1 366 788"
"EUR OBS";"";"";"818 338";"562 782";"37 069";"20 162";"13 287";"12 342";"8 428";"2 034";"36 091";"1 474 442"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013"
" - film_id : 44678"
