"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2018-2019";"Total since 2014"
"AT";"Constantin Film (AT)";"17/01/2014";"110 240";"";"";"";"";"";"";"110 240"
"CH";"Pathé Films (CH)";"16/01/2014";"48 871";"";"";"";"";"";"";"48 871"
"DE";"Constantin Film (DE)";"16/01/2014";"1 222 635";"911";"177";"81";"207";"25";"232";"1 224 036"
"DK";"Angel Films";"25/04/2017";"";"";"";"404";"";"";"";"404"
"ES";"Flins y piniculas";"19/09/2014";"5 511";"422";"603";"";"";"";"";"6 536"
"NL";"Just Film Distribution";"09/07/2015";"";"9 123";"14";"36";"";"";"";"9 173"
"EUR EU";"";"";"1 338 386";"10 456";"794";"521";"207";"25";"232";"1 350 389"
"EUR OBS";"";"";"1 387 257";"10 456";"794";"521";"207";"25";"232";"1 399 260"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 45188"
