"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2012-2020";"Total since 2008"
"AT";"Filmladen";"11/04/2008";"42 732";"935";"174";"106";"";"";"";"";"";"";"";"";"";"";"43 947"
"BE";"ABC Distribution";"01/10/2008";"791";"121";"";"";"";"";"";"";"";"";"";"";"";"";"912"
"CH";"Elite Film";"27/03/2008";"50 753";"268";"119";"91";"";"";"";"19";"";"77";"7";"";"";"103";"51 334"
"DE";"Majestic Filmverleih";"06/03/2008";"1 085 266";"20 032";"";"";"";"";"238";"164";"56";"103";"183";"400";"12";"1 156";"1 106 454"
"DK";"Sunrise Film Distribution";"21/08/2009";"";"7 172";"459";"";"";"";"";"";"";"";"";"";"";"";"7 631"
"ES";"Wanda Vision";"06/03/2009";"";"48 991";"2 228";"41";"98";"";"";"";"116";"";"";"";"";"214";"51 474"
"FR";"Jour2Fête";"10/09/2008";"27 304";"";"194";"22";"";"38";"";"";"";"";"";"";"";"38";"27 558"
"GB";"Dogwoof Pictures";"03/04/2009";"";"1 004";"";"";"";"";"";"";"";"";"";"";"";"";"1 004"
"GR";"PCV Peggy Carajopoulou";"27/11/2008";"4 910";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 910"
"NL";"Cinemien";"04/12/2008";"8 027";"7 989";"248";"";"225";"";"";"";"";"22";"48";"";"";"295";"16 559"
"NO";"Fidalgo";"09/05/2008";"8 709";"";"";"";"";"";"79";"";"";"";"";"";"";"79";"8 788"
"PL";"Against Gravity";"30/01/2009";"";"1 288";"";"";"";"";"";"";"";"";"";"";"";"";"1 288"
"PT";"";"";"";"190";"";"";"";"";"";"";"";"";"";"";"";"";"190"
"RO";"Clorofilm";"25/02/2010";"";"";"3 618";"307";"";"";"";"";"";"";"";"";"";"";"3 925"
"EUR EU";"";"";"1 169 030";"87 722";"6 921";"476";"323";"38";"238";"164";"172";"125";"231";"400";"12";"1 703";"1 265 852"
"EUR OBS";"";"";"1 228 492";"87 990";"7 040";"567";"323";"38";"317";"183";"172";"202";"238";"400";"12";"1 885";"1 325 974"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
" - film_id : 30262"
