"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Constantin Film (AT)";"27/07/2017";"97 450";"";"";"";"97 450"
"BE";"Constantin (BE)";"";"4 702";"";"";"";"4 702"
"CH";"Pathé Films (CH)";"27/07/2017";"44 321";"";"";"";"44 321"
"DE";"Constantin Film (DE)";"27/07/2017";"1 105 253";"3 470";"1 300";"209";"1 110 232"
"LU";"";"";"4 683";"";"";"";"4 683"
"PL";"Bomba Film";"23/02/2018";"";"9 196";"1 031";"";"10 227"
"EUR EU";"";"";"1 212 088";"12 666";"2 331";"209";"1 227 294"
"EUR OBS";"";"";"1 256 409";"12 666";"2 331";"209";"1 271 615"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 73892"
