"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Warner Bros. (AT)";"21/09/2018";"69 477";"";"";"69 477"
"BE";"Utopia Distribution (BE)";"20/09/2018";"3 879";"";"";"3 879"
"CH";"Warner Bros. (CH)";"20/09/2018";"36 253";"";"";"36 253"
"DE";"Warner Bros. (DE)";"20/09/2018";"1 134 830";"8 437";"1 842";"1 145 109"
"LU";"";"";"3 876";"";"";"3 876"
"EUR EU";"";"";"1 212 062";"8 437";"1 842";"1 222 341"
"EUR OBS";"";"";"1 248 315";"8 437";"1 842";"1 258 594"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 79767"
