"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Filmladen";"07/03/2014";"54 226";"7";"";"";"";"";"";"";"54 233"
"CH";"DCM Film Distribution (CH)";"06/03/2014";"29 414";"135";"81";"";"";"";"";"";"29 630"
"DE";"DCM Film Distribution (DE)";"06/03/2014";"1 141 868";"1 488";"647";"256";"1 531";"44";"719";"2 294";"1 146 553"
"IT";"Indipendenti Regionali";"28/01/2016";"";"";"566";"";"";"";"";"";"566"
"NL";"Just Film Distribution";"29/04/2015";"";"16 892";"";"";"";"";"";"";"16 892"
"EUR EU";"";"";"1 196 094";"18 387";"1 213";"256";"1 531";"44";"719";"2 294";"1 218 244"
"EUR OBS";"";"";"1 225 508";"18 522";"1 294";"256";"1 531";"44";"719";"2 294";"1 247 874"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 48887"
