"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2016";"2017";"2010-2017";"Total since 2006"
"AT";"Luna Film";"19/05/2006";"9 874";"";"";"";"";"";"";"";"";"";"";"";"9 874"
"BE";"Benelux Film Distributors - Lumiere (BE)";"12/07/2006";"16 609";"";"";"";"";"";"";"";"";"";"";"";"16 609"
"CH";"Elite Film";"10/03/2006";"6 381";"38";"";"";"";"";"";"";"";"";"";"";"6 419"
"CZ";"Bioscop (AQS)";"04/05/2006";"47 075";"2 409";"439";"54";"228";"";"";"241";"26";"";"55";"550";"50 527"
"DE";"Kinowelt Filmverleih";"18/05/2006";"74 529";"12 882";"";"";"";"";"";"";"";"";"";"";"87 411"
"DK";"Angel Films";"14/04/2006";"6 530";"";"";"";"";"";"";"";"";"";"";"";"6 530"
"EE";"Forum Cinemas (EE)";"05/12/2006";"1 521";"";"";"";"";"";"";"";"";"";"";"";"1 521"
"ES";"Hispano Foxfilms";"10/03/2006";"363 804";"";"";"";"";"6";"39";"";"";"";"";"45";"363 849"
"FR";"20th Century Fox (FR)";"05/07/2006";"531";"";"";"";"";"";"";"";"";"";"";"";"531"
"GB";"20th Century Fox (GB)";"21/04/2006";"130 735";"";"";"";"";"";"";"";"";"2 866";"";"2 866";"133 601"
"HU";"SPI Hungary";"31/08/2006";"14 193";"";"";"";"";"";"";"";"";"";"";"";"14 193"
"IS";"";"24/03/2006";"1 735";"";"";"";"";"";"";"";"";"";"";"";"1 735"
"IT";"20th Century Fox (IT)";"07/04/2006";"270 989";"253";"";"";"";"";"";"";"";"";"";"";"271 242"
"LV";"Acme (LV)";"28/04/2006";"4 710";"";"";"";"";"";"";"";"";"";"";"";"4 710"
"NL";"Benelux Film Distribution";"20/04/2006";"28 787";"";"";"";"";"";"";"";"";"";"";"";"28 787"
"PL";"ITI Cinema";"09/06/2006";"125 992";"825";"888";"";"";"";"";"";"";"";"";"";"127 705"
"PT";"ZON Lusomundo Audiovisuais";"13/07/2006";"1 287";"73";"";"";"";"";"";"";"";"";"";"";"1 360"
"RO";"Romaniafilm-Prorom";"12/05/2006";"6 917";"200";"";"";"";"";"";"";"";"";"";"";"7 117"
"SE";"Scanbox Entertainment (SE)";"02/06/2006";"8 530";"";"";"";"";"";"";"";"";"";"";"";"8 530"
"SI";"Cinemania Group";"03/08/2006";"5 050";"461";"4";"";"";"";"";"";"";"";"";"";"5 515"
"SK";"Magic Box Slovakia";"25/05/2006";"6 023";"";"";"";"";"";"";"";"";"";"";"";"6 023"
"EUR EU";"";"";"1 123 686";"17 103";"1 331";"54";"228";"6";"39";"241";"26";"2 866";"55";"3 461";"1 145 635"
"EUR OBS";"";"";"1 131 802";"17 141";"1 331";"54";"228";"6";"39";"241";"26";"2 866";"55";"3 461";"1 153 789"
"US_CA";"";"";"2 249 562";"";"";"";"";"";"";"";"";"";"";"";"2 249 562"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 26034"
