"Market";"Distributor";"Release date";"2006";"2007";"2008";"2010";"2011";"2012";"2014";"2015";"2019";"2011-2019";"Total since 2006"
"AT";"Constantin Film (AT)";"24/02/2006";"35 646";"";"";"";"";"";"";"";"";"";"35 646"
"BE";"ABC Distribution";"13/09/2006";"7 105";"922";"";"";"";"";"";"";"";"";"8 027"
"BG";"Pro Films (BG)";"";"";"4 175";"";"";"";"";"";"";"";"";"4 175"
"CH";"Rialto Film (CH)";"06/04/2006";"9 108";"";"";"";"";"";"";"";"";"";"9 108"
"DE";"Constantin Film (DE)";"23/02/2006";"840 037";"";"";"";"";"";"15";"37";"21";"73";"840 110"
"ES";"Golem Distribucion";"06/10/2006";"30 400";"2 381";"";"";"1 176";"166";"";"";"";"1 342";"34 123"
"FR";"TFM Distribution";"30/08/2006";"50 703";"";"";"";"";"";"";"";"";"";"50 703"
"GB";"Momentum Pictures (GB)";"14/07/2006";"20 974";"";"";"";"";"";"";"";"";"";"20 974"
"HU";"Mokep";"12/04/2007";"";"3 025";"";"";"";"";"";"";"";"";"3 025"
"IT";"Lucky Red";"21/04/2006";"106 497";"2 327";"13";"42";"";"";"";"";"";"";"108 879"
"NL";"Cinemien";"05/10/2006";"8 457";"581";"49";"";"";"";"";"";"";"";"9 087"
"PL";"Kino Swiat";"24/11/2006";"5 668";"1 842";"";"";"";"";"";"";"";"";"7 510"
"SE";"Sandrew Metronome/NonStop Entertainment";"13/10/2006";"2 242";"61";"";"";"";"";"";"";"";"";"2 303"
"SI";"Ljubljanski Kinematografi";"25/10/2006";"2 100";"45";"";"";"";"";"";"";"";"";"2 145"
"TR";"35MM.";"04/05/2007";"";"3 462";"";"";"";"";"";"";"";"";"3 462"
"EUR EU";"";"";"1 109 829";"15 359";"62";"42";"1 176";"166";"15";"37";"21";"1 415";"1 126 707"
"EUR OBS";"";"";"1 118 937";"18 821";"62";"42";"1 176";"166";"15";"37";"21";"1 415";"1 139 277"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2015, 2014, 2012, 2011, 2010, 2008, 2007, 2006"
" - film_id : 25777"
