"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"Total since 2014"
"AT";"Constantin Film (AT)";"30/10/2014";"61 974";"306";"";"";"";"62 280"
"BA";"Blitz Film & Video Distribution (BA)";"06/11/2014";"1 795";"";"";"";"";"1 795"
"BE";"Entertainment One Belgium";"17/12/2014";"14 667";"";"";"";"";"14 667"
"CH";"Pathé Films (CH)";"30/10/2014";"17 944";"450";"";"";"";"18 394"
"CY";"Odeon (CY)";"20/02/2015";"";"943";"";"";"";"943"
"CZ";"Bontonfilm";"15/01/2015";"";"29 281";"281";"";"";"29 562"
"DE";"Constantin Film (DE)";"30/10/2014";"426 042";"3 101";"205";"";"5";"429 353"
"DK";"SF Film (DK)";"30/10/2014";"8 581";"";"";"";"";"8 581"
"EE";"Acme (EE)";"31/10/2014";"6 299";"";"";"";"";"6 299"
"GB";"Lionsgate (GB)";"24/10/2014";"175 543";"443";"";"";"";"175 986"
"GR";"Odeon (GR)";"05/02/2015";"";"6 644";"";"";"";"6 644"
"HR";"Blitz Film & Video Distribution (HR)";"06/11/2014";"8 907";"";"";"";"";"8 907"
"HU";"Big Bang Media";"12/02/2015";"";"12 212";"15";"";"";"12 227"
"IS";"Samfilm";"29/12/2014";"1 439";"2 940";"";"";"";"4 379"
"IT";"M2 Pictures";"23/10/2014";"136 558";"188";"69";"";"";"136 815"
"LT";"Acme (LT)";"31/10/2014";"10 281";"";"";"";"";"10 281"
"LV";"Acme (LV)";"31/10/2014";"5 370";"";"";"";"";"5 370"
"NL";"Entertainment One Benelux";"18/12/2014";"36 283";"";"";"";"";"36 283"
"NO";"SF Norway";"07/11/2014";"14 337";"";"";"";"";"14 337"
"PL";"Monolith";"05/12/2014";"106 559";"16 775";"50";"183";"";"123 567"
"PT";"NOS Lusomundo Audiovisuais (PT)";"13/11/2014";"5 061";"";"";"";"";"5 061"
"RU";"West (RU)";"13/11/2014";"185 126";"";"";"";"";"185 126"
"SE";"Svensk Filmindustri";"24/10/2014";"10 299";"";"";"";"";"10 299"
"SI";"Blitz Film & Video Distribution (SI)";"30/10/2014";"1 971";"46";"";"";"";"2 017"
"SK";"Bontonfilm (SK)";"01/01/2015";"";"13 905";"103";"30";"";"14 038"
"EUR EU";"";"";"1 014 395";"83 844";"723";"213";"5";"1 099 180"
"EUR OBS";"";"";"1 235 036";"87 234";"723";"213";"5";"1 323 211"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014"
" - film_id : 47394"
