"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2010-2020";"Total since 2006"
"AT";"Constantin Film (AT)";"24/03/2006";"49 729";"835";"411";"79";"";"";"";"";"";"";"";"";"";"";"";"51 054"
"CH";"Eigenverleih / Propre Distribution (CH)";"30/03/2006";"19 120";"686";"283";"82";"116";"";"";"";"16";"";"174";"";"48";"";"354";"20 525"
"DE";"Constantin Film (DE)";"23/03/2006";"849 521";"20 621";"3 179";"15 800";"11 501";"5 902";"10 299";"4 356";"4 041";"3 817";"8 105";"1 197";"7 403";"467";"57 088";"946 209"
"EE";"Estinfilm";"04/05/2007";"";"1 413";"";"20";"";"";"";"9";"";"";"";"";"";"";"9";"1 442"
"EUR EU";"";"";"899 250";"22 869";"3 590";"15 899";"11 501";"5 902";"10 299";"4 365";"4 041";"3 817";"8 105";"1 197";"7 403";"467";"57 097";"998 705"
"EUR OBS";"";"";"918 370";"23 555";"3 873";"15 981";"11 617";"5 902";"10 299";"4 365";"4 057";"3 817";"8 279";"1 197";"7 451";"467";"57 451";"1 019 230"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 27178"
