"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2006-2020";"Total since 2001"
"AT";"Filmladen";"20/12/2002";"20 516";"32 216";"690";"";"84";"";"";"";"";"";"";"";"";"";"";"";"";"";"84";"53 506"
"BE";"ABC Distribution";"26/03/2003";"";"6 421";"609";"115";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 145"
"CH";"Frenetic Films (CH)";"17/01/2002";"4 447";"";"";"";"";"";"40";"";"48";"27";"42";"";"";"";"33";"";"";"";"190";"4 637"
"DE";"Pandora Film (DE)";"18/04/2002";"463 878";"49 777";"";"";"";"";"";"";"";"";"";"351";"275";"177";"";"153";"190";"48";"1 194";"514 849"
"DK";"";"";"2 265";"2 310";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 575"
"ES";"Wanda Vision";"25/07/2002";"186 473";"19 595";"26";"479";"208";"28";"149";"268";"20";"";"";"";"";"";"";"";"";"";"673";"207 246"
"FI";"";"";"5 818";"669";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6 487"
"FR";"";"21/01/2004";"";"";"9 676";"";"252";"";"";"";"";"";"";"";"";"";"";"";"";"";"252";"9 928"
"GB";"";"";"";"32 052";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"32 052"
"GR";"Prooptiki (GR)";"14/02/2003";"";"3 868";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 868"
"HU";"";"";"4 501";"6 577";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"11 078"
"IE";"";"";"";"4 100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 100"
"IT";"Mikado Film";"06/06/2002";"65 763";"";"";"128";"120";"";"";"";"";"";"";"";"";"";"";"";"";"";"120";"66 011"
"NL";"ABC Film Distribution/Cinemien";"19/12/2002";"9 180";"21 629";"400";"";"427";"241";"";"196";"96";"";"";"";"";"";"";"";"";"";"960";"32 169"
"NO";"";"";"18 490";"274";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18 764"
"PT";"";"";"";"701";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"701"
"EUR EU";"";"";"758 394";"179 915";"11 401";"722";"1 091";"269";"149";"464";"116";"";"";"351";"275";"177";"";"153";"190";"48";"3 283";"953 715"
"EUR OBS";"";"";"781 331";"180 189";"11 401";"722";"1 091";"269";"189";"464";"164";"27";"42";"351";"275";"177";"33";"153";"190";"48";"3 473";"977 116"
"US_CA";"";"";"712 351";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"712 351"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002"
" - film_id : 18740"
