"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2007";"2008";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2007-2020";"Total since 2002"
"AT";"Constantin Film (AT)";"17/01/2003";"157 219";"692";"296";"332";"";"";"";"";"";"";"";"";"";"";"";"";"";"158 539"
"CH";"Eigenverleih / Propre Distribution (CH)";"30/01/2003";"83 273";"";"153";"";"159";"77";"";"22";"230";"";"";"";"34";"139";"158";"";"819";"84 245"
"DE";"Croco Film Verleih";"16/01/2003";"1 870 041";"23 988";"18 370";"8 622";"2 343";"4 729";"12 267";"";"7 194";"9 640";"7 539";"6 472";"8 160";"3 445";"2 770";"1 529";"66 088";"1 987 109"
"ES";"Tinko Filmeak";"05/09/2005";"";"";"381";"843";"49";"";"";"";"";"";"";"";"";"";"";"";"49";"1 273"
"HU";"Best Hollywood";"15/04/2004";"";"8 379";"2 272";"414";"";"";"";"";"";"";"";"";"";"";"";"";"";"11 065"
"LU";"";"";"10 500";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"21";"21";"10 521"
"PT";"";"";"";"";"";"";"";"";"";"";"";"37";"";"";"";"";"";"";"37";"37"
"EUR EU";"";"";"2 037 760";"33 059";"21 319";"10 211";"2 392";"4 729";"12 267";"";"7 194";"9 677";"7 539";"6 472";"8 160";"3 445";"2 770";"1 550";"66 195";"2 168 544"
"EUR OBS";"";"";"2 121 033";"33 059";"21 472";"10 211";"2 551";"4 806";"12 267";"22";"7 424";"9 677";"7 539";"6 472";"8 194";"3 584";"2 928";"1 550";"67 014";"2 252 789"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2008, 2007, 2006, 2005, 2004, 2003"
" - film_id : 20796"
