"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2005-2020";"Total since 2001"
"AT";"Constantin Film (AT)";"02/03/2001";"94 071";"2 095";"422";"177";"165";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"165";"96 930"
"CH";"Eigenverleih / Propre Distribution (CH)";"15/02/2001";"82 174";"";"";"";"";"";"46";"30";"195";"77";"211";"3";"";"";"";"20";"";"201";"66";"849";"83 023"
"DE";"Croco Film Verleih";"22/02/2001";"1 619 971";"66 875";"22 316";"15 498";"13 513";"";"10 798";"13 589";"";"";"";"";"9 838";"6 937";"8 049";"3 000";"814";"1 578";"1 175";"69 291";"1 793 951"
"ES";"";"";"";"";"687";"45";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"732"
"HU";"Best Hollywood";"17/04/2003";"";"";"20 515";"";"";"238";"";"";"";"";"";"";"";"";"";"";"";"";"";"238";"20 753"
"PT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"75";"";"";"";"";"";"";"75";"75"
"SI";"Ljubljanski Kinematografi";"12/09/2002";"";"";"";"";"";"34";"120";"";"";"";"";"";"";"";"";"";"";"";"";"154";"154"
"EUR EU";"";"";"1 714 042";"68 970";"43 940";"15 720";"13 678";"272";"10 918";"13 589";"";"";"";"";"9 913";"6 937";"8 049";"3 000";"814";"1 578";"1 175";"69 923";"1 912 595"
"EUR OBS";"";"";"1 796 216";"68 970";"43 940";"15 720";"13 678";"272";"10 964";"13 619";"195";"77";"211";"3";"9 913";"6 937";"8 049";"3 020";"814";"1 779";"1 241";"70 772";"1 995 618"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001"
" - film_id : 17136"
