"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2015-2020";"Total since 2011"
"AT";"Filmladen";"08/04/2011";"23 226";"723";"46";"";"";"";"";"";"";"";"";"23 995"
"BE";"Cineart (BE)";"04/05/2011";"41 081";"1 369";"140";"";"";"";"";"40";"";"";"40";"42 630"
"BG";"Art Fest";"30/09/2011";"2 605";"768";"2 359";"";"";"";"";"";"";"";"";"5 732"
"CH";"Filmcoopi Zürich";"06/04/2011";"63 364";"1 320";"452";"16";"";"301";"84";"";"113";"158";"656";"65 808"
"CZ";"35 mm";"15/09/2011";"7 952";"1 923";"216";"45";"";"27";"";"";"";"";"27";"10 163"
"DE";"NFP Marketing & Distribution";"24/02/2011";"480 706";"43 348";"";"984";"986";"1 083";"272";"1 037";"523";"";"3 901";"528 939"
"DK";"Reel Pictures";"12/01/2012";"";"19 262";"";"";"";"";"";"";"";"";"";"19 262"
"ES";"Avalon Distribucion Audiovisual";"30/09/2011";"53 190";"5 280";"164";"";"276";"";"";"51";"28";"";"355";"58 989"
"FI";"Bio Rex Cinemas";"23/09/2011";"10 008";"1 031";"";"";"";"";"";"";"";"";"";"11 039"
"FR";"Les Films du Losange";"06/04/2011";"346 122";"7 312";"1 080";"1 283";"487";"";"";"";"";"417";"904";"356 701"
"GB";"Curzon Artificial Eye (GB)";"22/04/2011";"109 944";"";"";"284";"";"75";"";"";"";"3";"78";"110 306"
"GR";"Odeon (GR)";"24/04/2011";"24 471";"447";"";"";"";"";"";"";"";"";"";"24 918"
"HR";"Continental Film (HR)";"25/09/2011";"1 599";"";"214";"";"";"";"";"";"";"";"";"1 813"
"IE";"Artificial Eye Film Company (IE)";"22/04/2011";"3 311";"";"";"";"";"";"";"";"";"";"";"3 311"
"IT";"Bim Distribuzione";"04/11/2011";"223 632";"34 382";"3 254";"";"56";"36";"20";"";"55";"60";"227";"261 495"
"LU";"Cineart (LU)";"08/04/2011";"1 694";"";"";"";"";"";"";"";"";"";"";"1 694"
"LV";"Arsenals";"";"684";"554";"";"";"";"";"";"";"";"";"";"1 238"
"MK";"Filosofical Film Festival (MK)";"02/03/2012";"";"690";"";"";"";"";"";"";"49";"";"49";"739"
"NL";"Cinéart Nederland";"07/07/2011";"93 309";"8 613";"285";"394";"";"97";"";"237";"178";"234";"746";"103 347"
"NO";"Arthaus (NO)";"04/11/2011";"13 905";"1 473";"";"30";"135";"";"125";"176";"59";"";"495";"15 903"
"PL";"Nowe Horyzonty";"21/10/2011";"46 914";"11 219";"";"";"";"";"";"";"";"";"";"58 133"
"PT";"Midas Filmes";"12/05/2011";"23 460";"394";"";"165";"";"";"155";"";"102";"";"257";"24 276"
"RO";"Parada Film";"09/09/2011";"12 929";"298";"";"19";"108";"14";"";"";"";"";"122";"13 368"
"RU";"Premium Film (RU)";"28/09/2011";"61 901";"";"";"";"";"";"";"87";"";"";"87";"61 988"
"SE";"TriArt Film";"21/10/2011";"15 572";"4 225";"164";"";"";"26";"";"";"";"";"26";"19 987"
"SI";"Continental Film (SI)";"05/04/2015";"";"";"";"";"198";"";"";"";"";"";"198";"198"
"SK";"Continental Film (SK)";"22/09/2011";"1 644";"348";"83";"";"";"";"";"";"";"";"";"2 075"
"TR";"Tiglon";"29/04/2011";"10 266";"641";"";"";"";"";"";"";"";"";"";"10 907"
"EUR EU";"";"";"1 524 053";"141 496";"8 005";"3 174";"2 111";"1 358";"447";"1 365";"886";"714";"6 881";"1 683 609"
"EUR OBS";"";"";"1 673 489";"145 620";"8 457";"3 220";"2 246";"1 659";"656";"1 628";"1 107";"872";"8 168";"1 838 954"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011"
" - film_id : 37702"
