"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2011-2020";"Total since 2007"
"AT";"Filmladen";"05/10/2007";"22 652";"5 558";"127";"27";"";"";"";"";"";"";"";"";"";"";"";"28 364"
"BE";"Cineart (BE)";"14/11/2007";"27 976";"17 096";"1 348";"";"";"";"";"";"";"";"";"";"";"";"";"46 420"
"BG";"Art Fest";"17/03/2008";"";"";"";"109";"";"20";"47";"";"";"";"";"";"";"";"67";"176"
"CH";"Cineworx";"04/10/2007";"33 809";"3 006";"101";"139";"";"55";"";"";"101";"84";"";"";"";"";"240";"37 295"
"CZ";"Bontonfilm";"15/11/2007";"1 854";"1 900";"121";"154";"";"";"";"3";"";"";"";"";"";"";"3";"4 032"
"DE";"Pandora Film (DE)";"27/09/2007";"454 303";"66 912";"";"46 147";"";"";"";"282";"101";"17";"";"25";"7";"120";"552";"567 914"
"DK";"Camera Film";"14/12/2007";"1 963";"5 009";"121";"";"";"";"";"";"";"";"";"";"";"";"";"7 093"
"EE";"";"28/06/2008";"";"1 382";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 382"
"ES";"Golem Distribucion";"11/03/2008";"";"154 560";"1 666";"256";"1 102";"";"64";"";"";"";"";"";"";"";"1 166";"157 648"
"FI";"Future Film (FI)";"21/03/2008";"";"5 512";"81";"";"";"";"";"";"";"";"";"";"";"";"";"5 593"
"FR";"Pyramide Distribution";"14/11/2007";"329 930";"120 040";"";"2 297";"";"";"";"";"";"";"";"";"";"";"";"452 267"
"GB";"Curzon Artificial Eye (GB)";"22/02/2008";"";"27 410";"";"";"";"";"";"49";"20";"";"123";"";"";"";"192";"27 602"
"GR";"Rosebud";"14/02/2008";"";"58 729";"";"122";"";"";"";"";"";"";"";"";"";"";"";"58 851"
"HU";"Best Hollywood";"10/04/2008";"";"5 430";"";"1";"";"";"";"";"";"";"";"";"";"";"";"5 431"
"IE";"Artificial Eye Film Company (IE)";"22/02/2008";"";"1 210";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 210"
"IS";"";"";"2 188";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 188"
"IT";"Bim Distribuzione";"09/11/2007";"86 324";"31 095";"213";"";"";"";"";"";"";"8";"";"";"";"";"8";"117 640"
"LT";"";"19/04/2008";"";"3 610";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 610"
"LU";"Cineart (LU)";"28/09/2007";"";"162";"";"";"";"";"";"";"";"";"";"";"";"";"";"162"
"LV";"Rigas Nami";"27/06/2008";"";"232";"";"";"52";"";"";"";"";"";"";"";"";"";"52";"284"
"NL";"A-Film (NL)";"07/02/2008";"64";"14 358";"286";"119";"";"";"";"";"";"";"";"";"";"";"";"14 827"
"NO";"Arthaus (NO)";"04/01/2008";"256";"26 128";"";"";"";"8";"";"";"";"";"";"";"";"";"8";"26 392"
"PL";"Kino Swiat";"17/10/2008";"";"19 839";"3 176";"462";"";"";"";"";"";"";"";"";"";"";"";"23 477"
"PT";"Atalanta Filmes";"09/10/2008";"";"6 536";"643";"";"";"45";"";"19";"30";"";"";"";"";"";"94";"7 273"
"RO";"IF-Independenta Film";"25/06/2008";"";"2 866";"412";"";"";"";"";"";"";"187";"";"";"";"";"187";"3 465"
"SE";"Folkets Bio";"26/10/2007";"19 592";"23 871";"153";"";"";"";"20";"6";"";"";"";"";"";"";"26";"43 642"
"TR";"Medyavizyon";"26/10/2007";"284 282";"5 414";"";"";"";"";"";"";"";"";"";"";"";"";"";"289 696"
"EUR EU";"";"";"944 658";"573 317";"8 347";"49 694";"1 154";"65";"131";"359";"151";"212";"123";"25";"7";"120";"2 347";"1 578 363"
"EUR OBS";"";"";"1 265 193";"607 865";"8 448";"49 833";"1 154";"128";"131";"359";"252";"296";"123";"25";"7";"120";"2 595";"1 933 934"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007"
" - film_id : 27946"
