"Film";"Producing country";"Production year";"Directors";"Admissions EUR EU (since 1996)"
"Nightlife (DE)
Nightlife (EN)
Нощен живот (BG)
Nightlife (DE)
Nightlife (FR)
Nightlife (IT)
Nocne życie (PL)
Ночная жизнь (RU)
Noćni život (SR)";"DE";"2020";"Simon Verhoeven";"1 498 465"
"Leberkäsjunkie (DE)
Leberkäsjunkie (DE)
Колбасный торчок (RU)";"DE";"2019";"Ed Herzog";"1 492 086"
"Happily N'Ever After (EN)
En Grimm Historie (DA)
En Grimm historie (DA)
Es war keinmal im Märchenland (DE)
Es war k'einmal im Märchenland (DE)
Zisame emeis kala ki aftoi... heirotera (EL)
Erase Una Vez... Un Cuento al Reves (ES)
Colorín colorado, este cuento no se ha acabado (ES)
Érase una vez... un cuento al revés (ES)
Colorín, colorado, este cuento no ha acabado (ES)
Colorín Colorado - Este cuento no ha terminado (ES)
Sikin sokin saduissa (FI)
Cendrillon et le prince (pas trop) charmant (FR)
Čiča miča, (ne)sretna je priča (HR)
Fedőneve: Pipő (HU)
Cenerentola E Gli 007 Nani (IT)
Cenerentola e gli 007 nani (IT)
Assepoester & de Keukenprins (NL)
Assepoester en de keukenprins (NL)
Happily N'ever After (NO)
Kaos i Eventyrland (NO)
Happy Wkręt (PL)
E Não Viveram Felizes Para Sempre (PT)
Deu a Louca na Cinderela (PT)
A fost odata ... ca nicio alta data (RO)
Новые приключения Золушки (RU)
Trubbel i sagoland (SV)
Masallar Diyari (TR)
Happily N'Ever After (XX)
Au royaume désenchanté (XX)
Agada Shmagda (XX)";"DE";"2007";"Yvette Kaplan
Paul Bolger";"1 484 402"
"Der Vorname (DE)
How About Adolf? (EN)";"DE";"2018";"Sönke Wortmann";"1 482 962"
"Knallharte Jungs (DE)
More Ants in the Pants (EN)
Porky college (EN)
Kluci to taky chtěj... a pořád (CS)
Hangyák a gatyában 2. (HU)
Un Duro Per Amico (IT)
Porky college: Un duro per amico (IT)
More Ants in the Pants (NL)
Parcie na tarcie (PL)
Новые муравьи в штанах (RU)
Chalani to tiež chcú...a stále! (SK)
Tecnoba v hlacah 2 (SL)
Kryp i brallan (SV)
Knallharte Jungs (XX)
More Ants in the Pants (XX)
More Ants in the Pants (XX)";"DE";"2002";"Granz Henman";"1 450 687"
"Es ist ein Elch entsprungen (DE)
Un invitado por navidad (ES)
Un invitado por Navidad (ES)
A karácsonyi jávorszarvas kalandjai (HU)
Prettige kerst, Mr. Moose (NL)
Uma Rena Caiu do Céu (PT)
Es ist ein Elch entsprungen (XX)
A Christmoose Carol (XX)";"DE";"2005";"Ben Verbong";"1 443 975"
"Felix - Ein Hase auf Weltreise (DE)
Felix: All Around the World (EN)
Felix - Autour du Monde (FR)
Felix - il Coniglietto Giramondo (IT)
Felix: Coniglietto giramondo (IT)
Felix, uma Volta ao Mundo (PT)
Félix e a Máquina do Tempo (PT)
Felix - Ein Hase auf Weltreise (XX)
Misaviv la'olam im Felix (XX)
Felix All Around the World: An Animated Classic (XX)";"DE / IT";"2005";"Giuseppe Laganà
Guiseppe Maurizio Laganà";"1 438 869"
"Männerherzen... und die ganz ganz große Liebe (DE)
Männerherzen 2 (DE)
Férfiszívek 2 (HU)
Mashki srca (MK)
Faceci w wielkim miescie 2 (PL)
Мужчины в большом городе-2 (RU)
Мужчины в большом городе 2 (RU)
Чоловiки у великому мiстi 2 (UK)
Männerherzen... und die ganz ganz große Liebe (XX)
Men in the City 2 (XX)";"DE";"2011";"Simon Verhoeven";"1 436 528"
"Urmel aus dem Eis (DE)
Impy's Island (EN)
Impy to deinosavraki (EL)
Rebelion en la isla - Impy's Island (ES)
La isla de los dinosaurios (ES)
Mi amigo Dino (ES)
Rebelión en la isla (ES)
La isla de los dinosauris (ES)
Les aventures de Impy le dinosaure (FR)
Impy, a kis dinoszaurusz (HU)
Ævintýri Ibba (IS)
Impy E Il Mistero Dell'Isola Magica (IT)
Impy e il mistero dell'isola magica (IT)
Wyspa Dinozaura (PL)
A Ilha Do Impy (PT)
Tô de Férias (PT)
A Ilha do Impy (PT)
Impijev Otok (SL)
Impijev otok (SL)
Impijevo ostrvo (SR)
Dino 2 - Full fart med Dino (SV)
Sevimli dinozor (TR)
Urmel aus dem Eis (XX)
Impy's Island (XX)";"DE";"2006";"Holger Tappe
Reinhard Klooss";"1 424 719"
"Eine ganz heiße Nummer (DE)
Um Número Muito Quente (PT)
Eine ganz heiße Nummer (XX)";"DE";"2011";"Markus Goller";"1 407 910"
"Siegfried (DE)
Siegfried (CS)
Siegfried (EL)
Sigfrido (ES)
Siegfried, a baromarcú lovag (HU)
Кольца Нибелунгов (RU)
Siegfried (XX)";"DE";"2005";"Sven Unterwaldt Jr.";"1 392 552"
"Maria, Ihm schmeckt's nicht! (DE)
Maria, He Doesn't Like It (EN)
Wedding Fever in Campobello (EN)
Maria, ihm schmeckt's nicht! (DE)
Mi gran boda italiana (ES)
Campobellói lagzi (HU)
Indovina chi sposa mia figlia (IT)
Wesele w Campobello (PL)
Мария, ему не нравится еда (RU)
Maria, ihm schmeckt's nicht! (XX)
Maria, He Doesn't Like It (XX)
Wedding Fever in Campobello (XX)";"DE / IT";"2009";"Neele Leana Vollmar";"1 386 541"
"Warum Männer nicht zuhören und Frauen schlechter einparken können (DE)
Why Men Don't Listen and Women Can't Read Maps (EN)
Pourquoi les hommes n'écoutent jamais rien et les femmes ne savent... (FR)";"DE";"2007";"Leander Haußmann";"1 382 351"
"Bibi & Tina: Voll verhext! (DE)
Bibi & Tina voll verhext! (DE)
Bibi & Tina 2 - Liefde en diefstal op de manege (NL)
Bibi & Tina voll verhext! (XX)
Bibi Und Tina 2 (XX)";"DE";"2014";"Detlev Buck";"1 375 395"
