"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2013-2020";"Total since 2009"
"AT";"Universal Pictures (AT)";"21/08/2009";"389 306";"";"";"";"";"";"";"";"";"";"";"";"";"389 306"
"BE";"UPI (BE)";"19/08/2009";"487 000";"";"";"";"";"";"";"";"";"61";"";"";"61";"487 061"
"BG";"Prooptiki (BG)";"28/08/2009";"59 247";"";"";"";"";"";"";"";"";"";"";"";"";"59 247"
"CH";"Universal Pictures (CH)";"19/08/2009";"272 127";"480";"68";"71";"";"";"";"";"2";"";"29";"50";"81";"272 827"
"CZ";"CinemArt (CZ)";"27/08/2009";"247 017";"5 006";"302";"1 089";"100";"819";"1 100";"217";"652";"878";"909";"1 781";"6 456";"259 870"
"DE";"Universal Pictures (DE)";"20/08/2009";"2 104 523";"44 601";"";"";"";"587";"60";"756";"";"";"";"";"1 403";"2 150 527"
"DK";"UIP (DK)";"28/08/2009";"139 856";"123";"";"";"";"";"";"";"";"";"";"";"";"139 979"
"EE";"Forum Cinemas (EE)";"09/08/2009";"44 183";"185";"";"";"";"";"";"";"";"";"";"";"";"44 368"
"ES";"Universal Pictures Int'l Spain";"18/09/2009";"1 784 366";"4 557";"69";"";"123";"";"73";"22";"15";"49";"64";"";"346";"1 789 338"
"FI";"Finnkino";"04/09/2009";"180 963";"1 122";"";"";"";"";"";"";"";"";"";"";"";"182 085"
"FR";"Universal Pictures Intl France (FR)";"19/08/2009";"2 834 807";"";"";"";"";"";"";"";"";"";"";"1 757";"1 757";"2 836 564"
"GB";"Universal Pictures (GB)";"21/08/2009";"1 972 611";"27 529";"";"";"";"46";"18";"258";"";"";"";"54";"376";"2 000 516"
"HR";"Blitz Film & Video Distribution (HR)";"03/09/2009";"78 453";"";"";"";"";"";"";"";"";"";"";"";"";"78 453"
"HU";"UIP-Dunafilm";"20/08/2009";"244 288";"";"";"";"";"";"";"";"";"";"";"";"";"244 288"
"IT";"Universal (IT)";"02/10/2009";"1 507 738";"11 798";"1 901";"229";"66";"";"48";"";"";"";"55";"";"169";"1 521 835"
"LT";"";"28/08/2009";"32 643";"";"";"";"";"";"";"";"";"";"";"";"";"32 643"
"LU";"";"";"";"";"";"";"";"";"";"";"";"61";"";"";"61";"61"
"LV";"Forum Cinemas (LV)";"21/08/2009";"28 227";"48";"4";"";"";"";"";"";"";"";"";"";"";"28 279"
"NL";"Universal Pictures Int (NL)";"27/08/2009";"629 010";"1 502";"20";"";"81";"14";"";"1 185";"";"83";"418";"1 032";"2 813";"633 345"
"NO";"UIP (NO)";"21/08/2009";"262 514";"31";"";"";"";"";"";"";"";"";"";"";"";"262 545"
"PL";"UIP (PL)";"11/09/2009";"576 338";"1 287";"";"";"";"";"";"";"";"";"";"";"";"577 625"
"PT";"ZON Lusomundo Audiovisuais";"27/08/2009";"339 658";"751";"";"";"";"";"";"";"";"";"";"";"";"340 409"
"RO";"Ro-Image 2000";"04/09/2009";"96 017";"1 105";"";"";"";"";"";"";"";"";"";"";"";"97 122"
"SE";"UIP / Universal";"21/08/2009";"362 185";"55";"";"";"";"";"";"";"";"";"";"";"";"362 240"
"SI";"Karantanija Cinemas";"20/08/2009";"59 794";"465";"";"";"78";"";"";"";"";"";"";"";"78";"60 337"
"SK";"CinemaArt (SK)";"27/08/2009";"50 684";"";"";"";"";"";"";"30";"41";"50";"110";"150";"381";"51 065"
"TR";"UIP (TR)";"21/08/2009";"288 894";"280";"";"";"";"";"";"";"";"";"";"";"";"289 174"
"EUR EU";"";"";"14 248 914";"100 134";"2 296";"1 318";"448";"1 466";"1 299";"2 468";"708";"1 182";"1 556";"4 774";"13 901";"14 366 563"
"EUR OBS";"";"";"15 072 449";"100 925";"2 364";"1 389";"448";"1 466";"1 299";"2 468";"710";"1 182";"1 585";"4 824";"13 982";"15 191 109"
"US_CA";"The Weinstein Company";"21/08/2009";"16 069 994";"";"";"";"";"";"";"";"";"";"";"";"";"16 069 994"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 32206"
