"Market";"Distributor";"Release date";"2006";"2007";"2008";"2014";"Total since 2006"
"BE";"Belga Films (BE)";"05/07/2006";"130 460";"";"";"";"130 460"
"CZ";"Intersonic (CZ)";"05/10/2006";"19 329";"451";"";"60";"19 840"
"DK";"Angel Films";"12/05/2006";"26 302";"";"";"";"26 302"
"EE";"Forum Cinemas (EE)";"06/09/2006";"4 509";"";"";"";"4 509"
"ES";"Tripictures";"03/04/2006";"706 998";"211";"";"";"707 209"
"FI";"Scanbox Finland";"26/05/2006";"17 647";"";"";"";"17 647"
"FR";"Metropolitan Filmexport";"28/06/2006";"328 466";"";"";"";"328 466"
"GB";"Entertainment (GB)";"24/02/2006";"938 576";"";"";"";"938 576"
"IS";"";"";"6 618";"";"";"";"6 618"
"IT";"Moviemax";"25/08/2006";"590 030";"200";"50";"";"590 280"
"LU";"";"16/06/2006";"7 300";"";"";"";"7 300"
"LV";"Acme (LV)";"26/05/2006";"6 259";"";"";"";"6 259"
"NL";"Independent Films (NL)";"20/04/2006";"70 871";"";"";"";"70 871"
"NO";"Scanbox Entertainment (NO)";"12/05/2006";"19 595";"";"";"";"19 595"
"PL";"Best Film";"18/08/2006";"104 993";"";"";"";"104 993"
"PT";"ZON Lusomundo Audiovisuais";"27/07/2006";"99 832";"5";"";"";"99 837"
"RO";"Pro Video";"";"11 503";"24";"";"";"11 527"
"SE";"Scanbox Entertainment (SE)";"16/06/2006";"24 504";"";"";"";"24 504"
"SI";"Karantanija Cinemas";"11/05/2006";"2 797";"";"";"";"2 797"
"SK";"Intersonic SK";"09/11/2006";"9 614";"477";"";"";"10 091"
"TR";"Warner Bros. (TR)";"21/04/2006";"99 869";"";"";"";"99 869"
"EUR EU";"";"";"3 099 990";"1 368";"50";"60";"3 101 468"
"EUR OBS";"";"";"3 226 072";"1 368";"50";"60";"3 227 550"
"US_CA";"";"";"3 434 422";"";"";"";"3 434 422"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2008, 2007, 2006"
" - film_id : 25673"
