"Market";"Distributor";"Release date";"2013";"2014";"Total since 2013"
"AT";"Warner Bros. (AT)";"07/02/2013";"213 495";"";"213 495"
"CH";"Warner Bros. (CH)";"07/02/2013";"170 480";"23";"170 503"
"DE";"Warner Bros. (DE)";"07/02/2013";"2 749 139";"156";"2 749 295"
"RU";"20th Century Fox (RU)";"20/06/2013";"73 600";"";"73 600"
"EUR EU";"";"";"2 962 634";"156";"2 962 790"
"EUR OBS";"";"";"3 206 714";"179";"3 206 893"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2013"
" - film_id : 44674"
