"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2012-2020";"Total since 2008"
"AT";"Constantin Film (AT)";"13/11/2009";"";"71 659";"2 341";"198";"349";"";"";"";"";"";"";"";"";"349";"74 547"
"BE";"Kinepolis Film Distribution (BE)";"17/12/2008";"40 202";"";"";"";"";"";"";"";"";"";"";"";"";"";"40 202"
"BG";"Pro Films (BG)";"27/04/2012";"";"";"";"";"5 477";"";"";"";"";"";"";"";"";"5 477";"5 477"
"CH";"JMH Distributions (CH)";"17/12/2009";"";"3 297";"853";"";"";"";"";"";"12";"";"";"";"";"12";"4 162"
"CZ";"35 mm";"11/12/2008";"27 556";"21 471";"1 344";"643";"200";"183";"";"215";"";"";"";"";"";"598";"51 612"
"DE";"LEONINE Distribution GmbH";"05/11/2009";"";"705 345";"44 201";"8 149";"";"";"610";"523";"420";"293";"66";"138";"271";"2 321";"760 016"
"DK";"Nordisk Film Distribution (DK)";"12/12/2008";"75 002";"16 349";"664";"13";"";"";"";"";"";"";"";"";"";"";"92 028"
"ES";"Filmax Pictures";"19/12/2009";"";"79 895";"98 097";"5";"26";"";"503";"40";"";"";"";"";"";"569";"178 566"
"FI";"Nordisk Film Theatrical Dist.";"10/10/2008";"196 087";"37 133";"63";"45";"";"";"";"";"";"";"";"";"";"";"233 328"
"FR";"Bac Films";"17/12/2008";"404 095";"266 037";"23 721";"5 594";"";"";"";"";"";"";"";"";"";"";"699 447"
"GB";"Magma Films";"28/11/2008";"10 473";"1 306";"";"";"";"";"";"";"";"";"";"";"";"";"11 779"
"HR";"Blitz Film & Video Distribution (HR)";"12/11/2009";"";"33 015";"";"";"";"";"";"";"";"";"";"";"";"";"33 015"
"IT";"Videa-CDE";"30/10/2009";"";"12 845";"1 404";"";"";"";"";"915";"";"128";"";"";"";"1 043";"15 292"
"LT";"Forum Cinemas / Universal";"13/11/2009";"";"";"567";"20";"";"";"";"";"";"";"";"";"";"";"587"
"NL";"Entertainment One Benelux";"18/12/2008";"61 925";"25 648";"4 650";"69";"";"";"";"";"";"";"";"";"";"";"92 292"
"NO";"Nordisk Filmdistribusjon";"26/12/2008";"3 840";"6 652";"41";"";"";"";"";"";"";"";"";"";"";"";"10 533"
"PL";"Kino Swiat";"27/11/2009";"";"360 002";"46 595";"3 383";"1 758";"1 221";"";"";"";"";"";"";"";"2 979";"412 959"
"PT";"Valentim de Carvalho Multimedia";"22/12/2011";"";"";"";"7 158";"3 168";"";"";"";"";"";"";"";"";"3 168";"10 326"
"SE";"Nordisk Film";"07/11/2008";"21 381";"2 520";"175";"";"";"";"";"";"";"";"";"";"";"";"24 076"
"SI";"Karantanija Cinemas";"03/12/2009";"";"67 197";"16 447";"368";"234";"46";"";"";"";"";"";"";"";"280";"84 292"
"SK";"Continental Film (SK)";"04/12/2008";"14 813";"13 930";"2 225";"764";"22";"";"";"";"";"";"";"";"";"22";"31 754"
"TR";"Tiglon";"20/02/2009";"";"75 826";"4 862";"";"3 444";"1 544";"594";"";"";"";"";"";"";"5 582";"86 270"
"EUR EU";"";"";"851 534";"1 714 352";"242 494";"26 409";"11 234";"1 450";"1 113";"1 693";"420";"421";"66";"138";"271";"16 806";"2 851 595"
"EUR OBS";"";"";"855 374";"1 800 127";"248 250";"26 409";"14 678";"2 994";"1 707";"1 693";"432";"421";"66";"138";"271";"22 400";"2 952 560"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
" - film_id : 29564"
