"Market";"Distributor";"Release date";"2000";"2001";"2002";"2003";"2004";"2006";"2007";"2008";"2009";"2014";"2017";"2018";"2019";"2004-2019";"Total since 2000"
"AT";"";"";"66 793";"";"";"";"";"";"";"";"";"";"";"";"";"";"66 793"
"CH";"";"";"12 756";"";"";"";"";"";"";"";"";"";"";"";"";"";"12 756"
"DE";"Warner Bros. (DE)";"";"764 291";"79 938";"";"";"";"";"";"";"";"";"";"";"";"";"844 229"
"EE";"GPI (EE)";"24/11/2017";"";"";"";"";"";"";"";"";"";"";"5 514";"";"";"5 514";"5 514"
"ES";"Sherlock Films";"10/11/2000";"148 681";"44 359";"344";"72";"47";"";"";"";"";"";"";"";"";"47";"193 503"
"FR";"";"";"395 017";"15 650";"2 348";"2 007";"250";"";"";"";"";"";"";"";"";"250";"415 272"
"GB";"Icon Film Distribution (GB)";"13/10/2000";"936 497";"";"";"";"";"";"";"";"";"31";"39";"";"";"70";"936 567"
"IS";"";"";"";"6 751";"";"";"";"";"";"";"";"";"";"";"";"";"6 751"
"IT";"";"";"";"";"48 643";"";"";"";"";"28";"";"";"";"";"";"28";"48 671"
"NL";"Entertainment One Benelux";"12/04/2001";"";"89 160";"";"";"";"14";"18";"";"25";"";"";"418";"";"475";"89 635"
"NO";"Many More Films (NO)";"04/10/2019";"";"";"";"";"";"";"";"";"";"";"";"";"9 019";"9 019";"9 019"
"PL";"";"";"";"35 301";"1 228";"";"";"";"";"";"";"";"";"";"";"";"36 529"
"EUR EU";"";"";"2 311 279";"264 408";"52 563";"2 079";"297";"14";"18";"28";"25";"31";"5 553";"418";"";"6 384";"2 636 713"
"EUR OBS";"";"";"2 324 035";"271 159";"52 563";"2 079";"297";"14";"18";"28";"25";"31";"5 553";"418";"9 019";"15 403";"2 665 239"
"US_CA";"";"";"2 465 495";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 465 495"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2014, 2009, 2008, 2007, 2006, 2004, 2003, 2002, 2001, 2000"
" - film_id : 15215"
