"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2016";"2018";"2020";"2013-2020";"Total since 2009"
"AT";"Warner Bros. (AT)";"23/07/2009";"441 699";"";"";"";"";"";"";"";"";"";"441 699"
"BG";"";"";"21 734";"";"";"";"";"";"";"";"";"";"21 734"
"CH";"Warner Bros. (CH)";"19/06/2009";"335 679";"137";"97";"";"128";"";"";"";"";"128";"336 041"
"CZ";"Warner Bros. (CZ)";"18/06/2009";"62 833";"50";"2";"10";"";"";"";"";"";"";"62 895"
"DE";"Warner Bros. (DE)";"23/07/2009";"2 136 313";"4 619";"54 772";"";"";"";"";"";"";"";"2 195 704"
"DK";"Sandrew Metronome (DK)";"31/07/2009";"179 539";"132";"";"";"";"";"";"";"";"";"179 671"
"EE";"Forum Cinemas (EE)";"19/06/2009";"34 206";"124";"";"";"";"";"";"";"";"";"34 330"
"ES";"Warner Bros. Entertainment Espana";"11/08/2009";"1 038 716";"414";"54";"";"131";"140";"";"";"";"271";"1 039 455"
"FI";"Sandrew Metronome Distribution";"24/06/2009";"111 252";"243";"";"";"";"";"";"";"";"";"111 495"
"FR";"Warner Bros. (FR)";"24/06/2009";"2 003 760";"";"";"";"";"";"";"";"438";"438";"2 004 198"
"GB";"Version Digital (GB)";"12/06/2009";"4 066 372";"";"";"";"";"14";"143";"";"72";"229";"4 066 601"
"HR";"Blitz Film & Video Distribution (HR)";"11/06/2009";"90 497";"";"";"";"";"";"";"";"";"";"90 497"
"HU";"Intercom";"17/06/2009";"318 719";"";"";"";"";"";"";"";"";"";"318 719"
"IS";"Samfilm";"12/06/2009";"";"";"";"";"";"";"";"";"517";"517";"517"
"IT";"Warner Bros. (IT)";"19/06/2009";"662 615";"638";"124";"";"";"";"";"";"";"";"663 377"
"LT";"";"12/06/2009";"55 833";"";"";"";"";"";"";"";"";"";"55 833"
"LV";"Warner Bros. (LV)";"12/06/2009";"36 426";"123";"";"";"";"";"";"";"";"";"36 549"
"NL";"Warner Bros. (NL)";"11/06/2009";"488 665";"263";"929";"";"";"";"";"";"1 539";"1 539";"491 396"
"NO";"Norsk Filmdistribusjon";"19/06/2009";"274 597";"";"";"";"16";"";"";"";"";"16";"274 613"
"PL";"Warner (PL)";"07/08/2009";"534 044";"1 054";"";"";"";"";"";"";"";"";"535 098"
"PT";"Columbia TriStar Warner (PT)";"18/06/2009";"236 205";"43";"";"";"";"";"";"";"";"";"236 248"
"RO";"Intercomfilm";"12/06/2009";"107 573";"";"";"";"";"";"";"";"";"";"107 573"
"SE";"Warner (SE)";"10/06/2009";"291 131";"3";"45";"";"";"";"";"";"";"";"291 179"
"SI";"Blitz Film & Video Distribution (SI)";"11/06/2009";"61 990";"341";"";"";"";"";"";"";"";"";"62 331"
"SK";"Continental Film (SK)";"11/06/2009";"70 896";"268";"";"";"";"";"";"20";"";"20";"71 184"
"TR";"Warner Bros. (TR)";"10/07/2009";"93 628";"";"";"";"";"";"";"";"";"";"93 628"
"EUR EU";"";"";"13 051 018";"8 315";"55 926";"10";"131";"154";"143";"20";"2 049";"2 497";"13 117 766"
"EUR OBS";"";"";"13 754 922";"8 452";"56 023";"10";"275";"154";"143";"20";"2 566";"3 158";"13 822 565"
"US_CA";"Warner Bros. (US)";"05/06/2009";"36 976 334";"";"";"";"";"";"";"";"";"";"36 976 334"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2016, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 32193"
