"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2012";"2018";"2019";"2020";"2005-2020";"Total since 2001"
"AT";"";"";"";"36 464";"3 186";"283";"";"";"";"";"";"";"";"";"";"";"";"39 933"
"BE";"";"";"";"";"29 531";"3 856";"";"";"";"";"";"";"";"";"";"";"";"33 387"
"BG";"";"";"";"";"";"4 803";"";"";"";"";"";"";"";"";"";"";"";"4 803"
"CH";"Filmcoopi Zürich";"14/02/2002";"";"48 302";"13 721";"";"";"";"";"";"";"";"";"35";"";"";"35";"62 058"
"CZ";"CinemArt (CZ)";"17/04/2003";"";"";"20 513";"3 364";"1 370";"1 099";"384";"193";"61";"";"";"";"";"";"3 107";"26 984"
"DE";"Constantin Film (DE)";"27/12/2001";"114 474";"1 181 303";"349 977";"16 458";"";"";"";"";"";"";"";"38";"106";"18";"162";"1 662 374"
"DK";"Marco Film";"";"";"";"2 982";"470";"66";"";"";"";"";"";"";"";"";"";"66";"3 518"
"ES";"Indisa Kaplan";"15/05/2003";"";"";"437 388";"534";"10";"";"116";"67";"";"";"";"";"";"";"193";"438 115"
"FI";"Kamras Film Group";"25/07/2003";"";"";"8 816";"5 442";"406";"185";"";"";"";"";"";"";"";"";"591";"14 849"
"FR";"TFM Distribution";"10/03/2004";"";"";"";"49 945";"";"";"";"";"";"";"";"";"";"";"";"49 945"
"GB";"";"";"";"";"53 723";"";"";"";"";"";"";"";"";"";"";"";"";"53 723"
"GR";"Rosebud";"02/05/2003";"";"";"7 527";"";"";"";"";"";"";"";"";"";"";"";"";"7 527"
"IE";"";"";"";"";"2 085";"";"";"";"";"";"";"";"";"";"";"";"";"2 085"
"IS";"";"";"";"";"971";"";"";"";"";"";"";"";"";"";"";"";"";"971"
"IT";"Buena Vista (IT)";"12/11/2004";"";"";"";"1 134";"1 743";"";"45";"";"";"";"";"";"";"";"1 788";"2 922"
"NL";"A-Film (NL)";"24/04/2003";"";"";"19 201";"3 774";"";"43";"40";"";"";"28";"";"";"";"";"111";"23 086"
"PL";"Kino Swiat";"28/11/2003";"";"";"10 250";"12 821";"1 699";"";"";"";"";"";"";"";"";"";"1 699";"24 770"
"PT";"Pris Audiovisuais";"11/07/2003";"";"";"10 669";"";"";"";"";"";"";"";"27";"";"";"";"27";"10 696"
"SE";"Atlantic Film (SE)";"07/05/2004";"";"";"";"6 957";"312";"";"";"";"";"";"";"";"";"";"312";"7 269"
"SI";"A.G. Market";"08/05/2003";"";"";"11 817";"";"20";"";"";"";"";"";"";"";"";"";"20";"11 837"
"SK";"ASFK";"09/02/2004";"";"";"";"2 246";"";"";"";"43";"";"";"";"";"";"";"43";"2 289"
"EUR EU";"";"";"114 474";"1 217 767";"967 665";"112 087";"5 626";"1 327";"585";"303";"61";"28";"27";"38";"106";"18";"8 119";"2 420 112"
"EUR OBS";"";"";"114 474";"1 266 069";"982 357";"112 087";"5 626";"1 327";"585";"303";"61";"28";"27";"73";"106";"18";"8 154";"2 483 141"
"US_CA";"";"";"";"";"1 024 908";"";"";"";"";"";"";"";"";"";"";"";"";"1 024 908"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2012, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001"
" - film_id : 17898"
