"Market";"Distributor";"Release date";"2007";"2008";"2010";"2011";"2012";"2016";"2012-2016";"Total since 2007"
"AT";"Universal Pictures (AT)";"07/09/2007";"235 229";"";"";"";"";"";"";"235 229"
"BE";"Park Circus (BE)";"12/09/2007";"";"";"";"";"";"292";"292";"292"
"BG";"Prooptiki (BG)";"17/08/2007";"41 637";"";"";"";"";"";"";"41 637"
"CH";"Universal Pictures (CH)";"06/09/2007";"239 080";"68";"";"";"";"";"";"239 148"
"CZ";"Bontonfilm";"30/08/2007";"66 474";"161";"2";"";"108";"";"108";"66 745"
"DE";"Universal Pictures (DE)";"06/09/2007";"1 667 155";"4 062";"";"";"";"";"";"1 671 217"
"DK";"UIP (DK)";"17/08/2007";"165 816";"229";"";"";"";"";"";"166 045"
"EE";"Forum Cinemas (EE)";"01/09/2007";"21 643";"";"";"62";"";"";"";"21 705"
"ES";"Universal Pictures Int'l Spain";"13/08/2007";"1 729 159";"623";"";"";"";"";"";"1 729 782"
"FI";"Finnkino/UIP (FI)";"17/08/2007";"96 862";"";"";"";"";"";"";"96 862"
"FR";"Paramount Pictures (FR)";"12/09/2007";"1 531 201";"";"";"";"";"";"";"1 531 201"
"GB";"Universal Pictures (GB)";"17/08/2007";"4 697 906";"";"";"";"";"";"";"4 697 906"
"HU";"UIP-Dunafilm";"19/10/2007";"90 600";"";"";"";"";"";"";"90 600"
"IS";"Myndform";"22/08/2007";"23 837";"";"";"";"";"";"";"23 837"
"IT";"Universal (IT)";"01/11/2007";"753 889";"406";"";"";"";"";"";"754 295"
"LV";"";"";"28 261";"";"";"";"";"";"";"28 261"
"NL";"Universal Pictures Int (NL)";"13/09/2007";"431 559";"";"";"";"";"";"";"431 559"
"NO";"UIP (NO)";"14/09/2007";"205 741";"97";"";"";"";"";"";"205 838"
"PL";"UIP (PL)";"07/09/2007";"223 048";"";"";"";"";"";"";"223 048"
"PT";"ZON Lusomundo Audiovisuais";"20/09/2007";"195 513";"";"";"";"";"";"";"195 513"
"RO";"Ro-Image 2000";"10/08/2007";"37 993";"356";"";"";"";"";"";"38 349"
"SE";"UIP / Universal";"12/09/2007";"192 365";"158";"";"";"";"";"";"192 523"
"SI";"Karantanija Cinemas";"13/09/2007";"29 194";"86";"";"";"";"";"";"29 280"
"SK";"Tatra Film";"30/08/2007";"17 865";"42";"";"";"";"";"";"17 907"
"TR";"UIP (TR)";"12/10/2007";"175 497";"";"";"";"";"";"";"175 497"
"EUR EU";"";"";"12 253 369";"6 123";"2";"62";"108";"292";"400";"12 259 956"
"EUR OBS";"";"";"12 897 524";"6 288";"2";"62";"108";"292";"400";"12 904 276"
"US_CA";"Universal Pictures (US)";"03/08/2007";"33 062 655";"";"";"";"";"";"";"33 062 655"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2012, 2011, 2010, 2008, 2007"
" - film_id : 27902"
