"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2006-2020";"Total since 2002"
"AT";"";"";"29 923";"8 894";"934";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"39 751"
"BE";"Cinemien (BE)";"";"12 068";"49 056";"175";"";"";"";"";"";"";"";"";"";"";"";"";"";"8";"";"";"8";"61 307"
"BG";"Art Fest";"16/01/2004";"";"";"6 094";"21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6 115"
"CH";"Filmcoopi Zürich";"12/09/2002";"85 790";"11 750";"";"";"";"90";"40";"29";"38";"191";"";"";"7";"459";"122";"39";"6";"";"";"1 021";"98 561"
"CZ";"CinemArt (CZ)";"09/01/2003";"";"12 139";"594";"455";"";"56";"";"";"";"1 056";"1 191";"54";"315";"80";"";"35";"17";"";"";"2 804";"15 992"
"DE";"Pandora Film (DE)";"14/11/2002";"251 544";"110 246";"";"";"";"";"";"";"";"";"";"";"145";"99";"109";"374";"57";"96";"177";"1 057";"362 847"
"DK";"Husets Biograf";"";"14 734";"5 211";"278";"239";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"20 462"
"EE";"MPDE";"08/11/2002";"3 268";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 268"
"ES";"Golem Distribucion";"26/12/2002";"";"97 124";"199";"58";"";"170";"";"";"";"";"";"190";"";"";"";"";"338";"";"";"698";"98 079"
"FI";"Pirkanmaan Elokuvakeskus";"01/03/2002";"142 026";"34 206";"";"";"";"";"";"";"49";"15";"";"";"46";"";"";"";"";"";"";"110";"176 342"
"FR";"Pyramide Distribution";"06/12/2002";"528 969";"95 489";"23 778";"52 306";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"700 542"
"GB";"ICA Projects (GB)";"24/01/2003";"";"41 874";"";"";"";"";"";"";"";"";"";"";"";"";"";"109";"";"";"";"109";"41 983"
"GR";"Prooptiki (GR)";"11/10/2002";"36 864";"7 445";"135";"240";"";"133";"";"";"";"";"";"";"";"";"";"";"";"";"";"133";"44 817"
"HU";"Budapestfilm";"";"";"16 768";"";"";"";"221";"";"";"";"";"";"";"";"";"";"";"";"";"";"221";"16 989"
"IS";"";"";"";"1 631";"";"";"";"240";"";"";"";"";"";"";"";"";"";"";"";"";"";"240";"1 871"
"IT";"Bim Distribuzione";"06/12/2002";"93 941";"201 471";"470";"19";"";"27";"";"42";"";"";"";"304";"";"";"";"90";"353";"";"";"816";"296 717"
"LT";"Acme (LT)";"29/11/2002";"2 406";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 406"
"LU";"";"";"";"5 254";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 254"
"LV";"Acme (LV)";"";"";"";"42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"42"
"NL";"Eye Film Institute";"01/01/2005";"";"23 869";"";"";"55";"14";"17";"";"";"215";"";"117";"";"";"";"";"35";"";"";"453";"24 322"
"NO";"Arthaus (NO)";"23/08/2002";"38 039";"3 318";"";"";"";"59";"";"";"";"";"";"";"";"";"";"";"";"";"";"59";"41 416"
"PL";"Gutek Film";"21/03/2003";"";"31 624";"1 818";"476";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"33 918"
"PT";"Atalanta Filmes";"";"";"1 192";"";"";"";"";"";"62";"";"";"";"";"";"";"";"";"";"";"";"62";"1 254"
"RO";"IF-Independenta Film";"13/12/2002";"1 066";"1 748";"";"";"";"";"";"";"";"";"99";"";"";"";"";"";"";"";"";"99";"2 913"
"SE";"Folkets Bio";"02/08/2002";"53 076";"39 267";"889";"135";"";"";"";"";"28";"10";"";"25";"";"13";"51";"";"";"";"";"127";"93 494"
"SI";"Creativa";"30/01/2003";"";"4 394";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 394"
"SK";"ASFK";"29/03/2012";"";"2 915";"428";"209";"";"";"";"";"";"";"465";"";"15";"";"13";"";"21";"";"";"514";"4 066"
"TR";"";"";"";"9 496";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 496"
"EUR EU";"";"";"1 169 885";"790 186";"35 834";"54 158";"55";"621";"17";"104";"77";"1 296";"1 755";"690";"521";"192";"173";"608";"829";"96";"177";"7 211";"2 057 274"
"EUR OBS";"";"";"1 293 714";"816 381";"35 834";"54 158";"55";"1 010";"57";"133";"115";"1 487";"1 755";"690";"528";"651";"295";"647";"835";"96";"177";"8 531";"2 208 618"
"US_CA";"";"";"";"152 876";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"152 876"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002"
" - film_id : 18716"
