"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2005";"2006";"2008";"2009";"2010";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2005-2020";"Total since 2001"
"AT";"";"";"26 268";"2 448";"1 679";"1 733";"";"";"";"";"";"";"";"";"";"";"";"";"";"32 128"
"BE";"Vlaams Centrum voor Kinder";"16/10/2002";"";"1 992";"1 636";"581";"399";"";"";"";"";"";"";"";"";"";"";"";"399";"4 608"
"CH";"Frenetic Films (CH)";"13/12/2001";"5 647";"18 146";"";"";"";"";"350";"";"";"";"57";"";"175";"";"";"";"582";"24 375"
"DE";"Weltkino Filmverleih (DE)";"18/10/2001";"1 541 187";"198 781";"20 446";"10 444";"13 440";"";"";"";"";"1 226";"496";"192";"19 076";"12 027";"4 201";"4 226";"54 884";"1 825 742"
"NL";"ABC Film Distribution/Cinemien";"04/07/2002";"";"121 715";"";"";"";"91";"";"41";"244";"";"";"";"";"";"";"";"376";"122 091"
"EUR EU";"";"";"1 567 455";"324 936";"23 761";"12 758";"13 839";"91";"";"41";"244";"1 226";"496";"192";"19 076";"12 027";"4 201";"4 226";"55 659";"1 984 569"
"EUR OBS";"";"";"1 573 102";"343 082";"23 761";"12 758";"13 839";"91";"350";"41";"244";"1 226";"553";"192";"19 251";"12 027";"4 201";"4 226";"56 241";"2 008 944"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2010, 2009, 2008, 2006, 2005, 2004, 2003, 2002, 2001"
" - film_id : 17889"
