"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2016";"2017";"2018";"2019";"2020";"2007-2020";"Total since 2003"
"AT";"Filmladen";"09/05/2003";"133 746";"5 508";"434";"92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"139 780"
"BE";"Cinemien (BE)";"10/09/2003";"71 169";"23 549";"7 003";"1 573";"";"";"";"";"";"";"";"";"";"";"";"144";"59";"203";"103 497"
"BG";"";"13/02/2004";"";"1 789";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 789"
"CH";"Filmcoopi Zürich";"13/03/2003";"218 772";"17 385";"";"";"29";"95";"232";"";"";"";"";"30";"16";"8";"5";"37";"39";"491";"236 648"
"CZ";"Hollywood";"17/11/2003";"49 133";"59 257";"2 417";"748";"765";"66";"644";"";"";"";"";"";"";"";"";"";"";"1 475";"113 030"
"DE";"X-Verleih";"13/02/2003";"6 439 777";"135 184";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6 574 961"
"DK";"Ost for Paradis";"29/08/2003";"91 902";"23 347";"1 506";"2 211";"35";"36";"303";"40";"";"";"";"";"";"";"";"";"";"414";"119 380"
"EE";"Estinfilm";"05/09/2003";"3 452";"931";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 383"
"ES";"Wanda Vision";"05/11/2003";"289 286";"214 844";"242";"519";"";"";"180";"";"";"15";"39";"";"";"856";"19";"";"";"1 109";"506 000"
"FI";"Pirkanmaan Elokuvakeskus";"07/11/2003";"11 243";"27 161";"2 915";"225";"";"";"";"";"";"";"";"";"";"";"";"";"40";"40";"41 584"
"FR";"Océan Films";"10/09/2003";"1 286 274";"139 007";"31 936";"82 046";"";"";"";"";"";"";"";"";"";"";"";"";"365";"365";"1 539 628"
"GB";"UGC Films (GB)";"25/07/2003";"226 718";"";"";"";"";"";"";"";"";"";"";"86";"";"19";"";"";"";"105";"226 823"
"GR";"Playtime Releasing EPE";"03/10/2003";"101 866";"17 757";"427";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"120 050"
"HU";"Budapestfilm";"";"40 637";"25 710";"";"";"402";"";"";"";"";"";"";"";"";"";"";"";"";"402";"66 749"
"IE";"";"";"22 850";"1 087";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"23 937"
"IS";"";"";"";"5 298";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 298"
"IT";"Lady Film";"09/05/2003";"391 161";"31 439";"312";"757";"";"68";"579";"";"";"";"";"";"";"";"";"2 481";"340";"3 468";"427 137"
"LU";"";"";"10 200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"10 200"
"MK";"German Embassy (MK)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50";"";"50";"50"
"NL";"Cinemien";"13/11/2003";"112 771";"129 046";"1 390";"251";"173";"15";"129";"277";"80";"";"";"187";"";"";"";"40";"45";"946";"244 404"
"NO";"Fidalgo";"12/09/2003";"29 874";"5 665";"";"166";"308";"25";"";"38";"";"";"";"";"";"";"";"";"";"371";"36 076"
"PL";"SPI Poland";"14/11/2003";"141 139";"50 003";"973";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"192 115"
"PT";"Alambique";"19/09/2003";"61 576";"";"";"";"";"";"";"";"6";"";"41";"210";"";"";"114";"655";"122";"1 148";"62 724"
"RO";"IF-Independenta Film";"26/12/2003";"1 799";"8 891";"";"";"29";"";"88";"16";"";"";"";"19";"";"";"";"";"";"152";"10 842"
"SE";"Triangelfilm";"28/11/2003";"24 027";"61 807";"239";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86 073"
"SI";"Cinemania Group";"08/04/2004";"";"12 635";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"12 635"
"SK";"Continental Film (SK)";"26/02/2004";"";"23 275";"608";"";"545";"";"43";"12";"";"";"";"";"";"";"";"";"";"600";"24 483"
"TR";"";"";"";"18 140";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"18 140"
"EUR EU";"";"";"9 510 726";"992 227";"50 402";"88 422";"1 949";"185";"1 966";"345";"86";"15";"80";"502";"";"875";"133";"3 320";"971";"10 427";"10 652 204"
"EUR OBS";"";"";"9 759 372";"1 038 715";"50 402";"88 588";"2 286";"305";"2 198";"383";"86";"15";"80";"532";"16";"883";"138";"3 407";"1 010";"11 339";"10 948 416"
"US_CA";"";"";"";"654 428";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"654 428"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003"
" - film_id : 20399"
