"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2011";"2012";"2015";"2016";"2017";"2019";"2020";"2006-2020";"Total since 2002"
"AT";"";"";"279 403";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"279 403"
"BE";"Alternative Films (BE)";"30/01/2002";"787 220";"2 906";"2 483";"780";"";"";"";"";"";"";"";"";"";"";"";"";"793 389"
"BG";"";"";"15 406";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15 406"
"CH";"Pathé Films (CH)";"30/01/2002";"494 719";"1 716";"";"";"";"74";"";"16";"";"";"";"";"";"33";"64";"187";"496 622"
"CY";"";"";"8 171";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8 171"
"CZ";"Bontonfilm";"13/06/2002";"109 651";"9 853";"1 510";"978";"645";"280";"305";"";"";"";"";"";"";"";"";"1 230";"123 222"
"DE";"Tobis Film (DE)";"07/03/2002";"1 614 311";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 614 311"
"DK";"Sandrew Metronome (DK)";"19/04/2002";"91 624";"1 387";"";"";"7";"";"";"";"";"";"";"";"";"";"";"7";"93 018"
"EE";"BDG Film";"22/11/2002";"3 950";"1 001";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 951"
"ES";"Tripictures";"04/07/2002";"1 551 756";"4 885";"201";"";"140";"";"";"";"";"";"";"";"";"49";"";"189";"1 557 031"
"FI";"Sandrew Metronome Distribution";"15/03/2002";"63 549";"";"128";"120";"62";"";"40";"";"";"";"";"";"";"";"";"102";"63 899"
"FR";"Pathé Distribution (FR)";"31/01/2002";"14 307 145";"5 997";"566";"";"168";"";"";"";"";"";"";"";"";"";"816";"984";"14 314 692"
"GB";"Pathé Distribution (GB)";"11/10/2002";"9 431";"";"";"";"";"";"";"";"";"";"4";"4";"1";"";"";"9";"9 440"
"GR";"Rosebud";"01/02/2002";"348 265";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"348 265"
"HU";"";"";"300 371";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"300 371"
"IE";"";"";"367";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"367"
"IS";"";"";"";"7 059";"77";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 136"
"IT";"";"";"636 646";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"636 646"
"LT";"Acme (LT)";"27/09/2002";"14 474";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"14 474"
"LU";"";"";"39 000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"39 000"
"NL";"A-Film (NL)";"21/03/2002";"103 598";"69";"";"";"130";"";"83";"";"224";"";"";"";"";"";"";"437";"104 104"
"NO";"Sandrew Metronome (NO)";"15/03/2002";"140 036";"178";"";"";"";"24";"77";"";"";"";"";"";"";"";"";"101";"140 315"
"PL";"";"";"668 551";"10 265";"1 170";"";"";"";"";"";"";"";"";"";"";"";"";"";"679 986"
"PT";"";"";"389 827";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"389 827"
"RO";"IF-Independenta Film";"21/02/2003";"1 210";"23 692";"";"52";"";"";"";"";"";"";"";"";"";"";"";"";"24 954"
"SE";"";"";"67 457";"66";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"67 523"
"SI";"";"";"50 841";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50 841"
"SK";"Tatra Film";"11/04/2002";"32 951";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"32 951"
"TR";"Ozen Film";"10/01/2003";"";"155 607";"";"";"";"";"";"";"";"240";"";"";"";"";"";"240";"155 847"
"EUR EU";"";"";"21 495 175";"60 121";"6 058";"1 930";"1 152";"280";"428";"";"224";"";"4";"4";"1";"49";"816";"2 958";"21 566 242"
"EUR OBS";"";"";"22 129 930";"224 681";"6 135";"1 930";"1 152";"378";"505";"16";"224";"240";"4";"4";"1";"82";"880";"3 486";"22 366 162"
"US_CA";"";"";"451 762";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"451 762"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2017, 2016, 2015, 2012, 2011, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002"
" - film_id : 18690"
