"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2006";"2007";"2008";"2009";"2012";"2014";"2015";"2006-2015";"Total since 2000"
"AT";"";"";"154 601";"";"";"";"";"";"";"";"";"";"";"";"154 601"
"BE";"";"";"452 073";"";"";"";"";"";"";"";"";"";"";"";"452 073"
"BG";"";"";"22 309";"4 677";"";"";"";"";"";"";"";"";"";"";"26 986"
"CH";"Elite Film";"07/03/2001";"290 138";"";"";"";"";"";"";"62";"";"";"";"62";"290 200"
"CY";"";"";"35 102";"";"";"";"";"";"";"";"";"";"";"";"35 102"
"CZ";"SPI";"24/01/2002";"";"48 770";"377";"93";"";"20";"";"3";"";"";"";"23";"49 263"
"DE";"20th Century Fox (DE)";"";"1 338 186";"";"";"";"";"";"";"";"";"";"";"";"1 338 186"
"DK";"Miracle Film";"16/03/2001";"134 152";"480";"";"";"";"";"46";"";"";"";"";"46";"134 678"
"EE";"ArturWeber";"20/04/2001";"18 240";"";"";"";"";"";"";"";"";"";"";"";"18 240"
"ES";"Sherlock Media";"29/01/2001";"1 429 973";"264";"";"113";"";"";"";"";"";"";"13";"13";"1 430 363"
"FR";"";"";"1 833 736";"2 719";"270";"53";"";"";"";"";"";"";"";"";"1 836 778"
"GB";"Entertainment (GB)";"26/01/2001";"2 035 796";"";"";"";"";"";"";"";"";"32";"";"32";"2 035 828"
"HU";"";"";"";"1 577";"";"";"";"";"";"";"";"";"";"";"1 577"
"IS";"";"";"26 527";"";"";"";"";"";"";"";"";"";"";"";"26 527"
"IT";"";"";"922 778";"436";"";"";"";"";"";"";"";"";"";"";"923 214"
"LT";"";"";"18 334";"";"";"";"";"";"";"";"";"";"";"";"18 334"
"LU";"";"";"27 000";"";"";"";"";"";"";"";"";"";"";"";"27 000"
"NL";"Entertainment One Benelux";"";"250 215";"";"";"";"";"";"";"";"22";"";"";"22";"250 237"
"NO";"";"";"189 601";"";"";"";"";"";"";"";"";"";"";"";"189 601"
"PL";"Vision";"11/05/2001";"261 877";"680";"";"";"";"";"";"";"";"";"";"";"262 557"
"RO";"";"";"";"13 398";"74";"76";"";"";"";"";"";"";"";"";"13 548"
"SE";"";"";"318 097";"";"";"";"";"";"";"";"";"";"";"";"318 097"
"SK";"SPI SK";"03/01/2002";"";"27 777";"";"";"27";"";"";"";"";"";"";"27";"27 804"
"TR";"";"";"260 202";"";"";"";"";"";"";"";"";"";"";"";"260 202"
"EUR EU";"";"";"9 252 469";"100 778";"721";"335";"27";"20";"46";"3";"22";"32";"13";"163";"9 354 466"
"EUR OBS";"";"";"10 018 937";"100 778";"721";"335";"27";"20";"46";"65";"22";"32";"13";"225";"10 120 996"
"US_CA";"";"";"22 958 081";"";"";"";"";"";"";"";"";"";"";"";"22 958 081"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2014, 2012, 2009, 2008, 2007, 2006, 2004, 2003, 2002, 2001"
" - film_id : 17263"
