"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2008-2020";"Total since 2004"
"AT";"Constantin Film (AT)";"17/09/2004";"223 954";"2 401";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"226 355"
"BE";"Cineart (BE)";"12/01/2005";"";"312 481";"2 787";"449";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"315 717"
"BG";"Pro Films (BG)";"09/09/2005";"";"13 016";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13 016"
"CH";"Eigenverleih / Propre Distribution (CH)";"23/09/2004";"162 633";"46 312";"";"18";"8";"";"";"117";"";"";"";"29";"";"";"";"309";"";"463";"209 426"
"CZ";"Bontonfilm";"31/03/2005";"";"127 089";"5 425";"420";"252";"143";"72";"40";"82";"";"60";"30";"";"";"";"";"";"679";"133 613"
"DE";"Constantin Film (DE)";"16/09/2004";"4 521 903";"120 113";"";"";"";"";"";"";"";"";"177";"126";"348";"";"107";"269";"6";"1 033";"4 643 049"
"DK";"Sandrew Metronome (DK)";"11/03/2005";"";"336 063";"275";"114";"160";"";"";"";"";"";"";"";"";"";"";"";"";"160";"336 612"
"EE";"MPDE";"30/04/2005";"";"5 851";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 851"
"ES";"DeAPlaneta";"16/02/2005";"";"712 274";"322";"";"";"40";"";"";"";"";"";"";"";"";"";"";"";"40";"712 636"
"FI";"Sandrew Metronome Distribution";"28/01/2005";"";"70 486";"13";"";"";"";"18";"";"";"";"";"";"";"";"";"";"";"18";"70 517"
"FR";"TFM Distribution";"05/01/2005";"90";"912 940";"2 222";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"915 252"
"GB";"Momentum Pictures (GB)";"01/04/2005";"";"406 710";"";"";"";"";"";"";"";"";"";"126";"33";"15";"";"";"";"174";"406 884"
"GR";"Prooptiki (GR)";"18/03/2005";"";"60 180";"403";"302";"67";"";"";"";"";"";"";"";"";"";"";"";"";"67";"60 952"
"HU";"Best Hollywood";"20/01/2005";"";"201 424";"868";"217";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"202 509"
"IS";"Myndform";"08/04/2005";"";"3 803";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 803"
"IT";"01 Distribution";"29/04/2005";"";"316 709";"10 512";"1 161";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"328 382"
"LT";"Acme (LT)";"06/05/2005";"";"3 962";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 962"
"LV";"Acme (LV)";"29/04/2005";"";"6 736";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6 736"
"NL";"A-Film (NL)";"04/11/2004";"236 601";"139 195";"1 804";"158";"6";"58";"";"";"";"35";"";"";"";"";"";"";"";"99";"377 857"
"NO";"Sandrew Metronome (NO)";"18/02/2005";"";"264 431";"1 853";"162";"44";"8";"52";"";"";"";"";"";"";"";"";"";"";"104";"266 550"
"PL";"Monolith";"05/11/2004";"240 732";"49 844";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"290 576"
"PT";"LNK Audiovisuais";"21/04/2005";"";"77 183";"";"";"";"";"";"";"";"";"";"33";"";"";"";"";"";"33";"77 216"
"RO";"Prooptiki (RO)";"10/06/2005";"";"16 669";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16 669"
"SE";"Sandrew / Warner";"25/02/2005";"";"82 203";"";"15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"82 218"
"SI";"Fivia";"07/04/2005";"";"21 513";"315";"";"670";"";"";"60";"";"120";"";"";"";"";"";"";"";"850";"22 678"
"SK";"Tatra Film";"31/03/2005";"";"17 462";"48";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17 510"
"TR";"Ozen Film";"25/03/2005";"";"92 347";"";"906";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"93 253"
"EUR EU";"";"";"5 223 280";"4 012 504";"24 994";"2 836";"1 155";"241";"90";"100";"82";"155";"237";"315";"381";"15";"107";"269";"6";"3 153";"9 266 767"
"EUR OBS";"";"";"5 385 913";"4 419 397";"26 847";"3 922";"1 207";"249";"142";"217";"82";"155";"237";"344";"381";"15";"107";"578";"6";"3 720";"9 839 799"
"US_CA";"";"";"";"859 444";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"859 444"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 21908"
