"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"Total since 2015"
"AT";"Fox Int'l (AT)";"27/11/2015";"27 983";"2 316";"";"";"";"30 299"
"BA";"Blitz Film & Video Distribution (BA)";"";"8 138";"";"";"";"";"8 138"
"BE";"20th Century Fox (BE)";"02/12/2015";"";"35 827";"419";"92";"92";"36 430"
"BG";"Aleksandra";"27/11/2015";"17 870";"1 625";"";"";"";"19 495"
"CH";"20th Century Fox (CH)";"26/11/2015";"68 155";"21 543";"";"";"";"89 698"
"CZ";"CinemArt (CZ)";"03/12/2015";"48 307";"13 644";"489";"251";"";"62 691"
"DE";"20th Century Fox (DE)";"26/11/2015";"311 569";"115 120";"895";"319";"";"427 903"
"DK";"SF Studios (DK)";"26/11/2015";"58 678";"12 624";"";"";"";"71 302"
"EE";"ETD";"27/11/2015";"8 596";"346";"";"";"";"8 942"
"ES";"Hispano Foxfilms";"01/12/2015";"1 032 336";"345 784";"39";"";"";"1 378 159"
"FI";"FS Film (FI)";"27/11/2015";"27 579";"6 740";"";"";"";"34 319"
"FR";"20th Century Fox (FR)";"02/12/2015";"760 295";"";"";"";"";"760 295"
"GB";"20th Century Fox (GB)";"27/11/2015";"930 185";"195 571";"92";"";"";"1 125 848"
"GE";"20th Century Fox (GE)";"";"";"1 954";"";"";"";"1 954"
"GR";"Odeon (GR)";"";"135 194";"6 242";"";"";"";"141 436"
"HR";"Blitz Film & Video Distribution (HR)";"26/11/2015";"27 615";"648";"";"";"";"28 263"
"HU";"Intercom";"26/11/2015";"108 081";"15 270";"14";"";"";"123 365"
"IS";"Sena";"27/11/2015";"3 379";"257";"";"";"";"3 636"
"IT";"20th Century Fox (IT)";"16/12/2015";"815 717";"833 929";"";"";"159";"1 649 805"
"LT";"Theatrical Film Distribution / 20th Century Fox (LT)";"27/11/2015";"15 839";"472";"";"";"";"16 311"
"LV";"LTD Latvian Theatrical Distribution";"27/11/2015";"9 266";"715";"";"";"";"9 981"
"ME";"";"";"3 230";"3 230";"";"";"";"6 460"
"NL";"Warner Bros.-20 Cent.Fox-catalogue";"26/11/2015";"149 672";"33 667";"";"";"";"183 339"
"NO";"20th Century Fox (NO)";"27/11/2015";"63 968";"14 357";"52";"";"";"78 377"
"PL";"Imperial Cinepix";"27/11/2015";"242 393";"21 596";"";"";"";"263 989"
"PT";"Big Picture 2 Films";"26/11/2015";"87 042";"14 151";"";"";"";"101 193"
"RO";"Odeon Cineplex";"27/11/2015";"104 873";"9 705";"";"";"";"114 578"
"RU";"20 Century Fox - CIS (RU)";"03/12/2015";"492 645";"11 451";"";"";"";"504 096"
"SE";"20th Century Fox (SE)";"27/11/2015";"64 475";"9 740";"";"";"";"74 215"
"SI";"Blitz Film & Video Distribution (SI)";"26/11/2015";"4 344";"556";"";"";"";"4 900"
"SK";"Barracuda Movie";"03/12/2015";"13 919";"3 402";"80";"40";"";"17 441"
"TR";"Tme";"27/11/2015";"181 152";"8 567";"";"";"";"189 719"
"EUR EU";"";"";"5 001 828";"1 679 690";"2 028";"702";"251";"6 684 499"
"EUR OBS";"";"";"5 822 495";"1 741 049";"2 080";"702";"251";"7 566 577"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015"
" - film_id : 63944"
