"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2014";"2016";"2012-2016";"Total since 2008"
"AT";"Centfox";"22/01/2009";"";"139 821";"";"";"";"";"";"";"139 821"
"BG";"";"";"";"19 284";"";"";"";"";"";"";"19 284"
"CH";"20th Century Fox (CH)";"22/01/2009";"";"94 528";"";"";"";"";"";"";"94 528"
"CZ";"CinemArt (CZ)";"12/02/2009";"";"67 731";"1 241";"60";"40";"18";"";"58";"69 090"
"DE";"20th Century Fox (DE)";"22/01/2009";"";"1 303 240";"";"";"";"";"";"";"1 303 240"
"DK";"SF Film (DK)";"06/02/2009";"";"99 716";"";"";"";"";"";"";"99 716"
"EE";"Forum Cinemas (EE)";"13/02/2009";"";"10 789";"";"";"";"";"";"";"10 789"
"ES";"Hispano Foxfilms";"20/01/2009";"";"1 000 951";"100";"";"";"";"";"";"1 001 051"
"FI";"SF Film Finland [FS Film]";"30/01/2009";"";"56 728";"";"";"";"";"";"";"56 728"
"FR";"UGC Distribution";"28/01/2009";"";"704 230";"";"";"";"";"";"";"704 230"
"GB";"20th Century Fox (GB)";"23/01/2009";"";"1 196 700";"";"";"";"";"22";"22";"1 196 722"
"HR";"Continental Film (HR)";"26/02/2009";"";"23 265";"";"";"";"";"";"";"23 265"
"HU";"Intercom";"19/02/2009";"";"66 292";"";"";"";"";"";"";"66 292"
"IT";"01 Distribution";"30/01/2009";"";"747 805";"155";"510";"109";"";"";"109";"748 579"
"LT";"";"20/02/2009";"";"15 684";"";"";"";"";"";"";"15 684"
"LV";"Forum Cinemas (LV)";"";"";"8 717";"";"";"";"";"";"";"8 717"
"NL";"Warner Bros.-20 Cent.Fox-catalogue";"22/01/2009";"";"365 927";"492";"";"";"";"";"";"366 419"
"NO";"20th Century Fox (NO)";"30/01/2009";"";"64 092";"";"";"";"";"";"";"64 092"
"PL";"Imperial Cinepix";"13/02/2009";"";"171 079";"";"";"";"";"";"";"171 079"
"PT";"CLMC Multimedia";"05/02/2009";"";"164 309";"";"";"";"";"";"";"164 309"
"RO";"Odeon Cineplex";"30/01/2009";"";"31 442";"";"";"";"";"";"";"31 442"
"SE";"20th Century Fox (SE)";"30/01/2009";"";"160 778";"32";"";"";"";"";"";"160 810"
"SI";"Continental Film (SI)";"26/02/2009";"";"16 667";"323";"";"";"";"";"";"16 990"
"SK";"Tatra Film";"12/02/2009";"";"16 140";"";"";"";"";"";"";"16 140"
"TR";"Tiglon";"30/01/2009";"";"154 584";"594";"";"";"";"";"";"155 178"
"EUR EU";"";"";"";"6 387 295";"2 343";"570";"149";"18";"22";"189";"6 390 397"
"EUR OBS";"";"";"";"6 700 499";"2 937";"570";"149";"18";"22";"189";"6 704 195"
"US_CA";"Metro-Goldwyn-Mayer (US)";"25/12/2008";"6 497 118";"4 857 137";"";"";"";"";"";"";"11 354 255"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2014, 2012, 2011, 2010, 2009, 2008"
" - film_id : 30414"
