"Market";"Distributor";"Release date";"2010";"2011";"2012";"Total since 2010"
"AT";"Constantin Film (AT)";"17/09/2010";"185 893";"";"";"185 893"
"BE";"Belga Films (BE)";"29/09/2010";"103 624";"";"";"103 624"
"BG";"Aleksandra";"10/09/2010";"50 097";"127";"";"50 224"
"CH";"Pathé Films (CH)";"16/09/2010";"63 863";"";"";"63 863"
"CZ";"Falcon";"23/09/2010";"62 708";"204";"";"62 912"
"DE";"Constantin Film (DE)";"16/09/2010";"1 138 014";"";"";"1 138 014"
"DK";"";"";"36 093";"";"";"36 093"
"EE";"Forum Cinemas (EE)";"10/09/2010";"25 078";"";"";"25 078"
"ES";"Sony Pictures Releasing De Espana";"30/08/2010";"756 886";"";"";"756 886"
"FI";"The Walt Disney Company Nordic";"17/09/2010";"34 388";"52";"";"34 440"
"FR";"Metropolitan Filmexport";"22/09/2010";"911 560";"";"";"911 560"
"GB";"Sony Pictures (GB)";"10/09/2010";"815 955";"";"";"815 955"
"GR";"Odeon (GR)";"";"48 912";"";"";"48 912"
"HU";"Intercom";"10/09/2010";"114 569";"";"";"114 569"
"IT";"Sony Pictures (IT)";"10/09/2010";"449 780";"";"32";"449 812"
"LT";"ACME / Sony";"10/09/2010";"31 135";"";"";"31 135"
"LV";"Sony";"10/09/2010";"27 494";"";"";"27 494"
"NL";"Entertainment One Benelux";"23/09/2010";"70 030";"";"";"70 030"
"NO";"Walt Disney Studios Motion Pictures (NO)";"17/09/2010";"31 656";"";"";"31 656"
"PL";"UIP (PL)";"10/09/2010";"212 137";"";"";"212 137"
"PT";"Columbia TriStar Warner (PT)";"16/09/2010";"141 005";"";"";"141 005"
"RO";"Intercomfilm";"17/09/2010";"86 512";"";"414";"86 926"
"RU";"Walt Disney Studios Sony Pictures Releasing";"10/09/2010";"2 514 991";"";"";"2 514 991"
"SE";"Sony (Walt Disney)";"17/09/2010";"115 368";"62";"";"115 430"
"SI";"Continental Film (SI)";"10/09/2010";"14 347";"";"";"14 347"
"SK";"Itafilm";"23/09/2010";"27 220";"";"";"27 220"
"TR";"Pinema";"10/09/2010";"331 689";"181";"";"331 870"
"EUR EU";"";"";"5 458 805";"445";"446";"5 459 696"
"EUR OBS";"";"";"8 401 004";"626";"446";"8 402 076"
"US_CA";"Sony Pictures (US)";"10/09/2010";"7 620 858";"";"";"7 620 858"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2011, 2010"
" - film_id : 34934"
