"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2010";"2014";"2019";"2006-2019";"Total since 2002"
"BE";"";"";"72 817";"";"";"";"";"";"";"";"";"";"";"72 817"
"BG";"New Films";"01/11/2002";"19 771";"23 949";"";"";"";"";"";"";"";"";"";"43 720"
"CH";"";"";"48 401";"";"";"";"";"";"";"";"";"";"";"48 401"
"CY";"";"";"2 188";"";"";"";"";"";"";"";"";"";"";"2 188"
"CZ";"SPI";"15/08/2002";"70 720";"1 024";"";"";"";"";"";"";"";"";"";"71 744"
"DE";"Constantin Film (DE)";"21/03/2002";"949 752";"";"9 639";"";"";"";"";"";"3";"33";"36";"959 427"
"DK";"Buena Vista (DK)";"07/06/2002";"10 766";"";"";"";"";"194";"";"";"";"";"194";"10 960"
"EE";"BDG Film";"25/10/2002";"2 985";"654";"";"";"";"";"";"";"";"";"";"3 639"
"ES";"Filmax (SOGEDASA)";"18/06/2002";"1 112 719";"1 519";"2 139";"";"1 657";"6 961";"35";"57";"";"";"8 710";"1 125 087"
"FI";"";"";"17 507";"";"";"";"";"";"";"";"";"";"";"17 507"
"FR";"";"";"1 091 781";"64";"17 508";"";"";"";"";"";"";"";"";"1 109 353"
"GB";"";"";"605 574";"";"";"";"";"";"";"";"";"";"";"605 574"
"HU";"";"";"24 079";"";"";"";"";"";"";"";"";"";"";"24 079"
"IS";"";"";"6 284";"";"";"";"";"";"";"";"";"";"";"6 284"
"IT";"Sony Pictures (IT)";"05/07/2002";"604 323";"";"";"23";"";"";"";"";"";"98";"98";"604 444"
"LT";"";"";"17 671";"";"";"";"";"";"";"";"";"";"";"17 671"
"LU";"";"";"4 535";"";"";"";"";"";"";"";"";"";"";"4 535"
"NL";"";"";"63 987";"";"";"";"";"";"";"";"";"";"";"63 987"
"NO";"Walt Disney Studios Motion Pictures (NO)";"";"14 932";"";"";"";"";"";"47";"";"";"";"47";"14 979"
"PL";"Vision";"26/07/2002";"89 299";"";"";"";"";"";"";"";"";"";"";"89 299"
"PT";"";"";"194 238";"";"";"";"";"";"";"";"";"";"";"194 238"
"RO";"New Films Intl.";"25/10/2002";"35 019";"3 899";"";"";"";"";"";"";"";"";"";"38 918"
"SE";"";"";"63 416";"";"120";"";"";"";"";"";"";"";"";"63 536"
"SK";"SPI SK";"10/10/2002";"20 019";"";"";"";"";"";"";"";"";"";"";"20 019"
"TR";"";"";"93 922";"";"";"";"";"";"";"";"";"";"";"93 922"
"EUR EU";"";"";"5 073 166";"31 109";"29 406";"23";"1 657";"7 155";"35";"57";"3";"131";"9 038";"5 142 742"
"EUR OBS";"";"";"5 236 705";"31 109";"29 406";"23";"1 657";"7 155";"82";"57";"3";"131";"9 085";"5 306 328"
"US_CA";"";"";"6 818 726";"";"";"";"";"";"";"";"";"";"";"6 818 726"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2014, 2010, 2008, 2007, 2006, 2005, 2004, 2003, 2002"
" - film_id : 18739"
