"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2017-2020";"Total since 2013"
"AT";"Constantin Film (AT)";"03/10/2013";"391 469";"9 637";"100";"";"";"";"";"";"";"401 206"
"BE";"Independent Films Distribution (BE)";"02/10/2013";"59 618";"";"";"";"";"";"";"";"";"59 618"
"CH";"Elite Film";"26/09/2013";"79 002";"283";"12";"";"25";"";"";"";"25";"79 322"
"CY";"Odeon (CY)";"27/09/2013";"2 633";"";"";"";"";"";"";"";"";"2 633"
"CZ";"Bioscop (AQS)";"03/10/2013";"154 426";"14 895";"3 553";"877";"1 039";"884";"503";"1 096";"3 522";"177 273"
"DE";"LEONINE Distribution GmbH";"03/10/2013";"540 271";"14 014";"359";"353";"42";"";"207";"657";"906";"555 903"
"DK";"UIP (DK)";"12/09/2013";"24 376";"";"";"";"";"";"";"";"";"24 376"
"EE";"HeaFilm";"06/12/2013";"13 326";"2 667";"";"";"";"";"";"";"";"15 993"
"ES";"Aurum Producciones";"20/09/2013";"209 209";"";"";"";"";"";"";"";"";"209 209"
"FI";"Future Film (FI)";"13/09/2013";"29 595";"18";"";"";"";"";"";"";"";"29 613"
"FR";"Pathé Distribution (FR)";"25/09/2013";"342 994";"";"";"";"";"";"";"";"";"342 994"
"GB";"StudioCanal (GB)";"13/09/2013";"1 543 328";"1 379";"";"4";"";"";"";"4 352";"4 352";"1 549 063"
"GR";"Odeon (GR)";"19/09/2013";"36 351";"369";"158";"";"";"";"";"";"";"36 878"
"HR";"Blitz Film & Video Distribution (HR)";"03/10/2013";"44 935";"";"";"";"";"";"";"";"";"44 935"
"HU";"ProVideo";"12/09/2013";"88 481";"";"";"";"";"";"";"";"";"88 481"
"IT";"01 Distribution";"19/09/2013";"1 030 274";"4 926";"125";"";"797";"";"";"";"797";"1 036 122"
"LT";"Theatrical Film Distribution / 20th Century Fox (LT)";"06/12/2013";"8 686";"429";"";"";"";"";"";"";"";"9 115"
"LU";"Independent Films Distributie";"25/09/2013";"6 150";"";"";"";"";"";"";"";"";"6 150"
"LV";"LTD Latvian Theatrical Distribution";"";"";"546";"";"";"";"";"";"";"";"546"
"ME";"";"";"2 581";"";"";"";"";"";"";"";"";"2 581"
"NL";"Independent Films (NL)";"03/10/2013";"53 170";"53";"";"";"";"";"335";"";"335";"53 558"
"NO";"Norsk Filmdistribusjon";"04/10/2013";"24 262";"";"";"";"";"";"";"";"";"24 262"
"PL";"Vue Movie";"08/11/2013";"236 946";"5 746";"";"";"";"";"";"";"";"242 692"
"PT";"NOS Lusomundo Audiovisuais (PT)";"03/10/2013";"61 929";"658";"26";"20";"";"";"";"";"";"62 633"
"RO";"Media Pro Distributions";"27/09/2013";"35 320";"316";"";"";"";"";"";"";"";"35 636"
"RU";"20th Century Fox (RU)";"17/10/2013";"544 384";"";"";"";"";"";"";"";"";"544 384"
"SE";"Noble Entertainment";"04/10/2013";"38 735";"";"";"";"";"";"";"";"";"38 735"
"SI";"Blitz Film & Video Distribution (SI)";"31/10/2013";"9 970";"1 365";"";"";"";"";"";"";"";"11 335"
"SK";"Magic Box Slovakia";"03/10/2013";"21 309";"939";"415";"28";"";"14";"";"";"14";"22 705"
"TR";"Pinema";"20/09/2013";"37 611";"50";"";"";"";"";"";"";"";"37 661"
"EUR EU";"";"";"4 983 501";"57 957";"4 736";"1 282";"1 878";"898";"1 045";"6 105";"9 926";"5 057 402"
"EUR OBS";"";"";"5 671 341";"58 290";"4 748";"1 282";"1 903";"898";"1 045";"6 105";"9 951";"5 745 612"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013"
" - film_id : 43115"
