"Market";"Distributor";"Release date";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2014-2020";"Total since 2010"
"AT";"Constantin Film (AT)";"08/10/2010";"194 548";"6 206";"107";"82";"";"";"";"";"";"";"";"";"200 943"
"BA";"Blitz Film i Video, Oskar / MCF (BA)";"07/07/2011";"";"1 724";"";"";"";"";"";"";"";"";"";"";"1 724"
"BE";"Belga Films (BE)";"03/02/2011";"";"52 222";"";"";"";"";"";"";"";"";"";"";"52 222"
"BG";"A Plus Films";"21/01/2011";"";"19 627";"";"";"";"";"43";"";"";"";"";"43";"19 670"
"CH";"Eigenverleih / Propre Distribution (CH)";"07/10/2010";"46 344";"3 964";"77";"";"";"";"";"";"";"";"70";"70";"50 455"
"CZ";"Intersonic (CZ)";"22/03/2012";"";"";"60 108";"1 124";"233";"";"";"";"";"";"";"233";"61 465"
"DE";"Constantin Film (DE)";"07/10/2010";"1 409 397";"104 690";"";"";"762";"794";"808";"338";"787";"449";"710";"4 648";"1 518 735"
"DK";"SF Film (DK)";"13/10/2011";"";"25 156";"";"";"";"";"";"";"";"";"";"";"25 156"
"ES";"Solotresd Spain";"02/09/2011";"";"136 468";"414";"362";"77";"794";"70";"";"";"";"";"941";"138 185"
"FI";"SF Film Finland [FS Film]";"01/07/2011";"";"14 774";"";"";"";"";"";"";"";"";"";"";"14 774"
"FR";"Metropolitan Filmexport";"09/02/2011";"";"1 033 518";"";"";"";"";"";"";"";"";"";"";"1 033 518"
"GB";"Entertainment (GB)";"17/12/2010";"297 289";"150 476";"";"";"";"";"";"";"";"";"";"";"447 765"
"HR";"Blitz Film & Video Distribution (HR)";"30/06/2011";"";"24 201";"";"";"";"";"";"";"";"";"";"";"24 201"
"HU";"Forum-Hungary";"24/01/2013";"";"";"";"79 377";"522";"";"";"";"";"";"";"522";"79 899"
"IT";"Moviemax";"21/01/2011";"";"114 634";"984";"151";"";"";"";"";"";"";"";"";"115 769"
"MK";"German Embassy (MK)";"20/10/2012";"";"";"200";"";"";"";"";"";"";"";"";"";"200"
"NL";"Entertainment One Benelux";"27/04/2011";"";"49 260";"74";"";"";"";"";"";"";"";"";"";"49 334"
"PL";"Monolith";"14/01/2011";"";"286 473";"3 598";"1 663";"";"";"";"";"1 520";"";"";"1 520";"293 254"
"PT";"Valentim de Carvalho Multimedia";"02/08/2011";"";"107 395";"583";"";"";"";"";"";"";"";"";"";"107 978"
"RU";"Caroprokat";"28/10/2010";"842 463";"";"";"";"";"";"";"";"";"";"";"";"842 463"
"SE";"Svensk Filmindustri";"30/09/2011";"";"41 974";"11";"";"";"";"";"";"";"";"";"";"41 985"
"SK";"Intersonic SK";"29/03/2012";"";"";"29 832";"362";"1 300";"";"";"";"";"";"";"1 300";"31 494"
"TR";"Medyavizyon";"11/03/2011";"";"119 691";"";"";"";"";"";"";"";"";"";"";"119 691"
"EUR EU";"";"";"1 901 234";"2 167 074";"95 711";"83 121";"2 894";"1 588";"921";"338";"2 307";"449";"710";"9 207";"4 256 347"
"EUR OBS";"";"";"2 790 041";"2 292 453";"95 988";"83 121";"2 894";"1 588";"921";"338";"2 307";"449";"780";"9 277";"5 270 880"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010"
" - film_id : 35009"
