"Film";"Producing country";"Production year";"Directors";"Admissions EUR EU (since 1996)"
"The Lord of the Rings: The Return of the King (EN)
The Return of the King (EN)
Властелинът на пръстените: Завръщан�... (BG)
Pán prstenů: Návrat krále (CS)
Ringenes Herre - Kongen vender tilbage (DA)
Ringenes herre: Kongen vender tilbage (DA)
Herr der Ringe III - Die Rückkehr des Königs (DE)
Der Herr der Ringe: Die Rückkehr des Königs (DE)
O arhontas ton dahtylidion: I epistrofi tou vasilia (EL)
Ο άρχοντας των δαχτυλιδιών: Η επιστρ�... (EL)
El señor de los anillos: El retorno del rey (ES)
El senyor dels anells: El retorn del rei (ES)
El señor de los anillos - El retorno del rey (ES)
Sõrmuste isand: kuninga tagasitulek (ET)
Sõrmuste isand: Kuninga tagasitulek (ET)
Taru sormusten herrasta: kuninkaan paluu (FI)
Sagan om konungens återkomst (FI)
Taru sormusten herrasta: Kuninkaan paluu (FI)
Taru Sormusten Herrasta - Kuninkaan paluu (FI)
Le seigneur des anneaux : le retour du Roi (FR)
Le seigneur des anneaux: Le retour du roi (FR)
Gospodar prstenova: Povratak kralja (HR)
Gyűrűk Ura - A Király Visszatér (HU)
A Gyűrűk Ura: A király visszatér (HU)
Hringadróttinssaga: Hilmir snýr heim (IS)
Il signore degli anelli: il ritorno del re (IT)
Il Signore degli Anelli - Il ritorno del re (IT)
Rôdo obu za ringu - Ô no kikan (JA)
Žiedu Valdovas: Karaliaus sugrižimas (LT)
Gospodarot na prstenite: Vrakjanjeto na kralot (MK)
In de ban van de ring: De terugkeer van de koning (NL)
Ringenes herre: Atter en konge (NO)
Władca Pierścieni, Część Iii. Powrót Króla (PL)
Władca pierścieni: Powrót króla (PL)
O Senhor dos Anéis: O Regresso do Rei (PT)
O Senhor dos Anéis: O Retorno do Rei (PT)
O Senhor dos Anéis - O Regresso do Rei (PT)
Stapanul Inelelor: Intoarcerea Regelui (RO)
Властелин колец: Возвращение короля (RU)
Pán prsteňov: Návrat krála (SK)
Pán prsteňov: Návrat kráľa (SK)
Gospodar prstanov kraljeva vrnitev (SL)
Gospodar prstanov: Kraljeva vrnitev (SL)
Gospodar prstenova - Povratak kralja (SR)
Sagan om konungen återkomst - Härskarringen (SV)
Sagan om konungens återkomst (SV)
Yüzüklerin Efendisi: Kral'in Dönüsu (TR)
Yüzüklerin Efendisi: Kralin Dönüsü (TR)
Володар перснiв: Повернення короля (UK)
The Lord of the Rings: The Return of the King (XX)
Le seigneur des anneaux - Le retour du roi (XX)
The Lord of the Rings: The Return of the King (XX)
Seyed alkhavatem 3: Awdat almalek (XX)
Sar Hatabaot: Shivat Hamelekh' (XX)
Arbab-e halgheha 3: Bazgasht-e padeshah (XX)
El señor de los anillos: El retorno del rey (XX)";"US / NZ INC / DE";"2003";"Peter Jackson";"52 340 950"
"Mamma Mia! (EN)
Mamma Mia! The Movie (EN)
Mamma Mia! The Movie (EN)
Mamma Mia! (BG)
Mamma Mia! (CS)
Mamma Mia - The Movie (DA)
Mamma Mia! The Movie (DA)
Mamma Mia! (DE)
Mamma Mia! - I tainia (EL)
Mamma Mia! Η ταινία (EL)
Mamma Mia! (ES)
Mamma Mia! La película (ES)
Mamma mia! (ES)
Mamma Mia! - La película (ES)
Mamma Mía (ES)
Mamma Mia (ET)
Mamma mia! (FI)
Mamma Mia! (FR)
Mama Mia (HR)
Mamma Mia! (HR)
Mamma Mia! (HU)
Mamma mia! (IT)
Mamma Mia! (LV)
Mamma Mia! (PL)
Mamma mia! (PT)
Mamma Mia! O Filme (PT)
Mamma Mia! (PT)
Mama Mia Filmul (RO)
Mamma Mia! (RU)
Mamma mia! (SK)
Mamma Mia (SL)
Mama mia! (SR)
Mamma Mia! (SV)
Mamma Mia! (TR)
Мамма мiя! (UK)
Mamma Mia! (XX)
Mamma Mia! Le Film (XX)
Mamma mia!: La película (XX)
Mama Mia! (XX)";"US / GB INC / DE";"2008";"Phyllida Lloyd";"32 319 414"
"Casino Royale (EN)
007: Casino Royale (EN)
Bond 21 (EN)
Bond XXI (EN)
James Bond 21 (EN)
Казино Pоял (BG)
Casino Royale (CS)
James Bond 007 - Casino Royale (DE)
Casino Royale (EL)
Casino Royale (ES)
007: Casino Royale (ES)
Casino Royale (ES)
007: Casino Royale (ES)
Casino Royale (ES)
Casino Royale (ES)
007: Casino Royale (ET)
Casino Royale (FR)
Prapanchaniki Okkadu (HI)
Casino Royale (HR)
Casino Royale (HU)
007 - Casino Royale (IT)
Agente 007 - Casinò Royale (IT)
Casino Royale (IT)
007: Kajino rowaiyaru (JA)
007 Kazino Rojalis (LT)
Kazino Royale (LT)
Kazino Royale (LV)
Casino Royale (NO)
007: Cassino Royale (PT)
007: Casino Royale (PT)
Casino Royale (RO)
Казино Рояль (RU)
Casino Royale (SK)
007 - Casino Royale (SL)
Kazino rojal (SR)
Casino Royale (TR)
007: Казино Рояль (UK)
Casino Royale (XX)
Casino Royale (XX)
Casino Royale (XX)
Sòng bac hoàng gia (XX)";"GB INC / US / DE / CZ";"2006";"Martin Campbell";"28 960 782"
"Astérix & Obélix : Mission Cléopâtre (FR)
Asterix & Obelix: Mission Cleopatra (EN)
Asterix vs. Obelix: Mission Cleopatra (EN)
Asterix and Obelix Meet Cleopatra (EN)
Астерикс и Обеликс: Мисия Клеопатра (BG)
Asterix & Obelix: Mise Kleopatra (CS)
Asterix a Obelix: Mise Kleopatra (CS)
Asterix & Obelix - Mission Kleopatra (DA)
Asterix & Obelix: Mission Kleopatra (DA)
Asterix & Obelix: Mission Kleopatra (DE)
Asterix & Obelix: Mission Kleopatra (DE)
Asterix ke Ovelix : Epixeirhsh Kleopatra (EL)
Asterix & Ovelix: Epiheirisi Kleopatra (EL)
Αστερίξ & Οβελίξ: Επιχείρηση Κλεοπ�... (EL)
Asterix y Obelix: Mision Cleopatra (ES)
Astérix y Obélix: Misión Cleopatra (ES)
Asterix & Obelix: Missioon Kleopatra (ET)
Asterix ja Obelix: Tehtävä Kleopatra (FI)
Astérix & Obélix: Tehtävä Kleopatra (FI)
Asterix & Obelix - Uppdrag Kleopatra (FI)
Astérix et Obélix : Mission Cléopâtre (FR)
Astérix & Obélix: Au service de Cléopatre (FR)
Astérix & Obélix: Mission Cléopâtre (FR)
Asterix i Obelix: Misija Kleopatra (HR)
Asterix és Obelix: a Kleopátra küldetés (HU)
Asterix és Obelix: A Kleopátra küldetés (HU)
Ástríkur & Steinríkur: Ástríkur & Kleópatra (IS)
Asterix & Obelix: Missione Cleopatra (IT)
Asterix & Obelix - Missione Cleopatra (IT)
Astersikas ir Obeliksas 2: Misija Klepatra (LT)
Asteriksas ir Obeliksas: misija Kleopatra (LT)
Asterix & Obelix: missie Cleopatra (NL)
Asterix & Obelix: Oppdrag Kleopatra (NO)
Asterix i Obelix - Misja Kleopatra (PL)
Asterix i Obelix: Misja Kleopatra (PL)
Asterix e Obelix: Missão Cleópatra (PT)
Astérix e Obélix: Missão Cleópatra (PT)
Asterix & Obelix: Misuine Cleopatra (RO)
Астерикс и Обеликс: Миссия Клеопатра (RU)
Asterix a Obelix: Misia Kleopatra (SK)
Asterix & Obelix: Misija Kleopatra (SL)
Asteriks i Obeliks - Misija Kleopatra (SR)
Astérix & Obélix - uppdrag Kleopatra (SV)
Astérix & Obélix: Uppdrag Kleopatra (SV)
Asteriks ve Oburiks: Görevimiz Kleopatra (TR)
Asteriks ve Oburiks - Görevimiz Kleopatra (TR)
Астерiкс i Обелiкс: Мiсiя Клеопатра (UK)
Astérix & Obélix: Mission Cléopâtre (XX)
Astérix et Obélix: Mission Cléopâtre (XX)
Asterix & Obelix: Mission Cleopatra (XX)";"FR / DE";"2002";"Alain Chabat";"21 566 242"
"Le fabuleux destin d'Amélie Poulain (FR)
Amelie from Montmartre (EN)
Amelie (EN)
Amélie (EN)
Amélie (EN)
Невероятната съдба на Амели Пулен (BG)
Amélie z Montmartru (CS)
Den fabelagtige Amelie fra Montmartre (DA)
Den fabelagtige Amélie fra Montmartre (DA)
Die fabelhafte Welt der Amélie (DE)
Die fabelhafte Welt der Amelie (DE)
Αμελί (EL)
Amelie (ES)
El fabuloso destino de Amelie Poulain (ES)
Amélie (ES)
Amélie (ES)
Amelie (FI)
Amélie (FI)
Amélie de Montmartre (FR)
Amélie (FR)
Amélie des Abbesses (FR)
Amelie (HR)
Amélie csodálatos élete (HU)
Il faAmélie z Montmartruvoloso mondo di Amelie (IT)
Il favoloso mondo di Amélie (IT)
Ameri (JA)
Amelija iš Monmartro (LT)
Den fabelaktige Amelie fra Montmartre (NO)
Den fabelaktige Amélie fra Montmartre (NO)
Amelia (PL)
O fabuloso destino de Amelie (PT)
O Fabuloso Destino de Amélie Poulain (PT)
O Fabuloso Destino de Amélie (PT)
Amélie (RO)
Амели (RU)
Amélie z Montmartru (SK)
Amélia (SK)
Nenavadna usoda Amelie Poulain (SL)
Čudesna sudbina Amelije Pulen (SR)
Amelie från Montmartre (SV)
Amelie (TR)
Неймовiрна доля Амелi Пулен (UK)
Le fabuleux destin d'Amélie Poulain (XX)
Amélie (XX)
Le fabuleux destin d'Amélie Poulain (XX)
Amélie (XX)
Amélie (XX)";"FR / DE";"2001";"Jean-Pierre Jeunet";"20 018 849"
"Bridget Jones: The Edge of Reason (EN)
Bridget Jones 2 (EN)
Bridget Jones's Diary 2 (EN)
Бриджит Джoунс: На ръба на разума (BG)
Bridget Jonesová: S rozumem v koncích (CS)
Bridget Jones: Pa Randen af Fornuft (DA)
Bridget Jones - På randen af fornuft (DA)
Bridget Jones - Am Rande des Wahnsinns (DE)
Bridget Jones: I epomeni selida (EL)
Bridget Jones: Η επόμενη σελίδα (EL)
Bridget Jones: Sobrevivire (ES)
Bridget Jones: Al borde de la razón (ES)
Bridget Jones 2: al borde de la razón (ES)
Bridget Jones: Sobreviviré (ES)
Bridget Jones: täitsa lõpp (ET)
Bridget Jones: Täitsa lõpp (ET)
Bridget Jones: Elämä jatkuu (FI)
Bridget Jones : l'âge de raison (FR)
Bridget Jones - L'age 2 raison (FR)
Bridget Jones: L'âge de raison (FR)
Bridget Jones: Na rubu pameti (HR)
Bridget Jones - Mindjárt megőrülök! (HU)
Bridget Jones: Mindjárt megőrülök! (HU)
Che pasticcio, Bridget Jones! (IT)
Bridget Jonesui ilgi: Yeoljeong aejeong (KO)
Bridzita Dzounsa 2 (LV)
Bridget Jones - På randen (NO)
Bridget Jones: W pogoni za rozumem (PL)
O Novo Diário De Bridget Jones (PT)
Bridget Jones, no Limite da Razão (PT)
O Novo Diário de Bridget Jones (PT)
Bridget Jones: la limita ratiunii (RO)
Bridget Jones: La limita ratiunii (RO)
Бриджит Джонс: Грани разумного (RU)
Bridget Jonesová: S rozumom v koncoch (SK)
Bridget Jones: Na robu pameti (SL)
Bridžit Džouns: Na ivici razuma (SR)
På Spaning Med Bridget Jones (SV)
På spaning med Bridget Jones (SV)
Bridget Jones: Mantığın Sınırı (TR)
Bridget Jones - Mantigin siniri (TR)
Брiджит Джонс: Межi розумного (UK)
Bridget Jones: The Edge of Reason (XX)
Bridget Jones: L'âge de raison (XX)
Bridget Jones: L'âge de raison (XX)
Bridget Jones: Al borde de la razón (XX)
Bridget Jones: Al borde de la razón (XX)";"GB / US / FR / DE / IE";"2004";"Beeban Kidron";"19 560 087"
"The Hunger Games: Mockingjay - Part 2 (EN)
Игрите на глада: Сойка-присмехулка - �... (BG)
Игрите на глада: Сойка-присмехулка ч�... (BG)
Hunger Games: Síla vzdoru 2. cást (CS)
The Hunger Games: Mockingjay - del 2 (DA)
Die Tribute von Panem - Mockingjay: Teil 2 (DE)
The Hunger Games: Επανάσταση - Μέρος II (EL)
Αγώνες πείνας: Επανάσταση - Μέρος II (EL)
Los juegos del hambre: Sinsajo - Parte 2 (ES)
Los Juegos del Hambre: Sinsajo - El Final (ES)
Los Juegos del Hambre: Sinsajo Parte 2 (ES)
Los juegos del hambre: Sinsajo - el final (ES)
Näljamängud: Pilapasknäär - 2.osa (ET)
Nälkäpeli - Matkijanärhi, osa 2 (FI)
Hunger Games: La révolte - 2ème partie (FR)
Hunger Games 4: La Révolte, Partie 2 (FR)
Igre Gladi: Sojka Rugalica Drugi Dio (HR)
Igre gladi: Sojka rugalica 2. dio (HR)
Az éhezők viadala: A kiválasztott - Befejező rész (HU)
Hunger Games: Il canto della rivolta - Parte 2 (IT)
Mishakei Hara'av: Orvani Hakyan - helek 2 (IW)
Bado zaidynes: Strazdas giesmininkas. 2 dalis (LT)
Bado žaidynes: Strazdas giesmininkas. 2 dalis (LT)
De Hongerspelen: Spotgaai - deel 2 (NL)
Igrzyska śmierci: Kosogłos. Część 2 (PL)
Jogos Vorazes: A Esperança - O Final (PT)
The Hunger Games: A Revolta - Parte 2 (PT)
Jocurile Foamei: Revolta - partea 2 (RO)
Голодные игры: Сойка-пересмешница. Ч�... (RU)
Hry o zivot: Drozdajka 2 (SK)
Hry o život: Drozdajka 2. časť (SK)
Igre lakote: Upor - 2. del (SL)
Lojërat e Urisë: Grifsha - Pjesa 2 (SQ)
Igra gladi: Sjaj slobode 2. deo (SR)
Açlik Oyunlari: Alayci Kus - Bölüm 2 (TR)
Голоднi iгри: Переспiвниця. Частина 2 (UK)
Igra gladi: Sjaj slobode 2. deo (XX)
Dau Truong Sinh Tu: Hung Nhai 2 (XX)
The Hunger Games: Mockingjay - Part 2 (XX)
Hunger Games La révolte - Dernière partie (XX)
Hunger Games: La révolte - Partie II (XX)
The Hunger Games: Mockingjay - Part 2 (XX)
Mishakei Hara'av: Orvani Hakyan - helek 2 (XX)
Los juegos del hambre: Sinsajo - El final (XX)";"US / DE";"2015";"Francis Lawrence";"18 909 012"
"Terminator 3: Rise of the Machines (EN)
T3: Rise of the Machines (EN)
Terminator 3 (EN)
Терминатор 3: Бунт на машините (BG)
Terminátor 3: Vzpoura strojů (CS)
Terminátor 3: Vzpoura stroju (CS)
Terminator 3 - Rebellion der Maschinen (DE)
Exolothreftis 3 - I exegersi ton mihanon (EL)
Εξολοθρευτής 3: Η εξέγερση των μηχανών (EL)
Terminator 3: La rebelion de las maquinas (ES)
Terminator 3: La rebelión de las máquinas (ES)
Terminator 3: La rebelión de las máquinas (ES)
Terminator 3: La rebelión de las máquinas (ES)
Terminator 3: La rebel·lió de les màquines (ES)
Terminator 3 - La rebelión de las máquinas (ES)
Terminator 3: La rebelión de las máquinas (ES)
Terminator 3: La rebelión de las máquinas (ES)
Terminaator 3: Masinate mäss (ET)
Terminator 3 - Koneiden kapina (FI)
Terminator 3: Koneiden kapina (FI)
Terminator 3: Maskinernas uppror (FI)
Terminator 3 - Le soulèvement des machines (FR)
Terminator 3: Pobuna strojeva (HR)
Terminator 3 - A Gépek Lázadása (HU)
Terminátor 3. - A gépek lázadása (HU)
Tortímandinn 3: Ris Maskínanna (IS)
Terminator 3 - Le macchine ribelli (IT)
Terminatorius 3: Mašinų prisikėlimas (LT)
Terminatorius 3: masinu prisikelimas (LT)
Terminator 3: Bunt Maszyn (PL)
Terminator 3: Bunt maszyn (PL)
O Exterminador do Futuro 3: A Rebelião das Máquinas (PT)
Exterminador Implacável 3 - Ascensão das Máquinas (PT)
Terminatorul 3: Suprematia Robotilor (RO)
Терминатор 3: Восстание машин (RU)
Terminátor 3: Vzbura strojov (SK)
Terminator 3: Vstaja strojev (SL)
Terminator 3 - Ustanak mašina (SR)
Terminator 3: Makinelerin Yükselisi (TR)
Terminatör 3 - Makinelerin yükselisi (TR)
Термiнатор 3: Повстання машин (UK)
Terminator 3: Rise of the Machines (XX)
Terminator 3 - Le soulèvement des machines (XX)
Terminator 3: La guerre des machines (XX)
Terminator 3: Rise of the Machines (XX)
Ke Huy Diet 3: Su Troi Day Cua Nhung Co May (XX)";"US / DE / GB";"2003";"Jonathan Mostow";"17 091 651"
"Sherlock Holmes (EN)
Шерлок Холмс (BG)
Sherlock Holmes (CS)
Sherlock Holmes (DA)
Sherlock Holmes (EL)
Sherlock Holmes (ES)
Sherlock Holmes (ES)
Sherlock Holmes (ES)
Sherlock Holmes (ES)
Sherlock Holmes (FR)
Sherlock Holmes (HR)
Shârokku Hômuzu (JA)
Sherlock Holmes (JA)
Šerlokas Holmsas (LT)
Šerloks Holmss (LV)
Sherlock Holmes (PL)
Sherlock Holmes (PT)
Шерлок Холмс (RO)
Sherlock Holmes (RO)
Шерлок Холмс (RU)
Sherlock Holmes (SK)
Sherlock Holmes (SL)
Šerlok Holms (SR)
Sherlock Holmes (TR)
Шерлок Холмс (UK)
Sherlock Holmes (XX)
Sherlok Holms (XX)
Sherlock Holmes (XX)
Sherlock Holmes (XX)";"US / GB INC / DE";"2009";"Guy Ritchie";"16 786 683"
"Mr. Bean's Holiday (EN)
Bean 2 (EN)
Bean II (EN)
French Bean (EN)
Mr Bean's Holiday (EN)
Ваканцията на мистър Бийн (BG)
Prázdniny pana Beana (CS)
Mr. Baens Ferie (DA)
Mr. Beans ferie (DA)
Mr. Bean macht Ferien (DE)
O Mr. Bean paei diakopes (EL)
Ο Mr. Bean πάει διακοπές (EL)
Las vacaciones de Mr. Bean (ES)
Mr Beani puhkus (ET)
Mr. Bean lomailee (FI)
Mr. Beans semester (FI)
Les vacances de Mr. Bean (FR)
Mr. Bean na praznicima (HR)
Mr. Bean nyaral (HU)
Mr. Bean's Holiday (IT)
Pono Byno atostogos (LT)
Mr. Beans ferie (NO)
Wakacje Jasia Fasoli (PL)
As Férias de Mr. Bean (PT)
Mr. Bean em Férias (PT)
Vacanta Lui Mr. Bean (RO)
Mr. Bean în vacanţă (RO)
Мистер Бин на отдыхе (RU)
Prázdniny pána Beana (SK)
Beanove Počitnice (SL)
Beanove pocitnice (SL)
Mister Bin na odmoru (SR)
Mr. Beans semester (SV)
Mr. Bean tatilde (TR)
Мiстер Бiн на вiдпочинку (UK)
Mr. Bean's Holiday (XX)
Les vacances de Mr. Bean (XX)";"GB / FR / DE / US";"2007";"Steve Bendelack";"14 805 338"
