"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2016";"2017";"2020";"2012-2020";"Total since 2008"
"AT";"Constantin Film (AT)";"31/01/2008";"281 743";"";"";"";"";"";"";"";"";"";"";"281 743"
"BE";"Alternative Films (BE)";"30/01/2008";"570 991";"4 359";"1 222";"1 142";"";"";"";"366";"";"";"366";"578 080"
"BG";"Aleksandra";"22/08/2008";"5 158";"";"";"";"";"";"";"";"";"";"";"5 158"
"CH";"Pathé Films (CH)";"30/01/2008";"256 623";"";"";"";"";"";"";"";"";"";"";"256 623"
"CZ";"SPI";"31/01/2008";"314 348";"2 943";"25";"";"";"80";"7";"";"";"";"87";"317 403"
"DE";"Constantin Film (DE)";"31/01/2008";"1 564 993";"";"";"";"";"";"";"167";"";"44";"211";"1 565 204"
"DK";"Sandrew Metronome (DK)";"08/02/2008";"95 306";"384";"";"";"";"";"";"";"";"";"";"95 690"
"ES";"Tripictures";"08/02/2008";"1 051 286";"313";"";"75";"";"";"";"";"";"";"";"1 051 674"
"FI";"Sandrew Metronome Distribution";"01/02/2008";"55 407";"";"";"";"";"";"";"";"";"";"";"55 407"
"FR";"Pathé Distribution (FR)";"30/01/2008";"6 812 378";"";"";"";"";"";"";"";"";"";"";"6 812 378"
"GB";"Pathé Distribution (GB)";"01/02/2008";"4 697";"";"";"";"";"";"87";"";"";"";"87";"4 784"
"GR";"Rosebud";"30/01/2008";"442 561";"";"";"";"";"";"";"";"";"";"";"442 561"
"HR";"Pa-Dora";"";"44 949";"";"";"";"";"";"";"";"";"";"";"44 949"
"HU";"SPI Hungary";"31/01/2008";"190 170";"";"";"";"";"";"";"";"";"";"";"190 170"
"IE";"Pathé Distribution (IE)";"01/02/2008";"93";"";"";"";"";"";"";"";"";"";"";"93"
"IS";"Myndform";"09/02/2008";"9 298";"";"";"";"";"";"";"";"";"";"";"9 298"
"IT";"Warner Bros. (IT)";"08/02/2008";"588 728";"";"";"";"";"";"";"";"";"";"";"588 728"
"LT";"Acme (LT)";"01/02/2008";"44 105";"";"";"";"";"";"";"";"";"";"";"44 105"
"LU";"Alternative Film (LU)";"30/01/2008";"20 813";"";"";"";"";"";"";"";"";"";"";"20 813"
"LV";"Acme (LV)";"29/02/2008";"23 908";"28";"";"";"";"";"";"";"";"";"";"23 936"
"NL";"A-Film (NL)";"14/02/2008";"74 071";"181";"";"";"";"";"";"";"";"";"";"74 252"
"NO";"Sandrew Metronome (NO)";"01/02/2008";"65 472";"";"";"";"";"";"";"";"";"";"";"65 472"
"PL";"SPI Poland";"25/01/2008";"685 491";"";"";"";"";"";"";"";"";"";"";"685 491"
"PT";"ZON Lusomundo Audiovisuais";"31/01/2008";"438 014";"49";"";"";"";"";"";"";"";"";"";"438 063"
"RO";"Ro-Image 2000";"01/02/2008";"40 529";"";"46";"";"";"";"";"";"";"";"";"40 575"
"SE";"Sandrew Metronome";"08/02/2008";"42 456";"21";"15";"";"";"";"";"";"";"";"";"42 492"
"SI";"Fivia";"07/02/2008";"30 274";"50";"";"60";"368";"";"45";"";"60";"";"473";"30 857"
"SK";"Film Europe (SK)";"31/01/2008";"112 586";"3 406";"803";"";"60";"";"4";"";"";"";"64";"116 859"
"TR";"35MM.";"01/02/2008";"144 944";"";"";"";"";"";"";"";"";"";"";"144 944"
"EUR EU";"";"";"13 535 055";"11 734";"2 111";"1 277";"428";"80";"143";"533";"60";"44";"1 288";"13 551 465"
"EUR OBS";"";"";"14 011 392";"11 734";"2 111";"1 277";"428";"80";"143";"533";"60";"44";"1 288";"14 027 802"
"US_CA";"Alliance";"11/07/2008";"167 886";"";"";"";"";"";"";"";"";"";"";"167 886"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2017, 2016, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
" - film_id : 26862"
