"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2012";"2013";"2015";"2016";"2020";"2012-2020";"Total since 2006"
"AT";"Constantin Film (AT)";"11/05/2006";"52 105";"";"";"";"";"";"";"";"";"";"52 105"
"BE";"Kinepolis Film Distribution (BE)";"26/04/2006";"106 020";"";"";"";"";"";"";"";"";"";"106 020"
"CH";"Frenetic Films (CH)";"26/04/2006";"31 357";"9";"";"";"";"15";"";"";"";"15";"31 381"
"CZ";"Hollywood";"29/06/2006";"72 202";"184";"";"";"";"";"";"";"";"";"72 386"
"DE";"LEONINE Distribution GmbH";"11/05/2006";"416 944";"";"";"";"";"";"15";"8";"9";"32";"416 976"
"DK";"Nordisk, Constantin, Fox";"23/06/2006";"31 077";"";"";"";"";"";"";"";"";"";"31 077"
"EE";"Forum Cinemas (EE)";"19/05/2006";"11 834";"";"";"";"";"";"";"";"";"";"11 834"
"ES";"Universal Pictures Int'l Spain";"20/07/2006";"660 744";"";"";"";"";"";"";"";"";"";"660 744"
"FI";"Nordisk Film Theatrical Dist.";"07/07/2006";"34 602";"";"";"";"";"";"";"";"";"";"34 602"
"FR";"Metropolitan Filmexport";"26/04/2006";"810 068";"";"";"";"";"";"";"";"";"";"810 068"
"GB";"Pathé Distribution (GB)";"21/04/2006";"740 878";"";"";"";"";"";"";"";"";"";"740 878"
"HU";"Best Hollywood";"27/04/2006";"74 491";"";"";"";"";"";"";"";"";"";"74 491"
"IS";"";"";"4 865";"";"";"";"";"";"";"";"";"";"4 865"
"IT";"Eagle Pictures";"07/07/2006";"482 747";"157";"";"";"";"";"";"";"";"";"482 904"
"LV";"Acme (LV)";"23/06/2006";"9 705";"";"";"";"";"";"";"";"";"";"9 705"
"NL";"RCV Entertainment";"25/05/2006";"41 974";"19";"";"";"";"";"";"";"";"";"41 993"
"NO";"Nordisk Filmdistribusjon";"07/07/2006";"22 119";"";"";"19";"";"";"";"";"";"";"22 138"
"PL";"Monolith";"26/05/2006";"149 296";"1 605";"";"";"";"";"";"";"";"";"150 901"
"PT";"NLC - Cinema City";"05/04/2007";"";"13 138";"";"13";"65";"";"";"";"";"65";"13 216"
"RO";"Romaniafilm";"22/09/2006";"10 530";"";"";"";"";"";"";"";"";"";"10 530"
"SE";"Sony Pictures Releasing (SE)";"09/06/2006";"22 199";"";"";"";"";"";"";"";"";"";"22 199"
"SI";"Cinemania Group";"31/08/2006";"4 762";"";"";"";"";"";"";"";"";"";"4 762"
"SK";"Continental Film (SK)";"21/09/2006";"12 435";"235";"75";"";"";"";"";"";"";"";"12 745"
"TR";"Warner Bros. (TR)";"13/10/2006";"82 563";"295";"";"";"";"";"";"";"";"";"82 858"
"EUR EU";"";"";"3 744 613";"15 338";"75";"13";"65";"";"15";"8";"9";"97";"3 760 136"
"EUR OBS";"";"";"3 885 517";"15 642";"75";"32";"65";"15";"15";"8";"9";"112";"3 901 378"
"US_CA";"";"";"7 172 920";"";"";"";"";"";"";"";"";"";"7 172 920"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2016, 2015, 2013, 2012, 2009, 2008, 2007, 2006"
" - film_id : 25617"
