"Market";"Distributor";"Release date";"2015";"2016";"Total since 2015"
"BE";"Belga Films (BE)";"07/01/2015";"186 817";"167";"186 984"
"CH";"JMH Distributions (CH)";"01/07/2015";"38 136";"";"38 136"
"FR";"UGC Distribution";"01/07/2015";"3 494 099";"";"3 494 099"
"HU";"Cinetel";"01/01/2016";"131";"2 703";"2 834"
"LU";"Belga Film (LU)";"01/07/2015";"3 231";"";"3 231"
"TR";"Ozen Film";"22/07/2016";"";"4 918";"4 918"
"EUR EU";"";"";"3 684 278";"2 870";"3 687 148"
"EUR OBS";"";"";"3 722 414";"7 788";"3 730 202"
"MA";"";"";"21 470";"";"21 470"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2015"
" - film_id : 63939"
