"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2009-2020";"Total since 2005"
"AT";"Constantin Film (AT)";"09/09/2005";"60 331";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"60 331"
"BE";"";"";"79 768";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"79 768"
"CH";"Filmcoopi Zürich";"07/09/2005";"136 807";"20 076";"38";"19";"311";"";"";"191";"125";"88";"143";"141";"";"115";"";"1 114";"158 054"
"CZ";"Hollywood";"03/11/2005";"31 607";"14 823";"194";"50";"76";"2";"5";"13";"";"";"";"";"";"";"";"96";"46 770"
"DE";"Tobis Film (DE)";"08/09/2005";"536 402";"42 530";"";"";"";"";"";"";"263";"42";"93";"146";"27";"66";"";"637";"579 569"
"DK";"Nordisk, Constantin, Fox";"07/10/2005";"51 504";"4 660";"67";"";"";"7";"";"";"";"";"";"";"";"";"";"7";"56 238"
"EE";"Tallinnfilm (EE)";"06/01/2006";"";"3 758";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 758"
"ES";"Vertigo Films (ES)";"28/10/2005";"309 733";"16 352";"89";"79";"48";"";"928";"";"";"";"";"";"";"";"";"976";"327 229"
"FI";"Nordisk Film Theatrical Dist.";"07/10/2005";"56 538";"13 020";"";"";"";"";"86";"";"";"";"";"";"";"";"";"86";"69 644"
"FR";"Bac Films";"07/09/2005";"1 008 892";"27 768";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 036 660"
"GB";"Momentum Pictures (GB)";"21/10/2005";"410 746";"3 675";"";"";"";"";"";"";"430";"";"";"";"";"";"9";"439";"414 860"
"HU";"Best Hollywood";"06/10/2005";"40 136";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"40 136"
"IS";"";"";"6 086";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6 086"
"IT";"Mikado Film";"02/12/2005";"306 704";"105 096";"26";"";"";"";"";"";"";"";"";"118";"";"";"";"118";"411 944"
"LU";"";"";"9 600";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 600"
"LV";"Acme (LV)";"04/11/2005";"12 848";"3 494";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16 342"
"NL";"A-Film (NL)";"24/11/2005";"48 940";"38 941";"997";"";"76";"";"";"";"";"";"";"";"";"";"";"76";"88 954"
"NO";"Nordisk Filmdistribusjon";"14/10/2005";"43 740";"5 088";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"48 828"
"PL";"Best Film";"16/09/2005";"206 492";"7 331";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"213 823"
"PT";"Pris Audiovisuais";"08/12/2005";"33 088";"";"";"";"";"";"32";"";"";"97";"";"";"";"";"";"129";"33 217"
"RO";"Romaniafilm-Prorom";"24/02/2006";"";"7 147";"28";"";"";"";"";"";"";"";"";"";"";"";"";"";"7 175"
"SE";"Sony Pictures Releasing (SE)";"21/10/2005";"43 054";"4 943";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"47 997"
"SI";"Cinemania Group";"05/01/2006";"";"9 356";"27";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 383"
"SK";"Continental Film (SK)";"02/02/2006";"";"9 187";"243";"";"";"";"";"";"";"";"";"";"";"";"";"";"9 430"
"EUR EU";"";"";"3 246 383";"312 081";"1 671";"129";"200";"9";"1 051";"13";"693";"139";"93";"264";"27";"66";"9";"2 564";"3 562 828"
"EUR OBS";"";"";"3 433 016";"337 245";"1 709";"148";"511";"9";"1 051";"204";"818";"227";"236";"405";"27";"181";"9";"3 678";"3 775 796"
"US_CA";"";"";"2 144 299";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 144 299"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005"
" - film_id : 23756"
