"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2015-2020";"Total since 2010"
"AT";"Filmladen";"16/12/2011";"6 344";"6 732";"98";"";"";"";"";"";"";"";"";"13 174"
"BE";"Victory Productions (BE)";"16/02/2011";"57 074";"";"";"";"";"";"";"";"";"";"";"57 074"
"CH";"Praesens Film";"02/03/2011";"59 730";"608";"";"112";"45";"387";"";"";"";"";"432";"60 882"
"DE";"Concorde Filmverleih";"03/11/2011";"68 358";"17 078";"1 059";"396";"283";"364";"207";"248";"87";"";"1 189";"88 080"
"DK";"";"";"14 408";"";"";"";"";"";"";"";"";"";"";"14 408"
"ES";"Savor Ediciones";"14/05/2012";"";"191 101";"";"";"12";"636";"";"";"";"";"648";"191 749"
"FI";"Atlantic Film (FI)";"02/03/2012";"";"4 032";"";"";"";"";"";"";"";"";"";"4 032"
"FR";"SND Films";"16/02/2011";"2 274 327";"";"";"";"";"";"";"";"";"";"";"2 274 327"
"GB";"Cinefile (GB)";"06/07/2012";"";"4 691";"";"165";"";"";"";"";"";"";"";"4 856"
"GR";"Filmtreint (Filmtrade)";"21/06/2012";"";"12 582";"304";"105";"";"";"";"";"";"";"";"12 991"
"HU";"Mozinet";"23/08/2012";"";"9 042";"938";"115";"";"";"";"";"54";"";"54";"10 149"
"IE";"Cinefile (IE)";"11/06/2012";"";"1 258";"";"";"";"";"";"";"";"";"";"1 258"
"IT";"Archibald Film";"10/06/2011";"305 102";"3 322";"164";"";"";"";"";"113";"9";"";"122";"308 710"
"LU";"Victory Productions (LU)";"16/02/2011";"6 137";"";"";"";"";"";"";"";"";"";"";"6 137"
"LV";"Kinogalerija";"";"";"";"";"180";"";"";"";"";"";"";"";"180"
"MK";"French Embassy (MK)";"16/03/2012";"";"350";"";"";"";"";"";"";"";"";"";"350"
"NL";"Cinemien";"23/06/2011";"58 599";"3 109";"875";"149";"";"62";"";"";"";"69";"131";"62 863"
"PL";"Best Film";"02/12/2011";"12 279";"9 378";"";"";"";"";"";"";"";"";"";"21 657"
"PT";"ZON Lusomundo Cinemas";"17/11/2011";"2 821";"207";"";"";"";"";"";"";"";"";"";"3 028"
"SE";"Atlantic Film (SE)";"12/08/2011";"5 075";"314";"202";"101";"";"";"";"";"";"";"";"5 692"
"SI";"Demiurg";"12/11/2011";"1 551";"3 174";"145";"";"";"";"";"";"";"";"";"4 870"
"EUR EU";"";"";"2 812 075";"266 020";"3 785";"1 211";"295";"1 062";"207";"361";"150";"69";"2 144";"3 085 235"
"EUR OBS";"";"";"2 871 805";"266 978";"3 785";"1 323";"340";"1 449";"207";"361";"150";"69";"2 576";"3 146 467"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011"
" - film_id : 37346"
