"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2012-2020";"Total since 2008"
"AT";"Filmcasino & Polyfilm";"16/01/2009";"2 205";"38 176";"2 281";"109";"";"";"";"";"";"";"";"";"";"";"42 771"
"BE";"Cineart (BE)";"01/10/2008";"93 246";"23 174";"1 442";"572";"";"";"";"";"";"";"";"";"";"";"118 434"
"CH";"Filmcoopi Zürich";"03/09/2008";"44 654";"37 573";"221";"";"150";"122";"";"63";"67";"";"";"";"61";"463";"82 911"
"CZ";"Artcam";"27/11/2008";"4 039";"9 075";"1 009";"461";"346";"26";"76";"";"20";"";"";"";"";"468";"15 052"
"DE";"Concorde Filmverleih";"15/01/2009";"";"140 897";"";"";"";"";"238";"47";"39";"38";"27";"39";"";"428";"141 325"
"DK";"Camera Film";"23/01/2009";"";"27 047";"285";"";"";"";"";"";"";"";"";"";"";"";"27 332"
"EE";"Tallinnfilm (EE)";"22/11/2008";"302";"1 055";"106";"";"";"";"";"";"";"";"";"";"";"";"1 463"
"ES";"Golem Distribucion";"16/01/2009";"266";"230 916";"939";"1 169";"";"";"";"394";"";"";"";"";"";"394";"233 684"
"FI";"Cinema Mondo";"23/01/2009";"746";"13 887";"134";"191";"75";"151";"";"";"";"";"";"";"";"226";"15 184"
"FR";"Haut et Court";"24/09/2008";"1 561 763";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 561 763"
"GB";"Curzon Artificial Eye (GB)";"27/02/2009";"";"161 674";"1 620";"";"";"";"";"";"";"24";"";"";"";"24";"163 318"
"GR";"AMA Films";"23/10/2008";"49 389";"";"226";"210";"";"";"";"";"";"";"";"";"";"";"49 825"
"HR";"Continental Film (HR)";"19/02/2009";"";"";"664";"";"";"";"";"";"";"";"";"";"";"";"664"
"HU";"Cirko Film";"16/04/2009";"";"6 583";"";"";"";"";"";"";"";"";"";"";"";"";"6 583"
"IT";"Mikado Film";"10/10/2008";"402 285";"15 922";"668";"";"";"";"";"";"";"165";"";"";"";"165";"419 040"
"LT";"Skalvijos Kino Centras";"09/01/2009";"";"";"303";"69";"";"";"";"";"";"";"";"";"";"";"372"
"LU";"Cineart (LU)";"26/09/2008";"5 483";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 483"
"NL";"Cinéart Nederland";"27/11/2008";"47 556";"45 320";"393";"180";"";"";"103";"";"";"";"";"";"";"103";"93 552"
"NO";"Arthaus (NO)";"26/12/2008";"5 472";"35 679";"221";"";"132";"";"";"";"";"";"";"";"";"132";"41 504"
"PL";"SPInka";"24/10/2008";"10 639";"3 663";"";"";"";"";"";"";"";"";"";"";"";"";"14 302"
"PT";"Midas Filmes";"30/10/2008";"44 921";"5 286";"60";"25";"";"";"";"";"";"";"";"";"";"";"50 292"
"RO";"IF-Independenta Film";"12/12/2008";"1 094";"2 167";"56";"369";"";"";"";"";"";"50";"69";"34";"";"153";"3 839"
"SE";"Nonstop Entertainment";"19/12/2008";"5 512";"13 010";"11";"";"";"";"";"";"";"";"";"";"";"";"18 533"
"SI";"Continental Film (SI)";"13/11/2008";"";"821";"415";"390";"167";"";"";"";"297";"";"";"";"";"464";"2 090"
"SK";"ASFK";"10/09/2009";"";"2 289";"406";"";"344";"41";"38";"28";"";"";"";"";"";"451";"3 146"
"TR";"Barbar Film";"28/11/2008";"3 906";"697";"";"";"";"";"";"";"";"";"";"";"";"";"4 603"
"EUR EU";"";"";"2 229 446";"740 962";"11 018";"3 745";"932";"218";"455";"469";"356";"277";"96";"73";"";"2 876";"2 988 047"
"EUR OBS";"";"";"2 283 478";"814 911";"11 460";"3 745";"1 214";"340";"455";"532";"423";"277";"96";"73";"61";"3 471";"3 117 065"
"US_CA";"Sony Classics (US)";"19/12/2008";"";"468 930";"";"";"";"";"";"";"";"";"";"";"";"";"468 930"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
" - film_id : 30041"
