"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"Total since 2015"
"BA";"Obala Art Centar";"";"1 557";"";"";"";"";"1 557"
"BE";"Alternative Films (BE)";"08/04/2015";"79 015";"";"";"";"";"79 015"
"BG";"Tandem";"29/05/2015";"12 067";"6";"159";"8";"";"12 240"
"CH";"Pathé Films (CH)";"08/04/2015";"33 967";"";"";"";"";"33 967"
"CZ";"Intersonic (CZ)";"19/11/2015";"11 854";"3 990";"560";"";"";"16 404"
"ES";"Flins y piniculas";"03/06/2016";"";"20 427";"174";"260";"";"20 861"
"FR";"Pathé Distribution (FR)";"08/04/2015";"2 409 636";"";"";"";"";"2 409 636"
"GB";"Signature Entertainment";"23/10/2015";"8 741";"29";"";"";"";"8 770"
"IS";"Myndform";"12/08/2015";"2 548";"";"";"";"";"2 548"
"LU";"Alternative Film (LU)";"08/04/2015";"4 996";"";"";"";"";"4 996"
"ME";"";"";"230";"230";"";"";"";"460"
"MK";"MCF (MK)";"09/04/2015";"591";"";"";"";"";"591"
"PL";"Best Film";"13/05/2016";"";"42 714";"";"";"";"42 714"
"PT";"NOS Lusomundo Audiovisuais (PT)";"17/12/2015";"18 898";"3 717";"45";"";"";"22 660"
"SI";"Fivia";"16/04/2015";"5 088";"120";"65";"";"146";"5 419"
"SK";"Continental Film (SK)";"12/11/2015";"12 258";"489";"";"";"";"12 747"
"TR";"Chantier Films";"23/04/2015";"53 820";"";"";"";"";"53 820"
"EUR EU";"";"";"2 562 553";"71 492";"1 003";"268";"146";"2 635 462"
"EUR OBS";"";"";"2 655 266";"71 722";"1 003";"268";"146";"2 728 405"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015"
" - film_id : 54987"
