"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2012-2018";"Total since 2008"
"AT";"Filmladen";"24/04/2009";"";"18 507";"21";"10";"";"";"";"";"";"";"";"";"18 538"
"BE";"Cineart (BE)";"31/12/2008";"468";"55 401";"559";"";"";"";"";"";"";"";"";"";"56 428"
"CH";"Pathé Films (CH)";"12/11/2008";"8 884";"21 898";"18";"";"";"";"";"";"";"13";"";"13";"30 813"
"CZ";"Bioscop (AQS)";"26/02/2009";"";"66 338";"1 893";"1 049";"271";"71";"76";"117";"";"88";"35";"658";"69 938"
"DE";"StudioCanal (DE)";"26/03/2009";"";"88 606";"688";"";"";"";"";"";"114";"";"";"114";"89 408"
"DK";"Sandrew Metronome (DK)";"24/04/2009";"";"2 633";"188";"";"";"";"";"";"";"";"";"";"2 821"
"EE";"Acme (EE)";"30/01/2009";"";"2 512";"";"";"";"";"";"";"";"";"";"";"2 512"
"ES";"Vertigo Films (ES)";"03/04/2009";"";"177 742";"99";"";"";"";"861";"749";"";"";"";"1 610";"179 451"
"FI";"Sandrew Metronome Distribution";"27/02/2009";"213";"9 646";"";"";"";"";"";"";"";"";"";"";"9 859"
"FR";"Pathé Distribution (FR)";"12/11/2008";"207 182";"";"";"";"";"";"";"";"";"";"";"";"207 182"
"GB";"Pathé Distribution (GB)";"05/09/2008";"1 373 619";"1 695";"";"";"";"";"";"";"19";"";"";"19";"1 375 333"
"GR";"Audiovisual";"29/01/2009";"";"";"107";"";"";"";"";"";"";"";"";"";"107"
"HU";"Budapestfilm";"15/01/2009";"";"23 938";"23";"146";"";"";"";"";"";"";"";"";"24 107"
"IT";"Bim Distribuzione";"24/12/2008";"134 314";"198 124";"85";"";"";"";"";"";"";"";"";"";"332 523"
"LT";"Acme (LT)";"12/12/2008";"14 066";"";"";"";"";"";"";"";"";"";"";"";"14 066"
"LV";"Acme (LV)";"19/12/2008";"5 767";"5 843";"";"";"";"";"";"";"";"";"";"";"11 610"
"NL";"Cinéart Nederland";"19/03/2009";"";"36 725";"1 006";"421";"";"";"";"";"";"";"";"";"38 152"
"NO";"Sandrew Metronome (NO)";"13/02/2009";"";"8 492";"";"";"";"";"";"";"";"";"";"";"8 492"
"PL";"Best Film";"09/01/2009";"";"87 246";"";"";"";"";"";"";"";"";"";"";"87 246"
"PT";"ZON Lusomundo Cinemas";"29/01/2009";"";"32 807";"63";"";"";"";"";"";"";"";"";"";"32 870"
"RO";"Media Pro Distributions";"31/10/2008";"39 117";"4 152";"38";"";"";"";"";"";"";"";"";"";"43 307"
"SE";"Sandrew Metronome";"19/12/2008";"7 199";"9 165";"";"";"";"";"";"";"";"";"";"";"16 364"
"SK";"Magic Box Slovakia";"07/05/2009";"";"12 287";"";"";"";"";"";"";"";"";"";"";"12 287"
"TR";"Tiglon";"31/10/2008";"21 215";"538";"";"";"";"";"";"";"";"";"";"";"21 753"
"EUR EU";"";"";"1 781 945";"833 367";"4 770";"1 626";"271";"71";"937";"866";"133";"88";"35";"2 401";"2 624 109"
"EUR OBS";"";"";"1 812 044";"864 295";"4 788";"1 626";"271";"71";"937";"866";"133";"101";"35";"2 414";"2 685 167"
"US_CA";"Paramount Vantage (US)";"10/09/2008";"1 928 827";"";"";"";"";"";"";"";"";"";"";"";"1 928 827"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
" - film_id : 30141"
