"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Filmladen";"24/07/2014";"409 971";"17 797";"";"";"";"";"";"";"427 768"
"BE";"Cineart (BE)";"16/04/2014";"385 007";"7 931";"9 640";"1 297";"2 072";"1 179";"772";"4 023";"407 898"
"CH";"Frenetic Films (CH)";"16/04/2014";"468 128";"31 542";"665";"220";"53";"751";"55";"859";"501 414"
"CY";"Odeon (CY)";"25/07/2014";"991";"";"";"";"";"";"";"";"991"
"CZ";"CinemArt (CZ)";"23/10/2014";"85 618";"19 594";"3 404";"839";"1 772";"1 112";"793";"3 677";"113 132"
"DE";"Neue Visionen";"24/07/2014";"3 121 434";"747 291";"15 527";"4 562";"15 039";"2 121";"2 313";"19 473";"3 908 287"
"DK";"Mis Label";"20/11/2014";"10 801";"";"";"";"";"";"";"";"10 801"
"EE";"Estinfilm";"31/07/2015";"";"5 788";"183";"";"";"";"";"";"5 971"
"ES";"A Contracorriente Films";"29/10/2014";"438 826";"896 937";"814";"306";"";"1 201";"";"1 201";"1 338 084"
"FI";"Future Film";"09/01/2015";"";"25 102";"88";"48";"";"";"";"";"25 238"
"FR";"UGC Distribution";"16/04/2014";"12 338 574";"";"";"";"";"";"";"";"12 338 574"
"GR";"Odeon (GR)";"05/06/2014";"140 135";"1 989";"158";"";"";"";"";"";"142 282"
"HR";"Pa-Dora";"18/09/2014";"6 788";"";"";"";"";"";"";"";"6 788"
"HU";"MTVA";"28/05/2015";"";"101 183";"219";"";"";"";"";"";"101 402"
"IS";"Sena";"26/01/2015";"";"21 461";"";"";"";"";"";"";"21 461"
"IT";"01 Distribution";"05/02/2015";"";"659 072";"329";"";"";"209";"";"209";"659 610"
"LT";"Kino Pasaka (LT)";"28/08/2015";"";"4 761";"5 922";"839";"";"";"";"";"11 522"
"LU";"Cineart (LU)";"16/04/2014";"27 054";"104";"";"";"";"";"";"";"27 158"
"ME";"";"";"231";"";"";"";"";"";"";"";"231"
"MK";"";"";"332";"";"";"";"";"";"";"";"332"
"NL";"Cinéart Nederland";"26/06/2014";"90 525";"11 506";"642";"";"50";"378";"110";"538";"103 211"
"NO";"SF Norway";"17/10/2014";"3 180";"";"";"";"";"";"";"";"3 180"
"PL";"Gutek Film";"14/11/2014";"208 100";"34 407";"5 758";"4 270";"2 153";"";"";"2 153";"254 688"
"PT";"Outsider Films";"24/07/2014";"109 703";"532";"";"";"";"86";"";"86";"110 321"
"RO";"Odeon Cineplex";"14/11/2014";"25 230";"220";"";"";"";"";"";"";"25 450"
"RU";"Cinema Prestige";"17/07/2014";"65 974";"2 099";"";"";"";"";"";"";"68 073"
"SE";"Noble Entertainment";"17/10/2014";"40 033";"3 511";"24";"";"";"";"";"";"43 568"
"SI";"Fivia";"04/09/2014";"17 387";"6 187";"1 721";"669";"180";"";"";"180";"26 144"
"SK";"CinemaArt (SK)";"23/10/2014";"25 678";"3 429";"597";"430";"420";"407";"334";"1 161";"31 295"
"TR";"Bir Film";"22/08/2014";"19 050";"892";"";"";"";"";"";"";"19 942"
"EUR EU";"";"";"17 481 855";"2 547 341";"45 026";"13 260";"21 686";"6 693";"4 322";"32 701";"20 120 183"
"EUR OBS";"";"";"18 038 750";"2 603 335";"45 691";"13 480";"21 739";"7 444";"4 377";"33 560";"20 734 816"
"MA";"";"";"27 632";"";"";"";"";"";"";"";"27 632"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 45491"
