"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2020";"2011-2020";"Total since 2007"
"AT";"Constantin Film (AT)";"23/02/2007";"38 695";"283";"60";"";"";"";"";"";"";"";"";"";"";"";"39 038"
"BE";"Cineart (BE)";"14/02/2007";"170 706";"4 335";"861";"";"";"";"";"";"";"";"";"";"";"";"175 902"
"BG";"Aleksandra";"01/06/2007";"7 216";"657";"";"";"";"";"";"";"";"";"";"";"";"";"7 873"
"CH";"Pathé Films (CH)";"14/02/2007";"170 657";"1 005";"64";"160";"171";"100";"97";"33";"";"27";"";"81";"";"509";"172 395"
"CZ";"Bioscop (AQS)";"14/06/2007";"155 124";"19 577";"2 143";"980";"148";"";"917";"311";"448";"313";"356";"44";"";"2 537";"180 361"
"DE";"Constantin Film (DE)";"22/02/2007";"519 072";"";"";"";"";"";"";"285";"624";"35";"23";"";"96";"1 063";"520 135"
"DK";"Sandrew Metronome (DK)";"13/04/2007";"60 022";"353";"214";"49";"";"";"";"";"";"";"";"";"";"";"60 638"
"EE";"Tallinnfilm (EE)";"09/08/2007";"9 606";"1 246";"240";"";"128";"278";"";"";"";"";"";"";"";"406";"11 498"
"ES";"Alta Classics";"18/04/2007";"236 085";"3 668";"";"";"";"96";"18";"";"";"";"";"";"";"114";"239 867"
"FI";"Sandrew Metronome Distribution";"30/03/2007";"47 660";"412";"";"";"";"";"";"";"";"";"";"";"";"";"48 072"
"FR";"TFM Distribution";"14/02/2007";"5 242 769";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 242 769"
"GB";"Icon Film Distribution (GB)";"22/06/2007";"312 861";"22 707";"";"";"";"";"";"30";"30";"";"";"";"";"60";"335 628"
"GR";"Odeon (GR)";"";"154 514";"";"";"";"";"";"";"";"";"";"";"";"";"";"154 514"
"HU";"Budapestfilm";"21/06/2007";"43 705";"7 114";"";"";"";"";"";"";"";"";"";"";"";"";"50 819"
"IS";"";"";"2 045";"15";"";"";"";"";"";"";"";"";"";"";"";"";"2 060"
"IT";"Mikado Film";"04/05/2007";"217 133";"1 512";"120";"";"";"";"";"";"";"20";"";"";"";"20";"218 785"
"LT";"ACME / TF1 International";"10/08/2007";"14 010";"";"";"53";"43";"";"";"";"";"";"";"";"";"43";"14 106"
"LU";"Cineart (LU)";"16/02/2007";"";"191";"";"";"";"";"";"";"";"";"";"";"";"";"191"
"LV";"Acme (LV)";"";"8 098";"";"";"";"";"";"";"";"";"";"";"";"";"";"8 098"
"NL";"Entertainment One Benelux";"08/03/2007";"88 816";"4 109";"933";"176";"";"";"";"";"";"";"";"";"";"";"94 034"
"NO";"Sandrew Metronome (NO)";"30/03/2007";"86 221";"108";"";"";"";"";"";"";"";"";"";"";"";"";"86 329"
"PL";"Best Film";"11/05/2007";"140 926";"";"";"";"";"";"";"";"";"";"";"";"";"";"140 926"
"PT";"ZON Lusomundo Audiovisuais";"26/04/2007";"10 922";"4 020";"";"";"";"";"";"";"";"";"";"";"";"";"14 942"
"RO";"Media Pro Pictures";"20/04/2007";"8 154";"306";"";"";"";"";"";"";"4";"";"";"";"";"4";"8 464"
"SE";"Sandrew Metronome";"30/03/2007";"115 281";"780";"44";"94";"";"";"";"";"";"";"";"";"";"";"116 199"
"SI";"Fivia";"19/04/2007";"13 885";"2 038";"32";"92";"";"120";"60";"";"";"";"";"";"";"180";"16 227"
"SK";"Magic Box Slovakia";"26/07/2007";"18 818";"2 982";"84";"205";"";"6";"9";"50";"138";"";"";"";"";"203";"22 292"
"TR";"35MM.";"03/08/2007";"16 440";"644";"";"";"";"";"";"";"";"";"";"";"";"";"17 084"
"EUR EU";"";"";"7 634 078";"76 290";"4 731";"1 649";"319";"500";"1 004";"676";"1 244";"368";"379";"44";"96";"4 630";"7 721 378"
"EUR OBS";"";"";"7 909 441";"78 062";"4 795";"1 809";"490";"600";"1 101";"709";"1 244";"395";"379";"125";"96";"5 139";"7 999 246"
"US_CA";"Picturehouse (US)";"08/06/2007";"1 192 630";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 192 630"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007"
" - film_id : 26928"
