"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2012";"2013";"2019";"2006-2019";"Total since 2002"
"BE";"";"";"";"12 044";"";"";"";"";"";"";"";"";"";"";"";"12 044"
"CH";"Filmcoopi Zürich";"10/10/2002";"25 245";"32 800";"";"";"";"";"92";"";"";"";"";"";"92";"58 137"
"CZ";"SPI";"29/05/2003";"";"22 808";"1 799";"269";"";"288";"";"";"";"";"";"";"288";"25 164"
"DE";"Falcom Media";"13/03/2003";"";"43 720";"";"";"";"";"";"";"";"";"";"";"";"43 720"
"FR";"";"";"";"292 300";"1 618";"";"";"";"";"";"";"";"";"";"";"293 918"
"IT";"Medusa Film";"11/10/2002";"6 020 553";"25 031";"";"";"";"";"";"";"";"";"106";"100";"206";"6 045 790"
"LU";"";"";"";"2 092";"";"";"";"";"";"";"";"";"";"";"";"2 092"
"NL";"RCV Entertainment";"";"";"15 802";"";"";"50";"";"";"";"";"12";"";"";"62";"15 864"
"PL";"SPI Poland";"30/05/2003";"";"112 583";"3 241";"323";"";"";"";"";"";"";"";"";"";"116 147"
"PT";"ZON Lusomundo Audiovisuais";"21/04/2005";"";"14 001";"";"35 555";"";"";"";"";"";"";"";"";"";"49 556"
"SI";"Fivia";"20/02/2003";"";"11 262";"";"";"";"";"";"";"";"";"";"";"";"11 262"
"SK";"Film Europe (SK)";"21/08/2003";"";"27 963";"3 503";"";"1 249";"633";"494";"518";"790";"13";"";"";"3 697";"35 163"
"TR";"";"";"";"12 238";"";"";"";"";"";"";"";"";"";"";"";"12 238"
"EUR EU";"";"";"6 020 553";"579 606";"10 161";"36 147";"1 299";"921";"494";"518";"790";"25";"106";"100";"4 253";"6 650 720"
"EUR OBS";"";"";"6 045 798";"624 644";"10 161";"36 147";"1 299";"921";"586";"518";"790";"25";"106";"100";"4 345";"6 721 095"
"US_CA";"";"";"450 761";"";"";"";"";"";"";"";"";"";"";"";"";"450 761"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2013, 2012, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002"
" - film_id : 18835"
