"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2013";"2014";"2015";"2016";"2008-2016";"Total since 2004"
"AT";"Warner Bros. (AT)";"28/01/2005";"";"49 868";"";"";"";"";"";"";"";"";"";"";"49 868"
"BE";"";"";"246 543";"";"";"";"";"";"";"";"";"";"";"";"246 543"
"BG";"Aleksandra";"04/02/2005";"";"13 443";"";"";"";"";"";"";"";"";"";"";"13 443"
"CH";"Warner Bros. (CH)";"27/10/2004";"85 965";"43 864";"";"9";"";"";"";"";"";"47";"";"47";"129 885"
"CZ";"Warner Bros. (CZ)";"10/02/2005";"";"9 782";"624";"";"148";"";"";"";"";"";"";"148";"10 554"
"DE";"Warner Bros. (DE)";"27/01/2005";"";"631 787";"";"";"";"";"";"";"";"";"";"";"631 787"
"DK";"Sandrew Metronome (DK)";"";"";"46 973";"";"";"";"";"";"";"";"";"";"";"46 973"
"EE";"Forum Cinemas (EE)";"05/02/2005";"";"2 662";"";"";"";"27";"";"";"";"";"";"27";"2 689"
"ES";"Warner Sogefilms";"25/01/2005";"";"344 594";"1 962";"";"";"";"";"";"";"";"";"";"346 556"
"FI";"Sandrew Metronome Distribution";"21/01/2005";"";"39 573";"";"";"";"";"";"";"";"";"";"";"39 573"
"FR";"Warner Bros. (FR)";"27/10/2004";"4 229 545";"84 294";"2 788";"";"";"";"";"";"";"";"";"";"4 316 627"
"GB";"Warner Bros. (GB)";"21/01/2005";"";"335 734";"";"";"";"";"";"";"80";"13";"59";"152";"335 886"
"HU";"Intercom";"03/02/2005";"";"35 299";"";"";"";"";"";"";"";"";"";"";"35 299"
"IS";"";"";"";"3 637";"";"";"";"";"";"";"";"";"";"";"3 637"
"IT";"Warner Bros. (IT)";"11/02/2005";"";"108 315";"";"";"";"";"74";"";"";"";"";"74";"108 389"
"LV";"Baltic Cinema";"18/02/2005";"";"5 423";"";"";"";"";"";"";"";"";"";"";"5 423"
"NL";"Warner Bros. (NL)";"13/01/2005";"";"105 151";"464";"73";"84";"";"";"";"3";"";"";"87";"105 775"
"NO";"Sandrew Metronome (NO)";"14/01/2005";"";"42 828";"";"";"";"";"";"";"";"";"";"";"42 828"
"PL";"Warner (PL)";"11/02/2005";"";"63 082";"";"";"";"";"";"";"";"";"";"";"63 082"
"PT";"Columbia TriStar Warner (PT)";"27/01/2005";"";"29 533";"";"";"";"";"";"";"47";"";"";"47";"29 580"
"RO";"Intercomfilm";"01/04/2005";"";"6 986";"";"";"";"";"";"36";"";"";"";"36";"7 022"
"SE";"Sandrew / Warner";"28/01/2005";"";"87 353";"";"";"";"";"";"";"";"";"";"";"87 353"
"SI";"Ljubljanski Kinematografi";"16/02/2005";"";"";"8";"";"";"";"";"";"";"";"";"";"8"
"SK";"Continental Film (SK)";"17/02/2005";"";"4 108";"20";"";"";"";"";"";"";"";"";"";"4 128"
"TR";"Warner Bros. (TR)";"25/03/2005";"";"72 883";"";"";"";"";"";"";"";"";"";"";"72 883"
"EUR EU";"";"";"4 476 088";"2 003 960";"5 866";"73";"232";"27";"74";"36";"130";"13";"59";"571";"6 486 558"
"EUR OBS";"";"";"4 562 053";"2 167 172";"5 866";"82";"232";"27";"74";"36";"130";"60";"59";"618";"6 735 791"
"US_CA";"";"";"427 214";"553 335";"";"";"";"";"";"";"";"";"";"";"980 549"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2015, 2014, 2013, 2010, 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 22157"
