"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Warner Bros. (AT)";"27/07/2017";"94 863";"";"";"";"94 863"
"BA";"Blitz Film & Video Distribution (BA)";"";"9 861";"";"";"";"9 861"
"BE";"Warner Bros. (BE)";"19/07/2017";"396 955";"1 199";"84";"830";"399 068"
"BG";"Aleksandra";"21/07/2017";"35 769";"";"";"218";"35 987"
"CH";"Warner Bros. (CH)";"19/07/2017";"187 899";"34";"";"351";"188 284"
"CY";"";"";"7 026";"";"";"";"7 026"
"CZ";"Vertical Entertainment (CZ)";"20/07/2017";"253 853";"4 057";"";"";"257 910"
"DE";"Warner Bros. (DE)";"27/07/2017";"749 639";"";"";"";"749 639"
"DK";"SF Studios (DK)";"20/07/2017";"303 625";"";"";"";"303 625"
"EE";"Acme Film";"21/07/2017";"27 088";"282";"";"224";"27 594"
"ES";"Warner Bros. Entertainment Espana";"21/07/2017";"1 430 655";"3 255";"256";"";"1 434 166"
"FI";"SF Film Finland [FS Film]";"19/07/2017";"117 877";"285";"";"405";"118 567"
"FR";"Warner Bros. (FR)";"19/07/2017";"2 553 899";"";"";"9 307";"2 563 206"
"GB";"Version Digital (GB)";"21/07/2017";"7 564 364";"13 855";"";"1 619";"7 579 838"
"GR";"Tanweer (GR)";"24/08/2017";"200 824";"";"";"";"200 824"
"HR";"Blitz Film & Video Distribution (HR)";"20/07/2017";"64 811";"805";"";"";"65 616"
"HU";"Intercom";"20/07/2017";"185 329";"119";"";"";"185 448"
"IS";"Samfilm";"19/07/2017";"28 074";"";"";"231";"28 305"
"IT";"Warner Bros. (IT)";"31/08/2017";"1 302 393";"12 346";"1 834";"906";"1 317 479"
"LT";"ACME / Warner Bros.";"21/07/2017";"49 140";"23";"";"59";"49 222"
"LU";"";"";"19 055";"23";"";"140";"19 218"
"LV";"Acme (LV)";"21/07/2017";"15 099";"";"";"144";"15 243"
"ME";"";"";"";"20";"";"";"20"
"MK";"Blitz Film (MK)";"";"3 163";"";"";"";"3 163"
"NL";"Warner Bros. (NL)";"20/07/2017";"755 660";"4 408";"1 473";"1 808";"763 349"
"NO";"SF Norway";"19/07/2017";"226 422";"372";"";"498";"227 292"
"PL";"Warner (PL)";"21/07/2017";"709 261";"";"";"";"709 261"
"PT";"NOS Lusomundo Audiovisuais (PT)";"20/07/2017";"172 702";"2 194";"";"577";"175 473"
"RO";"Vertical Ent. (RO)";"21/07/2017";"164 410";"385";"";"";"164 795"
"RU";"Caro Premier";"20/07/2017";"1 166 938";"";"";"";"1 166 938"
"SE";"20th Century Fox (SE)";"19/07/2017";"320 833";"";"";"";"320 833"
"SI";"Blitz Film & Video Distribution (SI)";"20/07/2017";"26 046";"772";"";"";"26 818"
"SK";"Continental Film (SK)";"20/07/2017";"86 903";"509";"358";"";"87 770"
"TR";"Warner Bros. (TR)";"21/07/2017";"347 705";"";"";"";"347 705"
"EUR EU";"";"";"17 608 079";"44 517";"4 005";"16 237";"17 672 838"
"EUR OBS";"";"";"19 578 141";"44 943";"4 005";"17 317";"19 644 406"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 72541"
