"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2008-2019";"Total since 2004"
"AT";"Tobis Film (AT)";"11/03/2005";"";"16 567";"791";"75";"60";"";"";"";"";"";"";"";"";"";"";"";"60";"17 493"
"BE";"Cineart (BE)";"02/02/2005";"";"63 978";"1 433";"727";"";"";"";"";"";"";"";"";"";"";"";"";"";"66 138"
"BG";"Vadi Van Kris";"11/11/2005";"";"15 075";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"15 075"
"CH";"Frenetic Films (CH)";"02/02/2005";"";"87 815";"";"158";"119";"6";"";"";"17";"53";"";"4";"27";"";"";"45";"271";"88 244"
"CZ";"SPI";"10/02/2005";"";"8 339";"";"432";"274";"11";"";"";"";"";"";"";"";"";"";"";"285";"9 056"
"DE";"Tobis Film (DE)";"10/03/2005";"";"286 770";"5 454";"1 234";"2 175";"";"";"";"";"";"154";"147";"97";"63";"104";"36";"2 776";"296 234"
"DK";"SF Film (DK)";"06/05/2005";"";"12 459";"291";"49";"";"48";"";"";"";"";"";"";"";"";"";"";"48";"12 847"
"EE";"MPDE";"09/04/2005";"";"1 591";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 591"
"ES";"Warner Sogefilms";"31/08/2004";"3 998 550";"99 558";"133";"";"";"";"";"";"";"";"";"";"";"";"";"33";"33";"4 098 274"
"FI";"SF Film Finland [FS Film]";"25/02/2005";"";"32 019";"835";"80";"56";"60";"";"";"";"";"";"";"";"";"";"";"116";"33 050"
"FR";"UGC Distribution";"02/02/2005";"91";"240 035";"3 269";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"243 395"
"GB";"Entertainment (GB)";"11/02/2005";"";"70 841";"";"";"";"";"";"";"";"";"";"";"101";"43";"";"";"144";"70 985"
"GR";"Playtime Releasing EPE";"07/01/2005";"";"75 534";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"75 534"
"HU";"Budapestfilm";"03/03/2005";"";"18 134";"";"100";"117";"";"";"";"";"";"";"";"";"";"";"";"117";"18 351"
"IS";"Myndform";"04/02/2005";"";"1 282";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 282"
"IT";"Lucky Red";"04/09/2004";"159 898";"67 832";"4 773";"4 441";"";"";"";"";"";"";"";"";"";"";"";"";"";"236 944"
"LU";"Cineart (LU)";"04/02/2005";"";"2 747";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2 747"
"LV";"Acme (LV)";"26/08/2005";"";"3 629";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3 629"
"NL";"A-Film (NL)";"27/01/2005";"";"83 641";"2 833";"39";"9";"81";"139";"";"109";"136";"";"";"";"";"";"";"474";"86 987"
"NO";"SF Norway";"28/01/2005";"";"12 018";"";"32";"34";"";"";"";"";"";"";"";"";"";"";"";"34";"12 084"
"PL";"SPI Poland";"21/01/2005";"182";"47 410";"1 752";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"49 344"
"PT";"Atalanta Filmes";"24/02/2005";"";"56 215";"212";"57";"66";"";"20";"70";"";"";"";"";"";"";"";"";"156";"56 640"
"RO";"IF-Independenta Film";"08/07/2005";"";"6 864";"453";"56";"44";"90";"";"";"";"";"";"";"";"";"";"";"134";"7 507"
"SE";"Svensk Filmindustri";"18/02/2005";"";"24 232";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"24 232"
"SI";"Blitz Film & Video Distribution (SI)";"03/03/2005";"";"3 073";"632";"";"125";"";"";"";"";"";"";"";"";"";"";"";"125";"3 830"
"SK";"Film Europe (SK)";"03/02/2005";"";"6 457";"329";"311";"120";"";"";"";"14";"";"";"14";"";"";"";"";"148";"7 245"
"TR";"Chantier Films";"11/02/2005";"";"64 172";"";"";"";"";"";"";"237";"";"190";"";"";"";"";"";"427";"64 599"
"EUR EU";"";"";"4 158 721";"1 243 000";"23 190";"7 601";"3 046";"290";"159";"70";"123";"136";"154";"161";"198";"106";"104";"69";"4 616";"5 437 128"
"EUR OBS";"";"";"4 158 721";"1 408 287";"23 190";"7 791";"3 199";"296";"159";"70";"377";"189";"344";"165";"225";"106";"104";"114";"5 348";"5 603 337"
"US_CA";"";"";"";"306 154";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"306 154"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 22515"
