"Market";"Distributor";"Release date";"2015";"2016";"2017";"Total since 2015"
"AT";"SPE (AT)";"31/07/2015";"139 948";"";"";"139 948"
"BA";"Continental Film (BA)";"";"4 641";"";"";"4 641"
"BE";"Sony Pictures Releasing (BE)";"29/07/2015";"";"162";"";"162"
"BG";"Aleksandra";"24/07/2015";"23 073";"";"";"23 073"
"CH";"Walt Disney (CH)";"22/07/2015";"44 429";"";"";"44 429"
"CZ";"Falcon";"13/08/2015";"114 744";"1 030";"59";"115 833"
"DE";"Sony Pictures Releasing (DE)";"30/07/2015";"1 096 999";"1 141";"";"1 098 140"
"DK";"UIP/Sony (DK)";"13/08/2015";"22 490";"";"";"22 490"
"EE";"Acme Film";"24/07/2015";"10 694";"";"";"10 694"
"ES";"Sony Pictures Releasing De Espana";"24/07/2015";"996 462";"338";"104";"996 904"
"FI";"The Walt Disney Company Nordic";"07/08/2015";"16 310";"";"";"16 310"
"FR";"Sony Pictures Releasing (FR)";"22/07/2015";"727 267";"";"";"727 267"
"GB";"Sony Pictures (GB)";"14/08/2015";"1 171 067";"78";"";"1 171 145"
"GR";"Feelgood";"";"33 001";"";"";"33 001"
"HR";"Sony Pictures Releasing (HR)";"23/07/2015";"18 838";"";"";"18 838"
"HU";"Intercom";"30/07/2015";"87 456";"182";"";"87 638"
"IS";"Sena";"06/07/2015";"7 699";"";"";"7 699"
"IT";"Warner Bros. (IT)";"29/07/2015";"484 861";"2";"";"484 863"
"LT";"ACME / Sony";"24/07/2015";"12 106";"";"";"12 106"
"LV";"Acme (LV)";"24/07/2015";"15 814";"";"";"15 814"
"ME";"";"";"897";"897";"";"1 794"
"NL";"Universal Pictures Int (NL)";"20/08/2015";"118 580";"";"";"118 580"
"NO";"UIP (NO)";"07/08/2015";"21 725";"";"";"21 725"
"PL";"UIP (PL)";"24/07/2015";"123 777";"";"";"123 777"
"PT";"Big Picture 2 Films";"30/07/2015";"57 343";"";"";"57 343"
"RO";"Intercomfilm";"24/07/2015";"43 663";"";"";"43 663"
"RU";"Walt Disney Studios Sony Pictures Releasing";"23/07/2015";"1 579 018";"";"";"1 579 018"
"SE";"Sony/UIP (SE)";"12/08/2015";"55 133";"";"";"55 133"
"SI";"Continental Film (SI)";"23/07/2015";"10 657";"";"";"10 657"
"SK";"Itafilm";"23/07/2015";"16 720";"";"";"16 720"
"TR";"Warner Bros. (TR)";"21/08/2015";"139 986";"";"";"139 986"
"EUR EU";"";"";"5 397 003";"2 933";"163";"5 400 099"
"EUR OBS";"";"";"7 195 398";"3 830";"163";"7 199 391"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016, 2015"
" - film_id : 63945"
