"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2017-2020";"Total since 2013"
"AT";"Constantin Film (AT)";"28/02/2014";"";"29 331";"370";"";"";"";"";"";"";"29 701"
"BE";"Santa Fe Productions (BE)";"08/01/2014";"1 479";"93 837";"1 073";"152";"";"";"";"";"";"96 541"
"CH";"Pathé Films (CH)";"08/01/2014";"285";"105 289";"94";"138";"63";"14";"";"";"77";"105 883"
"CZ";"Bioscop (AQS)";"06/03/2014";"";"6 046";"480";"505";"";"140";"";"";"140";"7 171"
"DE";"Universum Film";"27/02/2014";"";"377 112";"7 492";"442";"488";"287";"106";"";"881";"385 927"
"DK";"Scanbox Entertainment (DK)";"28/11/2013";"51 131";"16 848";"";"";"";"";"";"";"";"67 979"
"EE";"ETD";"28/02/2014";"";"11 322";"7";"";"";"";"";"";"";"11 329"
"ES";"Vertigo Films (ES)";"28/02/2014";"";"289 004";"356";"374";"";"";"";"";"";"289 734"
"FI";"Finnkino";"31/01/2014";"1 092";"54 408";"";"";"";"";"";"";"";"55 500"
"FR";"Pathé Distribution (FR)";"08/01/2014";"";"726 568";"";"";"";"";"";"";"";"726 568"
"GB";"20th Century Fox (GB)";"01/11/2013";"1 631 436";"101 827";"";"";"13";"";"";"";"13";"1 733 276"
"GR";"Feelgood";"27/02/2014";"";"62 670";"1 002";"79";"";"211";"";"";"211";"63 962"
"HR";"Pa-Dora";"30/01/2014";"";"3 126";"";"";"";"";"";"";"";"3 126"
"HU";"Mozinet";"26/12/2013";"6 633";"17 760";"40";"";"146";"31";"49";"";"226";"24 659"
"IS";"Myndform";"01/11/2013";"5 891";"";"";"";"";"";"";"";"";"5 891"
"IT";"Lucky Red";"19/12/2013";"445 521";"628 860";"127";"44";"";"";"6";"";"6";"1 074 558"
"LT";"Theatrical Film Distribution (LT)";"18/03/2014";"";"4 260";"";"";"";"";"";"";"";"4 260"
"LU";"Santa Fe Productions (LU)";"02/12/2013";"1 177";"6 558";"";"";"";"";"";"";"";"7 735"
"LV";"LTD Latvian Theatrical Distribution";"";"";"2 617";"";"";"";"";"";"";"";"2 617"
"ME";"";"";"";"79";"";"";"";"";"";"";"";"79"
"MK";"MCF (MK)";"";"";"217";"";"";"";"";"";"";"";"217"
"NL";"Paradiso Entertainment (NL)";"09/01/2014";"5 390";"184 472";"3 321";"523";"";"15";"156";"12";"183";"193 889"
"NO";"Scanbox (NO)";"15/11/2013";"23 778";"339";"";"";"";"";"";"";"";"24 117"
"PL";"Best Film";"21/02/2014";"";"107 389";"1 233";"";"";"";"";"";"";"108 622"
"PT";"NOS Lusomundo Audiovisuais (PT)";"06/02/2014";"";"66 719";"201";"";"";"";"";"";"";"66 920"
"RU";"Kaskad (RU)";"27/02/2014";"";"67 679";"";"";"";"";"";"";"";"67 679"
"SE";"Scanbox Entertainment (SE)";"06/12/2013";"51 655";"98 653";"";"";"";"";"";"";"";"150 308"
"SI";"Fivia";"11/12/2013";"5 335";"4 732";"552";"";"";"";"";"";"";"10 619"
"SK";"Magic Box Slovakia";"06/03/2014";"";"1 167";"";"";"";"";"";"";"";"1 167"
"TR";"M3 Film";"09/05/2014";"";"6 084";"356";"285";"";"";"";"";"";"6 725"
"EUR EU";"";"";"2 200 849";"2 895 286";"16 254";"2 119";"647";"684";"317";"12";"1 660";"5 116 168"
"EUR OBS";"";"";"2 230 803";"3 074 973";"16 704";"2 542";"710";"698";"317";"12";"1 737";"5 326 759"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013"
" - film_id : 43658"
