"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2017";"2015-2017";"Total since 2011"
"AT";"Constantin Film (AT)";"01/09/2011";"169 525";"";"";"";"";"";"";"169 525"
"BA";"Blitz Film i Video, Oskar / MCF (BA)";"20/10/2011";"6 423";"";"";"";"";"";"";"6 423"
"BE";"Source Investments";"13/10/2011";"108 084";"";"";"";"";"";"";"108 084"
"BG";"A Plus Cinema";"14/10/2011";"44 151";"";"";"";"";"";"";"44 151"
"CH";"Pathé Films (CH)";"01/09/2011";"70 851";"";"";"";"";"";"";"70 851"
"CY";"Odeon (CY)";"07/10/2011";"4 965";"1 122";"";"";"";"";"";"6 087"
"CZ";"Hollywood";"20/10/2011";"53 174";"";"250";"";"";"";"";"53 424"
"DE";"Constantin Film (DE)";"01/09/2011";"1 220 793";"";"";"3";"17";"18";"35";"1 220 831"
"DK";"SF Film (DK)";"13/10/2011";"63 141";"";"";"";"";"";"";"63 141"
"EE";"Acme (EE)";"14/10/2011";"17 737";"168";"";"";"";"";"";"17 905"
"ES";"Aurum Producciones";"30/09/2011";"445 514";"73";"";"";"";"";"";"445 587"
"FI";"SF Film Finland [FS Film]";"21/10/2011";"31 505";"78";"";"";"";"";"";"31 583"
"FR";"UGC Distribution";"12/10/2011";"433 507";"";"";"";"";"";"";"433 507"
"GB";"Entertainment One Films (GB)";"14/10/2011";"573 670";"94";"";"";"";"";"";"573 764"
"GR";"Odeon (GR)";"06/10/2011";"68 333";"952";"";"";"";"";"";"69 285"
"HR";"Blitz Film & Video Distribution (HR)";"20/10/2011";"45 117";"2 623";"";"";"";"";"";"47 740"
"HU";"ProVideo";"13/10/2011";"33 811";"";"";"";"";"";"";"33 811"
"IT";"01 Distribution";"14/10/2011";"234 040";"1 299";"";"";"";"";"";"235 339"
"LT";"Acme (LT)";"14/10/2011";"27 742";"";"";"";"";"";"";"27 742"
"LV";"Acme (LV)";"14/10/2011";"21 887";"";"";"";"";"";"";"21 887"
"NL";"Dutch Film Works (Source Investments)";"13/10/2011";"208 697";"";"107";"";"";"";"";"208 804"
"NO";"SF Norway";"14/10/2011";"43 800";"";"";"";"";"";"";"43 800"
"PL";"Monolith";"14/10/2011";"152 127";"1 573";"335";"801";"";"";"";"154 836"
"PT";"ZON Lusomundo Cinemas";"13/10/2011";"90 332";"301";"";"";"";"";"";"90 633"
"RO";"Media Pro Distributions";"14/10/2011";"155 027";"3 906";"43";"147";"";"";"";"159 123"
"RU";"Karoprokat";"14/11/2013";"940 026";"";"174 238";"";"";"";"";"1 114 264"
"SE";"Svensk Filmindustri";"30/09/2011";"82 152";"35";"";"";"";"";"";"82 187"
"SI";"Blitz Film & Video Distribution (SI)";"20/10/2011";"19 711";"297";"";"";"";"";"";"20 008"
"SK";"Forum Film Slovakia";"20/10/2011";"22 735";"34";"";"";"";"";"";"22 769"
"TR";"Tiglon";"14/10/2011";"119 648";"2 720";"";"";"";"";"";"122 368"
"EUR EU";"";"";"4 327 477";"12 555";"735";"951";"17";"18";"35";"4 341 753"
"EUR OBS";"";"";"5 508 225";"15 275";"174 973";"951";"17";"18";"35";"5 699 459"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2015, 2014, 2013, 2012, 2011"
" - film_id : 37320"
