"Film";"Producing country";"Production year";"Directors";"Admissions EUR EU (since 1996)"
"Intouchables (FR)
Untouchable (EN)
The Intouchables (EN)
Недосегаемите (BG)
Nedotknutelní (CS)
De urørlige (DA)
Ziemlich beste Freunde (DE)
Athiktoi (EL)
Άθικτοι (EL)
Intocable (ES)
Amigos para Siempre (ES)
Intocable (ES)
Amigos intocables (ES)
Amigos (ES)
Amigos (ES)
Amigos para siempre (ES)
Intouchables (ET)
1 + 1 (ET)
Koskemattomat (FI)
Nedodirljivi (HR)
Életrevalók (HU)
Quasi amici (IT)
Quasi amici - Intouchables (IT)
Saikyô no futari (JA)
Neliečiamieji (LT)
Neaizskaramie (LV)
De urørlige (NO)
Nietykalni (PL)
Amigos Improváveis (PT)
Intocáveis (PT)
Invincibilii (RO)
1+1 (RU)
Nedotknuteľní (SK)
Prijatelja (SL)
Nedodirljivi (SR)
En oväntad vänskap (SV)
Can Dostum (TR)
1+1 (UK)
Недоторканнi (UK)";"FR";"2011";"Olivier Nakache
Eric Toledano";"40 136 593"
"Bienvenue chez les Ch'tis (FR)
Welcome to the Sticks (EN)
Velkommen Til Ch'tis (DA)
Velkommen til Ch'tis (DA)
Willkommen bei den Sch'tis (DE)
Einai treloi aftoi oi Voreioi (EL)
Είναι τρελοί αυτοί οι Βόρειοι (EL)
Bienvenidos Al Norte (ES)
Bienvenidos al país de la locura (ES)
Bienvenido al país de la locura (ES)
Bienvenidos al Norte (ES)
Dobrodošli U Ch Tis (HR)
Isten hozott az Isten háta mögött (HU)
Giu' Al Nord (IT)
Giù al nord (IT)
Welkom in de provincie (NL)
Velkommen til Shti'ene (NO)
Jeszcze dalej niż północ (PL)
Jeszcze dalej niz Pólnoc (PL)
Bem-vindo ao norte (PT)
A Riviera Não É Aqui (PT)
Bem-vindo ao Norte (PT)
Бобро поржаловать! (RU)
I en annan del av Frankrike (SV)
Лашкаво прошимо (UK)
Bienvenue chez les Ch'tis (XX)
Bienvenue Chez Les Ch'tis (XX)
Bruhim ha'ba'im la'tzafon (XX)
Welcome to the Land of Shtis (XX)
Welcome to the Sticks (XX)";"FR";"2008";"Dany Boon";"25 529 501"
"Astérix & Obélix : Mission Cléopâtre (FR)
Asterix & Obelix: Mission Cleopatra (EN)
Asterix vs. Obelix: Mission Cleopatra (EN)
Asterix and Obelix Meet Cleopatra (EN)
Астерикс и Обеликс: Мисия Клеопатра (BG)
Asterix & Obelix: Mise Kleopatra (CS)
Asterix a Obelix: Mise Kleopatra (CS)
Asterix & Obelix - Mission Kleopatra (DA)
Asterix & Obelix: Mission Kleopatra (DA)
Asterix & Obelix: Mission Kleopatra (DE)
Asterix & Obelix: Mission Kleopatra (DE)
Asterix ke Ovelix : Epixeirhsh Kleopatra (EL)
Asterix & Ovelix: Epiheirisi Kleopatra (EL)
Αστερίξ & Οβελίξ: Επιχείρηση Κλεοπ�... (EL)
Asterix y Obelix: Mision Cleopatra (ES)
Astérix y Obélix: Misión Cleopatra (ES)
Asterix & Obelix: Missioon Kleopatra (ET)
Asterix ja Obelix: Tehtävä Kleopatra (FI)
Astérix & Obélix: Tehtävä Kleopatra (FI)
Asterix & Obelix - Uppdrag Kleopatra (FI)
Astérix et Obélix : Mission Cléopâtre (FR)
Astérix & Obélix: Au service de Cléopatre (FR)
Astérix & Obélix: Mission Cléopâtre (FR)
Asterix i Obelix: Misija Kleopatra (HR)
Asterix és Obelix: a Kleopátra küldetés (HU)
Asterix és Obelix: A Kleopátra küldetés (HU)
Ástríkur & Steinríkur: Ástríkur & Kleópatra (IS)
Asterix & Obelix: Missione Cleopatra (IT)
Asterix & Obelix - Missione Cleopatra (IT)
Astersikas ir Obeliksas 2: Misija Klepatra (LT)
Asteriksas ir Obeliksas: misija Kleopatra (LT)
Asterix & Obelix: missie Cleopatra (NL)
Asterix & Obelix: Oppdrag Kleopatra (NO)
Asterix i Obelix - Misja Kleopatra (PL)
Asterix i Obelix: Misja Kleopatra (PL)
Asterix e Obelix: Missão Cleópatra (PT)
Astérix e Obélix: Missão Cleópatra (PT)
Asterix & Obelix: Misuine Cleopatra (RO)
Астерикс и Обеликс: Миссия Клеопатра (RU)
Asterix a Obelix: Misia Kleopatra (SK)
Asterix & Obelix: Misija Kleopatra (SL)
Asteriks i Obeliks - Misija Kleopatra (SR)
Astérix & Obélix - uppdrag Kleopatra (SV)
Astérix & Obélix: Uppdrag Kleopatra (SV)
Asteriks ve Oburiks: Görevimiz Kleopatra (TR)
Asteriks ve Oburiks - Görevimiz Kleopatra (TR)
Астерiкс i Обелiкс: Мiсiя Клеопатра (UK)
Astérix & Obélix: Mission Cléopâtre (XX)
Astérix et Obélix: Mission Cléopâtre (XX)
Asterix & Obelix: Mission Cleopatra (XX)";"FR / DE";"2002";"Alain Chabat";"21 566 242"
"Qu'est-ce qu'on a fait au Bon Dieu? (FR)
Serial (EN)
Serial (Bad) Weddings (EN)
Какво направихме, за Бога (BG)
Co jsme komu udělali? (CS)
Bryllupskaos (DA)
Monsieur Claude und seine Töchter (DE)
Thee mou, ti sou kaname? (EL)
Θεέ μου, τι σου κάναμε; (EL)
Dios mío, ¿pero qué te hemos hecho? (ES)
Dios Mío ¿Qué hemos hecho? (ES)
Dios mío, ¿qué hemos hecho? (ES)
Ranskalaista häähumua (FI)
Bazi nagy francia lagzik (HU)
Non sposate le mie figlie! (IT)
Colorful Weddings (KO)
Šta smo Bogu zgriješili? (ME)
Што сме му згрешиле на Бога (MK)
Bon Dieu! (NL)
Familiekaos (NO)
Za jakie grzechy, dobry Boże? (PL)
Za jakie grzechy, dobry Boze? (PL)
Que Mal Fiz Eu a Deus? (PT)
Que Mal Eu Fiz a Deus? (PT)
Cu ce ti-am gresit noi, Doamne? (RO)
Безумная свадьба (RU)
Čo sme komu urobili? (SK)
Bog, le kaj smo zagresili? (SL)
Šta smo Bogu zgrešili (SR)
Serial (Bad) Weddings (SV)
Bröllopskaos (SV)
Sürpriz Damatlar (TR)
Delisov Toy (XX)";"FR";"2014";"Philippe de Chauveron";"20 120 183"
"Le fabuleux destin d'Amélie Poulain (FR)
Amelie from Montmartre (EN)
Amelie (EN)
Amélie (EN)
Amélie (EN)
Невероятната съдба на Амели Пулен (BG)
Amélie z Montmartru (CS)
Den fabelagtige Amelie fra Montmartre (DA)
Den fabelagtige Amélie fra Montmartre (DA)
Die fabelhafte Welt der Amélie (DE)
Die fabelhafte Welt der Amelie (DE)
Αμελί (EL)
Amelie (ES)
El fabuloso destino de Amelie Poulain (ES)
Amélie (ES)
Amélie (ES)
Amelie (FI)
Amélie (FI)
Amélie de Montmartre (FR)
Amélie (FR)
Amélie des Abbesses (FR)
Amelie (HR)
Amélie csodálatos élete (HU)
Il faAmélie z Montmartruvoloso mondo di Amelie (IT)
Il favoloso mondo di Amélie (IT)
Ameri (JA)
Amelija iš Monmartro (LT)
Den fabelaktige Amelie fra Montmartre (NO)
Den fabelaktige Amélie fra Montmartre (NO)
Amelia (PL)
O fabuloso destino de Amelie (PT)
O Fabuloso Destino de Amélie Poulain (PT)
O Fabuloso Destino de Amélie (PT)
Amélie (RO)
Амели (RU)
Amélie z Montmartru (SK)
Amélia (SK)
Nenavadna usoda Amelie Poulain (SL)
Čudesna sudbina Amelije Pulen (SR)
Amelie från Montmartre (SV)
Amelie (TR)
Неймовiрна доля Амелi Пулен (UK)
Le fabuleux destin d'Amélie Poulain (XX)
Amélie (XX)
Le fabuleux destin d'Amélie Poulain (XX)
Amélie (XX)
Amélie (XX)";"FR / DE";"2001";"Jean-Pierre Jeunet";"20 018 849"
"Bridget Jones: The Edge of Reason (EN)
Bridget Jones 2 (EN)
Bridget Jones's Diary 2 (EN)
Бриджит Джoунс: На ръба на разума (BG)
Bridget Jonesová: S rozumem v koncích (CS)
Bridget Jones: Pa Randen af Fornuft (DA)
Bridget Jones - På randen af fornuft (DA)
Bridget Jones - Am Rande des Wahnsinns (DE)
Bridget Jones: I epomeni selida (EL)
Bridget Jones: Η επόμενη σελίδα (EL)
Bridget Jones: Sobrevivire (ES)
Bridget Jones: Al borde de la razón (ES)
Bridget Jones 2: al borde de la razón (ES)
Bridget Jones: Sobreviviré (ES)
Bridget Jones: täitsa lõpp (ET)
Bridget Jones: Täitsa lõpp (ET)
Bridget Jones: Elämä jatkuu (FI)
Bridget Jones : l'âge de raison (FR)
Bridget Jones - L'age 2 raison (FR)
Bridget Jones: L'âge de raison (FR)
Bridget Jones: Na rubu pameti (HR)
Bridget Jones - Mindjárt megőrülök! (HU)
Bridget Jones: Mindjárt megőrülök! (HU)
Che pasticcio, Bridget Jones! (IT)
Bridget Jonesui ilgi: Yeoljeong aejeong (KO)
Bridzita Dzounsa 2 (LV)
Bridget Jones - På randen (NO)
Bridget Jones: W pogoni za rozumem (PL)
O Novo Diário De Bridget Jones (PT)
Bridget Jones, no Limite da Razão (PT)
O Novo Diário de Bridget Jones (PT)
Bridget Jones: la limita ratiunii (RO)
Bridget Jones: La limita ratiunii (RO)
Бриджит Джонс: Грани разумного (RU)
Bridget Jonesová: S rozumom v koncoch (SK)
Bridget Jones: Na robu pameti (SL)
Bridžit Džouns: Na ivici razuma (SR)
På Spaning Med Bridget Jones (SV)
På spaning med Bridget Jones (SV)
Bridget Jones: Mantığın Sınırı (TR)
Bridget Jones - Mantigin siniri (TR)
Брiджит Джонс: Межi розумного (UK)
Bridget Jones: The Edge of Reason (XX)
Bridget Jones: L'âge de raison (XX)
Bridget Jones: L'âge de raison (XX)
Bridget Jones: Al borde de la razón (XX)
Bridget Jones: Al borde de la razón (XX)";"GB / US / FR / DE / IE";"2004";"Beeban Kidron";"19 560 087"
"Dunkirk (EN)
Dunkirk: The IMAX Experience (EN)
Дюнкерк (BG)
Dunkerk (CS)
Dunkirk (DE)
Δουνκέρκη (EL)
Dunkerque (ES)
Dunkerque (FR)
Dunkirk (IT)
Dunkirk (IW)
Diunkerkas (LT)
Dunkierka (PL)
Dunkirk (PT)
Dunquerque (PT)
Batalia de la Dunkirk (RO)
Дюнкерк (RU)
Denkerk (SR)
Dunkirk (TR)
Дюнкерк (UK)
Dunkerque (XX)
Dunkirk (XX)
Dunkirk (XX)";"GB INC / US / FR / NL";"2017";"Christopher Nolan";"17 672 838"
"Bridget Jones's Baby (EN)
Bridget Jones 3 (EN)
Бриджит Джоунс: Бебе на хоризонта (BG)
Bridget Jones' baby (DA)
Bridget Jones' Baby (DE)
Το μωρό της Μπρίτζετ Τζόουνς (EL)
El bebé de Bridget Jones (ES)
Bridget Jones' Baby (ES)
Bridget Jonesi beebi (ET)
Le bébé de Bridget Jones (FR)
Bridget Jones Baby (FR)
Drugo stanje Bridget Jones (HR)
Bridget Jones babát vár (HU)
Bridget Jones's Baby (IT)
Bridget Jones's Baby (IW)
Bridzitos Dzouns kudikis (LT)
Bridžitos Džouns kudikis (LT)
Bridget Jones' Baby (NO)
Bridget Jones' Baby: Alle gode ting er tre (NO)
Bridget Jones' baby: Alle gode ting er tre (NO)
Bridget Jones 3 (PL)
O Bebê de Bridget Jones (PT)
O Bebé de Bridget Jones (PT)
Bridget Jones insarcinata (RO)
Бриджит Джонс 3 (RU)
Dojenček Bridget Jones (SL)
Beba Bridžit Džons (SR)
Bridget Jones dagbok 3 (SV)
Bridget Jones'un Bebegi (TR)
Дитина Брiджит Джонс (UK)
Bridget Jones's Child (XX)
El bebé de Bridget Jones (XX)
Bridget Jones's Baby (XX)
Le bébé de Bridget Jones (XX)
Bridget Jones's Baby (XX)";"GB / US / FR";"2016";"Sharon Maguire";"16 548 727"
"Paddington (EN)
Падингтън (BG)
Πάντινγκτον (EL)
Paddington (ES)
Paddingtoni seiklused (ET)
Paddington (HU)
Padinton (JA)
Meskiukas Padingtonas (LT)
Lacena Padingtona Piedzivojumi (LV)
Paddington (ME)
As Aventuras de Paddington (PT)
Paddington (PT)
Приключения Паддингтона (RU)
Paddington (SL)
Pedington (SR)
Ayi Paddington (TR)
Пригоди Паддiнгтона (UK)
Pedington (XX)
Paddington (XX)
Paddington (XX)
Ha'dov Paddington (XX)
Paddington (XX)
Paddington Bear (XX)";"GB / FR";"2014";"Paul King";"15 672 705"
"The Secret Life of Pets 2 (EN)
The Secret Life of Pets 2 (EN)
Pet 2 (EN)
Сами вкъщи 2 (BG)
Tajný život mazlíčků 2 (CS)
Kæledyrenes hemmelige liv 2 (DA)
La vida secreta de tus mascotas 2 (DA)
Pets 2 (DE)
Μπάτε σκύλοι αλέστε 2 (EL)
La vida secreta de tus mascotas 2 (ES)
La Vida Secreta de Tus Mascotas 2 (ES)
Mascotas 2 (ES)
Lemmikkien salainen elämä 2 (FI)
Comme des bêtes 2 (FR)
The Secret Life of Pets 2 (HI)
Tajni život ljubimaca 2 (HR)
A kis kedvencek titkos élete 2 (HU)
Pets 2: Vita da animali (IT)
Ha'Kha'yim Ha'Sodiyim shel Kha'yot Ha'Makhmad 2 (IW)
Petto 2 (JA)
ペット2 (JA)
Slaptas augintiniu gyvenimas 2 (LT)
Mīluļu slepenā dzīve 2 (LV)
Huisdiergeheimen 2 (NL)
Kjæledyrenes hemmelige liv 2 (NO)
Sekretne życie zwierzaków domowych 2 (PL)
Pets: A Vida Secreta dos Bichos 2 (PT)
A Vida Secreta dos Nossos Bichos 2 (PT)
Singuri acasă 2 (RO)
Тайная жизнь домашних животных 2 (RU)
Tajný život maznáčikov 2 (SK)
Skrivno zivljenje hisnih ljubljenckov 2 (SL)
Tajne avanture kućnih ljubimaca 2 (SR)
Husdjurens hemliga liv 2 (SV)
Evcil Hayvanların Gizli Yaşamı 2 (TR)
Секрети домашніх тварин 2 (UK)
寵物當家2 (XX)
Đẳng Cấp Thú Cưng 2 (XX)";"US / FR / JP";"2019";"Chris Renaud
Jonathan del Val";"15 542 405"
