"Market";"Distributor";"Release date";"2008";"2009";"2010";"2014";"2020";"Total since 2007"
"AT";"Luna Film";"11/06/2009";"";"14 602";"491";"";"";"15 093"
"BE";"Victory Productions (BE)";"16/01/2008";"42 494";"";"";"";"";"42 494"
"CH";"Pathé Films (CH)";"16/01/2008";"23 658";"";"";"";"";"23 658"
"DE";"Alamode Film (DE)";"05/02/2009";"";"55 554";"";"242";"24";"55 820"
"ES";"Notro Films (ES)";"21/08/2008";"88 628";"153";"";"669";"";"89 450"
"FR";"Gaumont Distribution";"16/01/2008";"2 261 452";"";"";"";"";"2 261 452"
"GR";"Odeon (GR)";"01/05/2008";"4 041";"";"";"";"";"4 041"
"LU";"Victory Productions (LU)";"16/01/2008";"2 277";"";"";"";"";"2 277"
"RU";"Ruscico";"26/11/2009";"";"";"6 359";"";"";"6 359"
"EUR EU";"";"";"2 398 892";"70 309";"491";"911";"24";"2 470 627"
"EUR OBS";"";"";"2 422 550";"70 309";"6 850";"911";"24";"2 500 644"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2014, 2010, 2009, 2008"
" - film_id : 30034"
