"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2018";"2008-2018";"Total since 2004"
"AT";"3L Filmverleih (AT)";"03/02/2006";"";"";"14 049";"";"";"";"";"";"";"";"";"14 049"
"BE";"Les Films de l'Élysée (BE)";"22/12/2004";"20 458";"30 740";"768";"233";"";"";"";"";"";"";"";"52 199"
"CH";"JMH Distributions (CH)";"14/12/2004";"28 905";"73 969";"998";"";"";"30";"";"66";"";"55";"151";"104 023"
"DE";"3L Filmverleih (DE)";"05/01/2006";"";"";"75 483";"";"";"";"";"";"";"";"";"75 483"
"ES";"Amboto Audiovisual";"27/10/2005";"";"48 344";"17 474";"";"";"1 222";"14";"";"36";"";"1 272";"67 090"
"FR";"TFM Distribution";"15/12/2004";"999 131";"1 180 000";"11 666";"";"";"";"";"";"";"";"";"2 190 797"
"GR";"Odeon (GR)";"21/01/2005";"";"11 630";"";"122";"";"";"";"";"";"";"";"11 752"
"IT";"Mikado Film";"28/04/2006";"";"";"7 000";"4 628";"49";"248";"";"";"";"";"297";"11 925"
"LU";"Les Films de l'Élysée (LU)";"17/12/2004";"1 658";"1 584";"";"";"";"";"";"";"";"";"";"3 242"
"PT";"Prisvideo Edicoes";"26/10/2006";"";"";"385";"175";"";"";"";"";"";"";"";"560"
"SI";"Ljubljanski Kinematografi";"19/05/2005";"";"";"374";"";"";"";"";"";"";"";"";"374"
"EUR EU";"";"";"1 021 247";"1 272 298";"127 199";"5 158";"49";"1 470";"14";"";"36";"";"1 569";"2 427 471"
"EUR OBS";"";"";"1 050 152";"1 346 267";"128 197";"5 158";"49";"1 500";"14";"66";"36";"55";"1 720";"2 531 494"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004"
" - film_id : 22167"
