"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2017-2020";"Total since 2013"
"AT";"Einhorn Film";"14/01/2016";"";"";"";"14 375";"";"";"";"";"";"14 375"
"BE";"Cineart (BE)";"26/02/2014";"";"48 567";"5 996";"261";"1 072";"192";"";"";"1 264";"56 088"
"CH";"Praesens Film";"29/01/2014";"";"48 389";"242";"83";"994";"";"148";"";"1 142";"49 856"
"CZ";"Mirius FD";"26/12/2013";"11 383";"47 784";"102";"30";"";"2";"";"";"2";"59 301"
"DE";"Pandastorm (DE)";"14/01/2016";"";"";"";"108 761";"3 675";"852";"410";"190";"5 127";"113 888"
"DK";"Mis Label";"10/07/2014";"";"20 712";"";"";"";"";"";"";"";"20 712"
"EE";"Acme Film";"21/02/2014";"";"8 490";"5";"";"";"";"";"";"";"8 495"
"ES";"Festival Films";"08/05/2015";"";"";"85 177";"865";"158";"36";"";"";"194";"86 236"
"FI";"Future Film (FI)";"15/08/2014";"";"26 949";"144";"30";"10";"8";"";"";"18";"27 141"
"FR";"Le Pacte";"29/01/2014";"";"1 499 488";"";"";"";"";"";"1 000";"1 000";"1 500 488"
"GB";"Lionsgate (GB)";"27/05/2016";"";"";"";"36 637";"306";"";"";"64";"370";"37 007"
"GR";"Seven Films";"19/11/2015";"";"";"10 627";"1 532";"";"";"";"";"";"12 159"
"HU";"ADS";"02/01/2014";"";"18 358";"219";"30";"";"54";"";"";"54";"18 661"
"IS";"Sena";"";"";"1 999";"";"";"";"";"";"";"";"1 999"
"IT";"Academy two distr.";"22/01/2015";"";"";"79 965";"544";"201";"126";"67";"";"394";"80 903"
"LT";"Acme (LT)";"21/02/2014";"";"21 770";"294";"375";"";"112";"67";"140";"319";"22 758"
"LU";"Cineart (LU)";"26/02/2014";"";"2 353";"";"177";"";"132";"";"";"132";"2 662"
"LV";"Acme (LV)";"21/02/2014";"";"8 380";"";"";"";"";"";"";"";"8 380"
"NL";"Cinéart Nederland";"24/04/2014";"";"6 920";"1 410";"795";"171";"44";"";"64";"279";"9 404"
"NO";"SF Norway";"06/06/2014";"";"36 428";"898";"";"";"";"300";"108";"408";"37 734"
"PL";"Kino Swiat";"17/01/2014";"";"233 262";"1 017";"";"";"";"";"";"";"234 279"
"PT";"NOS Lusomundo Audiovisuais (PT)";"28/04/2016";"";"";"";"5 294";"111";"";"";"";"111";"5 405"
"RO";"Ro-Image 2000";"08/04/2015";"";"";"20 441";"";"";"";"";"";"";"20 441"
"RU";"Caravella-DCC";"29/05/2014";"";"295 889";"";"";"";"";"";"";"";"295 889"
"SE";"Studio S Entertainment";"15/08/2014";"";"38 338";"1 030";"";"";"";"";"";"";"39 368"
"SI";"Karantanija Cinemas";"24/04/2014";"";"4 430";"97";"333";"";"76";"";"";"76";"4 936"
"SK";"Itafilm";"26/12/2013";"7 824";"18 324";"428";"37";"35";"";"47";"";"82";"26 695"
"TR";"Medyavizyon";"08/08/2014";"";"30 270";"";"";"";"";"";"";"";"30 270"
"EUR EU";"";"";"19 207";"2 004 125";"206 952";"170 076";"5 739";"1 634";"591";"1 458";"9 422";"2 409 782"
"EUR OBS";"";"";"19 207";"2 417 100";"208 092";"170 159";"6 733";"1 634";"1 039";"1 566";"10 972";"2 825 530"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013"
" - film_id : 44588"
