"Market";"Distributor";"Release date";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2018";"2012-2018";"Total since 2008"
"AT";"Filmladen";"18/07/2008";"39 001";"531";"";"91";"";"";"";"";"";"";"39 623"
"BE";"Cineart (BE)";"27/02/2008";"44 734";"511";"434";"74";"";"";"";"";"";"";"45 753"
"CH";"Frenetic Films (CH)";"20/02/2008";"44 159";"226";"";"99";"";"80";"";"";"";"80";"44 564"
"CZ";"SPI";"31/07/2008";"10 193";"1 439";"95";"";"9";"35";"";"";"";"44";"11 771"
"DE";"Prokino Filmverleih";"17/07/2008";"268 318";"2 245";"76";"";"";"";"";"";"";"";"270 639"
"DK";"Miracle Film";"09/10/2009";"";"9 891";"994";"";"";"";"";"";"";"";"10 885"
"ES";"Vertigo Films (ES)";"06/10/2009";"";"37 991";"155";"";"";"76";"";"774";"367";"1 217";"39 363"
"FR";"Mars Films (FR)";"20/02/2008";"1 723 642";"";"";"";"";"";"";"";"";"";"1 723 642"
"GB";"Optimum Releasing";"25/07/2008";"27 876";"";"";"";"";"";"";"";"";"";"27 876"
"GR";"Spentzos Film";"12/06/2008";"5 288";"";"";"";"";"";"";"";"";"";"5 288"
"HU";"SPI Hungary";"01/05/2008";"6 970";"";"";"";"";"";"";"";"";"";"6 970"
"IE";"";"25/07/2008";"5 125";"";"";"";"";"";"";"";"";"";"5 125"
"IT";"Bim Distribuzione";"26/09/2008";"87 647";"2 735";"93";"";"";"";"56";"";"";"56";"90 531"
"LI";"Frenetic Films (LI)";"20/02/2008";"140";"";"";"";"";"";"";"";"";"";"140"
"LT";"Acme (LT)";"12/12/2008";"2 922";"";"";"235";"";"";"";"";"";"";"3 157"
"LU";"Cineart (LU)";"22/02/2008";"3 587";"";"";"";"";"";"";"";"";"";"3 587"
"LV";"Acme (LV)";"24/10/2008";"4 553";"800";"";"";"";"";"";"";"";"";"5 353"
"NL";"Cinéart Nederland";"15/05/2008";"16 748";"185";"";"443";"246";"210";"37";"";"";"493";"17 869"
"PL";"SPInka";"29/08/2008";"34 088";"1 390";"";"";"";"";"";"";"";"";"35 478"
"PT";"Atalanta Filmes";"16/10/2008";"21 295";"731";"";"";"";"";"";"";"";"";"22 026"
"RO";"IF-Independenta Film";"07/11/2008";"2 304";"1 049";"264";"";"";"";"";"";"";"";"3 617"
"SE";"Atlantic Film (SE)";"24/04/2009";"";"9 421";"177";"";"";"35";"";"";"";"35";"9 633"
"SI";"Continental Film (SI)";"02/04/2009";"";"2 241";"58";"";"";"";"";"";"";"";"2 299"
"SK";"SPI SK";"24/04/2008";"5 123";"958";"";"";"";"";"";"";"";"";"6 081"
"TR";"Tiglon";"24/10/2008";"5 382";"673";"44";"";"190";"";"";"";"";"190";"6 289"
"EUR EU";"";"";"2 309 414";"72 118";"2 346";"843";"255";"356";"93";"774";"367";"1 845";"2 386 566"
"EUR OBS";"";"";"2 359 095";"73 017";"2 390";"942";"445";"436";"93";"774";"367";"2 115";"2 437 559"
"US_CA";"IFC Films";"18/09/2009";"";"135 380";"";"";"";"";"";"";"";"";"135 380"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008"
" - film_id : 30039"
