"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2006";"2008";"2006-2008";"Total since 2001"
"BE";"";"";"184 313";"338";"492";"";"";"";"";"185 143"
"BG";"";"";"";"16 056";"";"";"";"";"";"16 056"
"CH";"";"";"74 262";"20 695";"";"";"";"";"";"94 957"
"CY";"";"";"2 020";"373";"";"";"";"";"";"2 393"
"CZ";"SPI";"14/02/2002";"";"29 936";"292";"";"";"";"";"30 228"
"DE";"";"14/02/2002";"";"893 356";"";"";"";"";"";"893 356"
"DK";"";"";"4 826";"163";"9";"";"";"";"";"4 998"
"ES";"";"";"650 385";"6 179";"80";"";"";"";"";"656 644"
"FI";"";"";"8 779";"366";"";"";"";"";"";"9 145"
"FR";"Metropolitan Filmexport";"31/01/2001";"5 096 992";"626";"311";"";"354";"";"354";"5 098 283"
"GB";"";"";"93 087";"";"";"";"";"";"";"93 087"
"GR";"Prooptiki (GR)";"12/10/2001";"136 898";"11 859";"387";"";"";"";"";"149 144"
"HU";"";"";"98 745";"";"";"";"";"";"";"98 745"
"IS";"Bergvik";"22/09/2001";"2 111";"";"";"";"";"";"";"2 111"
"IT";"";"";"878 597";"28 397";"200";"109";"";"";"";"907 303"
"LT";"";"";"22 398";"";"";"";"";"";"";"22 398"
"LU";"";"";"12 400";"";"";"";"";"";"";"12 400"
"NL";"A-Film (NL)";"03/05/2001";"3 684";"";"";"";"";"";"";"3 684"
"NO";"";"";"12 239";"";"";"";"";"";"";"12 239"
"PL";"";"";"236 452";"3 277";"";"";"";"";"";"239 729"
"PT";"Filmitalus";"27/09/2002";"";"";"";"";"";"58";"58";"58"
"RO";"IF-Independenta Film";"06/09/2002";"";"11 893";"360";"214";"54";"";"54";"12 521"
"RU";"";"";"434 000";"";"";"";"";"";"";"434 000"
"SE";"";"";"17 629";"18 329";"";"";"";"";"";"35 958"
"SK";"SPI SK";"06/12/2001";"";"11 061";"";"";"11";"";"11";"11 072"
"TR";"";"";"77 932";"";"";"";"";"";"";"77 932"
"EUR EU";"";"";"7 447 205";"1 032 209";"2 131";"323";"419";"58";"477";"8 482 345"
"EUR OBS";"";"";"8 047 749";"1 052 904";"2 131";"323";"419";"58";"477";"9 103 584"
"US_CA";"";"";"";"1 884 286";"";"";"";"";"";"1 884 286"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2008, 2006, 2004, 2003, 2002, 2001"
" - film_id : 17153"
