"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2011-2020";"Total since 2007"
"AT";"Filmcasino & Polyfilm";"30/11/2007";"20 384";"10 581";"1 125";"";"";"";"";"";"";"";"";"";"";"";"";"32 090"
"BE";"Cineart (BE)";"27/06/2007";"50 544";"11 331";"3 197";"";"";"";"";"";"";"";"";"";"";"";"";"65 072"
"CH";"Filmcoopi Zürich";"22/08/2007";"62 431";"3 681";"967";"93";"200";"";"100";"296";"426";"352";"180";"8";"58";"37";"1 657";"68 829"
"CZ";"Artcam";"29/11/2007";"9 466";"14 044";"1 571";"906";"1 239";"211";"225";"198";"";"";"";"";"";"";"1 873";"27 860"
"DE";"Prokino Filmverleih";"22/11/2007";"119 811";"68 047";"";"1 137";"";"346";"";"";"";"";"";"";"";"";"346";"189 341"
"DK";"Sandrew Metronome (DK)";"12/10/2007";"11 434";"1 616";"79";"13";"";"";"";"";"";"";"";"";"";"";"";"13 142"
"ES";"Vertigo Films (ES)";"31/10/2007";"64 683";"17 289";"81";"193";"46";"69";"";"887";"";"118";"";"";"";"";"1 120";"83 366"
"FI";"Sandrew Metronome Distribution";"05/10/2007";"3 690";"1 991";"31";"";"";"";"";"";"";"";"";"";"";"";"";"5 712"
"FR";"Diaphana Distribution";"27/06/2007";"1 231 449";"73 865";"";"";"";"";"";"";"";"";"";"";"";"13 621";"13 621";"1 318 935"
"GB";"StudioCanal (GB)";"25/04/2008";"";"174 257";"";"";"";"";"";"46";"184";"24";"76";"";"";"99";"429";"174 686"
"GR";"PCV Peggy Carajopoulou";"08/11/2007";"27 516";"8 060";"";"";"";"";"";"";"";"";"";"";"";"";"";"35 576"
"HU";"Cirko Film";"06/12/2007";"4 305";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4 305"
"IE";"";"25/04/2008";"";"8 161";"";"";"";"";"";"";"";"";"";"";"";"";"";"8 161"
"IS";"";"";"";"1 828";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 828"
"IT";"Bim Distribuzione";"22/02/2008";"";"227 627";"1 888";"238";"364";"72";"46";"591";"";"28";"";"";"";"";"1 101";"230 854"
"LU";"Cineart (LU)";"29/06/2007";"";"116";"";"";"";"";"";"";"";"";"";"";"";"";"";"116"
"NL";"A-Film Benelux (NL)";"28/02/2008";"";"11 089";"895";"81";"75";"";"5";"";"";"";"";"";"366";"";"446";"12 511"
"NO";"Sandrew Metronome (NO)";"21/09/2007";"6 838";"1 063";"";"2 564";"";"";"";"";"";"";"";"";"";"";"";"10 465"
"PL";"Gutek Film/Best Film";"25/01/2008";"";"25 345";"1 807";"1 282";"";"1 308";"";"";"";"";"";"";"";"";"1 308";"29 742"
"PT";"Midas Filmes";"21/02/2008";"";"10 760";"115";"111";"10";"";"";"";"53";"49";"";"58";"15";"";"185";"11 171"
"RO";"Transilvania Film";"11/04/2008";"324";"1 191";"54";"2";"";"";"";"";"";"";"90";"";"";"";"90";"1 661"
"SE";"SFI-Cinemateket";"23/11/2007";"3 744";"4 763";"196";"";"";"";"";"";"11";"";"";"";"";"";"11";"8 714"
"SI";"Cankarjev Dom";"18/02/2008";"";"1 139";"722";"790";"208";"";"";"";"";"";"";"";"";"";"208";"2 859"
"SK";"ASFK";"24/04/2008";"";"2 204";"316";"104";"";"113";"27";"16";"";"";"";"";"";"";"156";"2 780"
"TR";"Bir Film";"26/10/2007";"24 247";"908";"";"";"";"";"";"";"";"";"";"";"";"";"";"25 155"
"EUR EU";"";"";"1 547 350";"673 476";"12 077";"4 857";"1 942";"2 119";"303";"1 738";"248";"219";"166";"58";"381";"13 720";"20 894";"2 258 654"
"EUR OBS";"";"";"1 640 866";"680 956";"13 044";"7 514";"2 142";"2 119";"403";"2 034";"674";"571";"346";"66";"439";"13 757";"22 551";"2 364 931"
"US_CA";"Sony Classics (US)";"25/12/2007";"";"591 321";"";"";"";"";"";"";"";"";"";"";"";"";"";"591 321"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007"
" - film_id : 27064"
