"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2020";"2009-2020";"Total since 2005"
"AT";"Filmladen";"02/02/2007";"";"923";"5 335";"53";"";"";"";"";"";"";"";"";"";"6 311"
"BE";"Alternative Films (BE)";"07/12/2005";"55 496";"48 199";"3 672";"2 368";"";"";"";"";"";"";"";"";"";"109 735"
"BG";"Pro Films (BG)";"";"";"";"4 523";"";"";"";"";"";"";"";"";"";"";"4 523"
"CH";"Frenetic Films (CH)";"07/12/2005";"8 725";"19 567";"303";"26";"";"65";"84";"5";"";"";"18";"239";"411";"29 032"
"DE";"Alamode Film (DE)";"05/10/2006";"";"12 105";"3 704";"";"";"";"";"";"";"405";"32";"83";"520";"16 329"
"DK";"Scanbox Entertainment (DK)";"30/06/2006";"";"4 960";"283";"";"";"161";"";"";"";"";"";"";"161";"5 404"
"ES";"Alta Classics";"21/12/2005";"51 392";"57 681";"458";"62";"20";"194";"113";"";"";"44";"70";"";"441";"110 034"
"FI";"Scanbox Finland";"15/09/2006";"";"1 719";"441";"714";"";"";"22";"";"";"";"";"";"22";"2 896"
"FR";"Gebeka Films";"07/12/2005";"1 310 000";"610 876";"";"";"";"";"";"";"";"";"";"";"";"1 920 876"
"IS";"Myndform";"";"";"";"742";"";"";"";"";"";"";"";"";"";"";"742"
"IT";"Mikado Film";"21/12/2005";"22 110";"37 287";"12 905";"1 009";"";"374";"";"";"";"";"";"";"374";"73 685"
"LI";"Frenetic Films (LI)";"";"";"";"109";"";"";"";"";"";"";"";"";"";"";"109"
"LU";"Alternative Film (LU)";"30/12/2005";"1 689";"6 077";"";"";"";"";"";"";"";"";"";"";"";"7 766"
"NL";"Twin Film";"12/10/2006";"";"";"";"91";"93";"";"121";"33";"";"";"";"";"247";"338"
"NO";"Scanbox (NO)";"01/09/2006";"";"10 321";"841";"1 419";"";"12";"";"";"";"";"";"";"12";"12 593"
"PT";"Atalanta Filmes";"20/12/2007";"";"";"125";"151";"8";"";"6";"";"15";"";"";"";"29";"305"
"SE";"Scanbox Entertainment (SE)";"23/03/2007";"";"";"189";"149";"6";"";"";"";"";"";"";"";"6";"344"
"EUR EU";"";"";"1 440 687";"779 827";"31 635";"4 597";"127";"729";"262";"33";"15";"449";"102";"83";"1 800";"2 258 546"
"EUR OBS";"";"";"1 449 412";"809 715";"33 630";"6 042";"127";"806";"346";"38";"15";"449";"120";"322";"2 223";"2 301 022"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005"
" - film_id : 23742"
